pmcid	year	count	title	pubmedid
PMC7378549	2020	109916	The coffee agroecosystem: bio-economic analysis of coffee berry borer control (Hypothenemus hampei)	32703996
PMC7216764	2020	42617	Color Preference of Three Parasitoids Imported to the Americas for the Biological Control of the Coffee Berry Borer (Curculionidae: Scolytinae)	32396201
PMC6636796	2019	69805	Coffee berry borer (Hypothenemus hampei) (Coleoptera: Curculionidae) development across an elevational gradient on Hawai'i Island: Applying laboratory degree-day predictions to natural field populations	31314766
PMC6572530	2019	34325	Tamarixia radiata Behaviour is Influenced by Volatiles from Both Plants and Diaphorina citri Nymphs	31100931
PMC5746806	2017	39570	Integrated Pest Management of Coffee Berry Borer in Hawaii and Puerto Rico: Current Status and Prospects	29135952
PMC4910507	2016	3290037	Checklist of British and Irish Hymenoptera - <named-content content-type="superfamily">Chalcidoidea and <named-content content-type="superfamily">Mymarommatoidea	27346954
PMC4808786	2016	79166	Integrated Pest Management of Coffee Berry Borer: Strategies from Latin America that Could Be Useful for Coffee Farmers in Hawaii	26848690
PMC4535578	2015	2014	A Coffee Berry Borer (Coleoptera: Curculionidae: Scolytinae) Bibliography	26136496
PMC4465169	2015	44793	Linear Dispersal of the Filth Fly Parasitoid Spalangia cameroni (Hymenoptera: Pteromalidae) and Parasitism of Hosts at Increasing Distances	26061882
PMC4213130	2014	21510	Effects of selfsuperparasitism and host age on fitness-correlated traits in the solitary endoparasitoid waspMeteorus pulchricornis	25201512
PMC4553581	2012	58748	The Coffee Berry Borer (Hypothenemus hampei) Invades Hawaii: Preliminary Investigations on Trap Response and Alternate Hosts	26466620
PMC3281359	2011	25599	Effect of Modification of the NI Artificial Diet on the Biological Fitness Parameters of Mass Reared Western Tarnished Plant Bug, Lygus hesperus	22224620
