pmcid	year	count	title	pubmedid
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7502232	2020	40238	Role of reactive oxygen species and isoflavonoids in soybean resistance to the attack of the southern green stink bug	
PMC7414796	2020	43393	Unveiling the Feeding Behavior of Tibraca limbativentris (Hemiptera: Pentatomidae) on Rice Using an Electropenetrography Waveform Library	32770250
PMC7469201	2020	54407	How Does the Intricate Mouthpart Apparatus Coordinate for Feeding in the Hemimetabolous Insect Pest Erthesina fullo?	32759849
PMC7382489	2020	36691	Biological characteristics of Trissolcus urichi (Crawford) (Hymenoptera: Scelionidae) on Euschistus heros (Fabricius) and Dichelops melacanthus (Dallas) (Hemiptera: Pentatomidae) Eggs	32710085
PMC7349294	2020	54569	Unique Fine Morphology of Mouthparts in Haematoloecha nigrorufa (St&#xE5;l) (Hemiptera: Reduviidae) Adapted to Millipede Feeding	32580387
PMC7357106	2020	65676	Flavonoids and Isoflavonoids Biosynthesis in the Model Legume Lotus japonicus; Connections to Nitrogen Metabolism and Photorespiration	32575698
PMC7204558	2020	66286	Overwintering Physiology and Cold Tolerance of the Sunn Pest, Eurygaster integriceps, an Emphasis on the Role of Cryoprotectants	32425803
PMC7240614	2020	25117	The Cytotoxic Effect of Genistein, a Soybean Isoflavone, against Cultured Tribolium Cells	32290559
PMC7080784	2020	54620	Enhancement of soybean nodulation by seed treatment with non_thermal plasmas	32188896
PMC7067897	2020	59031	New data on karyotype, spermatogenesis and ovarian trophocyte ploidy in three aquatic bug species of the families Naucoridae, Notonectidae, and Belostomatidae (<named-content content-type="infraorder">Nepomorpha, <named-content content-type="suborder">Heteroptera)	32194920
PMC7074293	2020	30990	The Role of (E)-2-octenyl Acetate as a Pheromone of Bagrada hilaris (Burmeister): Laboratory and Field Evaluation	32050411
PMC6836135	2019	30217	Cold Tolerance and Population Dynamics of Leptoglossus zonatus (Hemiptera: Coreidae)	31627302
PMC6785548	2019	47772	Patterns of Genome-Wide Variation, Population Differentiation and SNP Discovery of the Red Banded Stink Bug (Piezodorus guildinii)	31597944
PMC6483992	2019	61127	Differential impacts of pesticides on Euschistus heros (Hem.: Pentatomidae) and its parasitoid Telenomus podisi (Hym.: Platygastridae)	31024056
PMC6523617	2019	39809	Increases in Genistein in Medicago sativa Confer Resistance against the Pisum Host Race of Acyrthosiphon pisum	30939761
PMC6462071	2019	60480	Airborne host_plant manipulation by whiteflies via an inducible blend of plant volatiles	30910967
PMC6424911	2019	104240	Transcriptional and Chemical Changes in Soybean Leaves in Response to Long-Term Aphid Colonization	30930925
PMC6391442	2019	42867	A genome-wide analysis of desferrioxamine mediated iron uptake in Erwinia spp. reveals genes exclusive of the Rosaceae infecting strains	30808981
