pmcid	year	count	title	pubmedid
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7491741	2020	50149	First echinoderm alpha-amylase from a tropical sea cucumber (Holothuria leucospilota): Molecular cloning, tissue distribution, cellular localization and functional production in a heterogenous E.coli system with codon optimization	
PMC7477568	2020	40206	Development and diapause induction of the Indian meal moth, Plodia interpunctella (H&#xFC;bner) (Lepidoptera: Pyralidae) at different photoperiods	
PMC7481685	2020	46098	Young but not defenceless: antifungal activity during embryonic development of a social insect	32968491
PMC7469149	2020	24023	Evaluation of the Insecticidal Activities of alpha-Pinene and 3-Carene on Sitophilus zeamais Motschulsky (Coleoptera: Curculionidae)	32824401
PMC7472377	2020	48468	The Tripartite Interaction of Host Immunity_Bacillus thuringiensis Infection_Gut Microbiota	32806491
PMC7466025	2020	42646	Antioxidant Properties and Reported Ethnomedicinal Use of the Genus Echium (Boraginaceae)	32784832
PMC7438863	2020	85520	Methanolic Extract of Winter Cherry Causes Morpho-Histological and Immunological Ailments in Mulberry Pyralid Glyphodes pyloalis	32903720
PMC7413487	2020	182148	Identification of chemosensory genes from the antennal transcriptome of Semiothisa cinerearia	32764791
PMC7398519	2020	52442	Comparative gut transcriptome analysis of Diatraea saccharalis in response to the dietary source	32745084
PMC7380273	2020	74508	Identification and expression pattern of chemosensory genes in the transcriptome of Propsilocerus akamusi	32742817
PMC7411610	2020	34670	A Comparison of the Vertical Transmission of High- and Low-Virulence Nucleopolyhedrovirus Strains in Lymantria Dispar L.	32698315
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7343874	2020	66116	Evaluation of various commodities for the development of the yellow mealworm, Tenebrio molitor	32641803
PMC7411770	2020	17739	RNAi in Insects: A Revolution in Fundamental Research and Pest Control Applications	32635402
PMC7391548	2020	95140	Odorant receptor phylogeny confirms conserved channels for sex pheromone and host plant signals in tortricid moths	32760532
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7307738	2020	63053	Transcriptome analysis of a social caterpillar, Drepana arcuata: De novo assembly, functional annotation and developmental analysis	32569288
PMC7426936	2020	73391	Evolution of multiple sex-chromosomes associated with dynamic genome reshuffling in Leptidea wood-white butterflies	32518391
PMC7272692	2020	64057	Regulatory Mechanisms of Cell Polyploidy in Insects	32548115
PMC7247421	2020	45818	Role of Biogenic Amines in Oviposition by the Diamondback Moth, Plutella xylostella L	32528307
PMC7425788	2020	31249	Light Traps in Shipping Containers: A New Tool for the Early Detection of Insect Alien Species	32412049
PMC7249069	2020	56108	Effects of a Reserve Protein on Spodoptera frugiperda Development: A Biochemical and Molecular Approach to the Entomotoxic Mechanism	32397098
PMC7277602	2020	28063	Insecticidal and Enzyme Inhibitory Activities of Isothiocyanates against Red Imported Fire Ants, Solenopsis invicta	32380698
PMC7319233	2020	58277	Fitness consequences of redundant cues of competition in male Drosophila melanogaster	32607171
PMC7197948	2020	47132	Identifications, Characteristics, and Expression Patterns of Small Heat Shock Protein Genes in a Major Mulberry Pest, Glyphodes pyloalis (Lepidoptera: Pyralidae)	32365175
PMC7186362	2020	165034	Microbial Degradation and Valorization of Plastic Wastes	32373075
PMC7268786	2020	67636	Sex Chromosome Evolution: So Many Exceptions to the Rules	32315410
PMC7174395	2020	50876	Immune priming with inactive dengue virus during the larval stage of Aedes aegypti protects against the infection in adult mosquitoes	32317699
PMC7253186	2020	31956	Megakaryocyte and Platelet Transcriptomics for Discoveries in Human Health and Disease	32295424
PMC7153557	2020	71706	The whole body transcriptome of Coleophora obducta reveals important olfactory proteins	32309046
PMC7240680	2020	34957	Complete Mitogenomic Structure and Phylogenetic Implications of the Genus Ostrinia (Lepidoptera: Crambidae)	32272743
PMC7125231	2020	47823	Plant resistance does not compromise parasitoid-based biocontrol of a strawberry pest	32246069
PMC7240364	2020	32482	Biological Features and Population Growth of Two Southeastern European Tribolium confusum Jacquelin du Val (Coleoptera: Tenebrionidae) Strains	32252265
PMC7159316	2020	34637	Cascading effects of polyphenol-rich purple corn pericarp extract on pupal, adult, and offspring of tobacco hornworm (Manduca sexta L.)	32313606
PMC7180760	2020	25880	Essential Oils Extracted from Different Species of the Lamiaceae Plant Family as Prospective Bioagents against Several Detrimental Pests	32231104
PMC7090069	2020	38598	Physical assessments of termites (Termitidae) under 2.45&#x2009;GHz microwave irradiation	32251346
PMC7143231	2020	37021	Selection of Predatory Mites for the Biological Control of Potato Tuber Moth in Stored Potatoes	32244992
PMC7202024	2020	53937	De Novo Genome Assembly of the Meadow Brown Butterfly, Maniola jurtina	32161089
PMC7059908	2020	197682	Characterization of the complete mitochondrial genome of Orthaga olivacea Warre (Lepidoptera Pyralidae) and comparison with other Lepidopteran insects	32142522
PMC7084736	2020	35986	Development of pH-Responsive Biopolymeric Nanocapsule for Antibacterial Essential Oils	32151081
PMC7060952	2020	37697	Diversity of fall armyworm, Spodoptera frugiperda and their gut bacterial community in Kenya	32185109
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC7143423	2020	41609	Allium sativum, Rosmarinus officinalis, and Salvia officinalis Essential Oils: A Spiced Shield against Blowflies	32106555
PMC7051127	2020	33785	Immune priming: the secret weapon of the insect world	32079502
PMC7040029	2020	120329	Invasion of Host Cells by Microsporidia	32132983
PMC7012867	2020	48631	Genome-wide inference of the Camponotus floridanus protein-protein interaction network using homologous mapping and interacting domain profile pairs	32047225
PMC7010752	2020	45754	Integrated LC_MS and GC_MS-based untargeted metabolomics studies of the effect of azadirachtin on Bactrocera dorsalis larvae	32041987
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC7074562	2020	28379	Suitability of Semolina, Cracked Wheat and Cracked Maize as Feeding Commodities for Tribolium castaneum (Herbst; Coleoptera: Tenebrionidae)	32024266
PMC7073766	2020	60885	The Time_Concentration_Mortality Responses of Western Flower Thrips, Frankliniella occidentalis, to the Synergistic Interaction of Entomopathogenic Fungus Metarhizium flavoviride, Insecticides, and Diatomaceous Earth	32024074
PMC6994024	2020	29490	Proteolysis activation of Cry1Ac and Cry2Ab protoxins by larval midgut juice proteases from Helicoverpa armigera	32004347
PMC7398000	2020	30384	Chemical Composition and Bioactivity of Vitex cofassus Reinw. Extracts on the Larval and Pupal Stages of Aedes aegypti	32801604
PMC6988935	2020	58333	Differential expression of heat shock proteins and antioxidant enzymes in response to temperature, starvation, and parasitism in the Carob moth larvae, Ectomyelois ceratoniae (Lepidoptera: Pyralidae)	31995629
PMC7142365	2020	66375	Cabbage looper (Trichoplusia ni H&#xFC;bner) labial glands contain unique bacterial flora in contrast with their alimentary canal, mandibular glands, and Malpighian tubules	31990149
PMC7076802	2020	45167	Reduced Expression of a Novel Midgut Trypsin Gene Involved in Protoxin Activation Correlates with Cry1Ac Resistance in a Laboratory-Selected Strain of Plutella xylostella (L.)	31979385
PMC7020152	2020	27404	Fumigant Toxicity in Myzus persicae Sulzer (Hemiptera: Aphididae): Controlled Release of (E)-anethole from Microspheres	31963690
PMC6965614	2020	92174	Radio-Frequency Electromagnetic Field Exposure of Western Honey Bees	31949179
PMC7020409	2020	50825	Characterization of Venom Components and Their Phylogenetic Properties in Some Aculeate Bumblebees and Wasps	31947554
PMC7023102	2019	27751	Effect of Diallyl Trisulfide on the Reproductive Behavior of the Grain Moth, Sitotroga cerealella (Lepidoptera: Gelechiidae)	31881775
PMC6983130	2019	78245	Agrobiological Interactions of Essential Oils of Two Menthol Mints: Mentha piperita and Mentha arvensis	31878007
PMC6924289	2019	12840	Mosquito mass rearing: who's eating the eggs?	31859620
