pmcid	year	count	title	pubmedid
PMC7082375	2020	124373	An updated annotated checklist of scale insects (Hemiptera, <named-content content-type="suborder">Sternorrhyncha, <named-content content-type="above-genus">Coccomorpha) of Poland	32210665
PMC7077234	2020	59025	Updating the Quarantine Status of Prunus Infecting Viruses in Australia	32102210
PMC6918246	2019	51002	Supercritical Carbon Dioxide Antisolvent Fractionation for the Sustainable Concentration of Lavandula luisieri (Rozeira) Riv.- Mart Antimicrobial and Antioxidant Compounds and Comparison with Its Conventional Extracts	31717810
PMC6780847	2019	35396	Multiple Mating in the Citrophilous Mealybug Pseudococcuscalceolariae: Implications for Mating Disruption	31491887
PMC6669712	2019	33781	High-Throughput Sequencing Assists Studies in Genomic Variability and Epidemiology of Little Cherry Virus 1 and 2 infecting Prunus spp. in Belgium	31261922
PMC6631394	2019	43852	Genomic, Morphological and Biological Traits of the Viruses Infecting Major Fruit Trees	31167478
PMC6529898	2019	35274	Male mating and female postmating performances in cotton mealybug (Hemiptera: Pseudococcidae): effects of female density	30796440
PMC6090770	2018	50564	Survey for major viruses in commercial Vitis vinifera wine grapes in Ontario	30103767
PMC5863958	2018	50534	Determining the geographic origin of invasive populations of the mealybug Planococcus ficus based on molecular genetic analysis	29565996
PMC5691041	2017	38318	Integrative taxonomy methods reveal high mealybug (Hemiptera: Pseudococcidae) diversity in southern Brazilian fruit crops	29147020
PMC5746791	2017	36132	Review of Ecologically-Based Pest Management in California Vineyards	29019946
PMC7009806	2017	158695	Pest categorisation of Little cherry pathogen (non-<styled-content style="fixed-case" toggle="no">EU isolates)	32625582
PMC5411049	2017	145923	Species delimitation in asexual insects of economic importance: The case of black scale (Parasaissetia nigra), a cosmopolitan parthenogenetic pest scale insect	28459805
PMC4912148	2016	35482	Seasonal Changes in the Endosymbiotic Consortia of Aphids from the Genus Cinara	27297891
PMC4857023	2016	94561	Three new species of mealybug (Hemiptera, <named-content content-type="above-genus">Coccomorpha, Pseudococcidae) on persimmon fruit trees (Diospyroskaki) in southern Brazil	27199595
PMC4715455	2016	129873	Unveiling the status of alien animals in the arid zone of Asia	26793423
PMC4642311	2015	29412	Mealybug species from Chilean agricultural landscapes and main factors influencing the genetic structure of Pseudococcus viburni	26559636
PMC4725186	2015	187268	General Biology and Current Management Approaches of Soft Scale Pests (Hemiptera: Coccidae)	26823990
PMC4675723	2015	48569	Slowing the Spread of Grapevine Leafroll-Associated Viruses in Commercial Vineyards With Insecticide Control of the Vector, Pseudococcus maritimus (Hemiptera: Pseudococcidae)	26223949
PMC4141174	2014	68308	Scale Insects, edition 2, a tool for the identification of potential pest scales at U.S.A. ports-of-entry (Hemiptera, Sternorrhyncha, Coccoidea)	25152668
PMC4111580	2014	150555	Molecular and Morphological Identification of Mealybug Species (Hemiptera: Pseudococcidae) in Brazilian Vineyards	25062012
PMC3700894	2013	47006	Molecular Evidence of Polyandry in the Citrus Mealybug, Planococcus citri (Hemiptera: Pseudococcidae)	23844173
PMC3689126	2013	123864	An annotated update of the scale insect checklist of Hungary (Hemiptera, Coccoidea)	23794928
PMC3633934	2013	73359	Ecology and management of grapevine leafroll disease	23630520
PMC3471874	2012	80243	The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key	23077659
PMC2990311	2006	24934	First records of two mealybug species in Brazil and new potential pests of papaya and coffee	19537975
