pmcid	year	count	title	pubmedid
PMC7487574	2020	80441	Sequence diversity of cytotoxic T cell antigens and satellite marker analysis of Theileria parva informs the immunization against East Coast fever in Rwanda	32894166
PMC7458302	2020	67876	Pathogens, endosymbionts, and blood-meal sources of host-seeking ticks in the fast-changing Maasai Mara wildlife ecosystem	32866142
PMC7453536	2020	55423	Molecular evidence confirms occurrence of Rhipicephalus microplus Clade A in Kenya and sub-Saharan Africa	32854747
PMC7474386	2020	49651	Comparison of Tick Control and Antibiotic Use Practices at Farm Level in Regions of High and Low Acaricide Resistance in Uganda	32908661
PMC7448653	2020	34212	Evaluation of Serological Tests for Detection of Antibodies against Lumpy Skin Disease Virus	32434783
PMC7428492	2020	78553	Differential localization of Hessian fly candidate effectors in resistant and susceptible wheat plants	32818166
PMC7417564	2020	52824	Karyotype changes in long-term cultured tick cell lines	32778731
PMC7412822	2020	27481	Evaluation of different storage times and preservation methods on phlebotomine sand fly DNA concentration and purity	32762709
PMC7459594	2020	38614	Rickettsia africae an Agent of African Tick Bite Fever in Ticks Collected from Domestic Animals in Eastern Cape, South Africa	32748891
PMC7469192	2020	52108	Plant-Derived Natural Compounds for Tick Pest Control in Livestock and Wildlife: Pragmatism or Utopia?	32752256
PMC7456782	2020	46129	Inferences about the transmission of lumpy skin disease virus between herds from outbreaks in Albania in 2016	30581093
PMC7393499	2020	151926	A transcriptome and proteome of the tick Rhipicephalus microplus shaped by the genetic composition of its hosts and developmental stage	32732984
PMC7429393	2020	121588	Low genetic diversity among Francisella-like endosymbionts within different genotypes of Hyalomma dromedarii ticks infesting camels in Saudi Arabia	32848325
PMC7396615	2020	97581	TickSialoFam (TSFam): A Database That Helps to Classify Tick Salivary Proteins, a Review on Tick Salivary Protein Function and Evolution, With Considerations on the Tick Sialome Switching Phenomenon	32850476
PMC7387652	2020	66035	Nairobi Sheep Disease Virus: A Historical and Epidemiological Perspective	32793646
PMC7378379	2020	112678	Discovery of Exosomes From Tick Saliva and Salivary Glands Reveals Therapeutic Roles for CXCL12 and IL-8 in Wound Healing at the Tick_Human Skin Interface	32766239
PMC7433224	2020	75487	Parasites of veterinary importance from domestic animals in uMkhanyakude district of KwaZulu-Natal province	32787418
PMC7284302	2020	18948	Identification and validation of internal reference genes for real-time quantitative polymerase chain reaction-based studies in Hyalomma anatolicum ticks	32222359
PMC7323972	2020	95551	Analysis of p67 allelic sequences reveals a subtype of allele type 1 unique to buffalo-derived Theileria parva parasites from southern Africa	32598384
PMC7306492	2020	23071	Genetic diversity of the ATAQ gene in Rhipicephalus microplus collected in Mexico and implications as anti-tick vaccine	32572573
PMC7346153	2020	68383	Edible Leafy Plants from Mexico as Sources of Antioxidant Compounds, and Their Nutritional, Nutraceutical and Antimicrobial Potential: A Review	32575671
PMC7396350	2020	51248	The effect of Beauveria bassiana inoculation on plant growth, volatile constituents, and tick (Rhipicephalus appendiculatus) repellency of acetone extracts of Tulbaghia violacea	32801568
PMC7350222	2020	43070	Vaccination with Recombinant Subolesin Antigens Provides Cross-Tick Species Protection in Bos indicus and Crossbred Cattle in Uganda	32570925
PMC7355616	2020	37407	Interrupted Blood Feeding in Ticks: Causes and Consequences	32560202
PMC7296661	2020	85129	Catalogue of stage-specific transcripts in Ixodes ricinus and their potential functions during the tick life-cycle	32546252
PMC7366568	2020	32461	Morphological and molecular identification of ixodid tick species (Acari: Ixodidae) infesting cattle in Uganda	32533261
PMC7297041	2020	94981	Understanding Tick Biology and Its Implications in Anti-tick and Transmission Blocking Vaccines Against Tick-Borne Pathogens	32582785
PMC7296165	2020	135147	Comparative Transcriptomics of the Bovine Apicomplexan Parasite Theileria parva Developmental Stages Reveals Massive Gene Expression Variation and Potential Vaccine Antigens	32582776
PMC7275347	2020	47689	Initiator and executioner caspases in salivary gland apoptosis of Rhipicephalus haemaphysaloides	32503655
PMC7308261	2020	14492	The Rhipicephalus appendiculatus tick vector of Theileria parva is absent from cape buffalo (Syncerus caffer) populations and associated ecosystems in northern Uganda	32500369
PMC7274042	2020	100477	Risk Factors for Outbreaks of Lumpy Skin Disease and the Economic Impact in Cattle Farms of Nakuru County, Kenya	32548130
PMC7225584	2020	55799	Poor Unstable Midgut Microbiome of Hard Ticks Contrasts With Abundant and Stable Monospecific Microbiome in Ovaries	32457850
PMC7214809	2020	57813	Seroprevalence of Selected Tick Borne Pathogens and Diversity and Abundance of Ixodid Ticks (Acari: Ixodidae) at the Wildlife-Livestock Interface in Northern Botswana	32432129
PMC7198617	2020	45722	Non-vector-borne transmission of lumpy skin disease virus	32366872
PMC7294229	2020	62344	Theileria parva: a parasite of African buffalo, which has adapted to infect and undergo transmission in cattle	32032592
PMC7281522	2020	44241	Genetic Diversity and Sequence Polymorphism of Two Genes Encoding Theileria parva Antigens Recognized by CD8+ T Cells among Vaccinated and Unvaccinated Cattle in Malawi	32365795
PMC7171862	2020	57595	Amblyomma hebraeum is the predominant tick species on goats in the Mnisi Community Area of Mpumalanga Province South Africa and is co-infected with Ehrlichia ruminantium and Rickettsia africae	32312285
PMC7171786	2020	46097	Don't let sleeping dogs lie: unravelling the identity and taxonomy of Babesia canis, Babesia rossi and Babesia vogeli	32312292
PMC7225381	2020	57482	Ectoparasitism during an avian disease outbreak: An experiment with Mycoplasma-infected house finches and ticks	32426219
PMC7238268	2020	30826	Characterization of an MLP Homologue from Haemaphysalis longicornis (Acari: Ixodidae) Ticks	32295244
PMC7138852	2020	45841	Liquid water intake of the lone star tick, Amblyomma americanum: Implications for tick survival and management	32265527
PMC7118885	2020	25717	Invasive cattle ticks in East Africa: morphological and molecular confirmation of the presence of Rhipicephalus microplus in south-eastern Uganda	32245511
PMC7101105	2020	30222	Crimean-Congo Hemorrhagic Fever Virus in Humans and Livestock, Pakistan, 2015_2017	32187506
PMC7114739	2020	41580	Expression analysis of glutathione S-transferases and ferritins during the embryogenesis of the tick Haemaphysalis longicornis	32258487
PMC7177830	2020	17592	Epidemiological Study of Thogoto and Dhori Virus Infection in People Bitten by Ticks, and in Sheep, in an Area of Northern Spain	32230796
PMC7216920	2020	79911	First detection of Theileria parva in cattle from Cameroon in the absence of the main tick vector Rhipicephalus appendiculatus	32174039
PMC7143779	2020	26507	Mechanical Transmission of Lumpy Skin Disease Virus by Stomoxys spp. (Stomoxys calsitrans, Stomoxys sitiens, Stomoxys indica), Diptera: Muscidae	32178349
PMC7143654	2020	51289	Management Options for Ixodes ricinus-Associated Pathogens: A Review of Prevention Strategies	32178257
PMC7076983	2020	70843	Ovary Proteome Analysis Reveals RH36 Regulates Reproduction via Vitellin Uptake Mediated by HSP70 Protein in Hard Ticks	32211346
PMC7052283	2020	40251	Tick Cell Lines in Research on Tick Control	32158404
PMC7157752	2020	62971	Quantitative Proteomics Identifies Metabolic Pathways Affected by Babesia Infection and Blood Feeding in the Sialoproteome of the Vector Rhipicephalus bursa	32092882
PMC7041427	2020	139621	Tick-Borne Encephalitis Virus Infection Alters the Sialome of Ixodes ricinus Ticks During the Earliest Stages of Feeding	32133301
PMC7049414	2020	34001	In Vitro Acaricidal Activity of Selected Medicinal Plants Traditionally Used against Ticks in Eastern Ethiopia	32148933
PMC7142041	2020	69791	Olfactory Receptor Neurons for Plant Volatiles and Pheromone Compounds in the Lucerne Weevil, Sitona discoideus	32048118
PMC7041860	2020	209995	Time-resolved proteomic profile of Amblyomma americanum tick saliva during feeding	32049966
PMC7458381	2020	41618	Exposure to ambient air causes degradation and decreased in vitro potency of buparvaquone and parvaquone	32904749
PMC7077237	2020	52988	RNA Viruses of Amblyomma variegatum and Rhipicephalus microplus and Cattle Susceptibility in the French Antilles	31991915
PMC7074330	2020	34967	Terpenoid-Induced Feeding Deterrence and Antennal Response of Honey Bees	31979399
PMC7010998	2020	39415	Investigations into the carrier-state of Theileria sp. (buffalo) in cattle	32071860
PMC6985549	2020	97967	Gene Expression in the Salivary Gland of Rhipicephalus (Boophilus) microplus Fed on Tick-Susceptible and Tick-Resistant Hosts	32039052
PMC6965182	2020	46640	Quantitative analysis of Anaplasma marginale acquisition and transmission by Dermacentor andersoni fed in vitro	31949241
PMC6961398	2020	48165	Comparative vector competence of North American Lyme disease vectors	31937369
PMC6934832	2019	41524	Experimental evidence of mechanical lumpy skin disease virus transmission by Stomoxys calcitrans biting flies and Haematopota spp. horseflies	31882819
PMC7458380	2019	47288	Haemaphysalis longicornis: the life-cycle on dogs and cattle, with confirmation of its vector status for Theileria orientalis in Australia	32904744
PMC7041997	2019	23242	FTA-Sodium hydroxide-based polymerase chain reaction (PCR): An efficient andcheaper option for Theileria parva detection in dairy cattle in Mbarara,Uganda	31875599
PMC6955305	2020	64621	An inhibitor of complement C5 provides structural insights into activation	31871188
PMC6915983	2019	96958	Genetic and antigenic variation of the bovine tick-borne pathogen Theileria parva in the Great Lakes region of Central Africa	31842995
PMC6963982	2019	24985	Phytochemical Analysis of Tephrosia vogelii across East Africa Reveals Three Chemotypes that Influence Its Use as a Pesticidal Plant	31842487
PMC6894798	2019	55669	Molecular identification of Ehrlichia, Anaplasma, Babesia and Theileria in African elephants and their ticks	31805127
PMC6897422	2019	85283	Amblyomma americanum ticks utilizes countervailing pro and anti-inflammatory proteins to evade host defense	31756216
PMC6852549	2019	47236	Ixodid ticks (Acari: Ixodidae) collected from African savanna elephants (Loxodonta africana) and African forest elephants (Loxodonta cyclotis)	31714141
PMC6921006	2019	34005	Isolation and Characterization of a Novel Pathogenic Strain of Ehrlichia minasensis	31694172
PMC6963272	2019	22668	Towards a Multidisciplinary Approach to Improve Cattle Health and Production in Uganda	31683596
PMC6868261	2019	22326	Preliminary investigation of acaricidal activity of leaf extract of Nicotiana tabacum on dog tick Rhipicephalus sanguineus	31849425
PMC6882721	2019	27015	Prevalence and climatic influence on hemoparasites of cattle and sheep in Mosul, Iraq	31819877
PMC6963187	2019	86560	The Immunomodulatory Effect of IrSPI, a Tick Salivary Gland Serine Protease Inhibitor Involved in Ixodes ricinus Tick Feeding	31614804
PMC6775757	2019	56995	Identification of Ixodid Tick-Specific Aquaporin-1 Potential Anti-tick Vaccine Epitopes: An in-silico Analysis	31612130
PMC7149732	2020	93337	Vaccines the tugboat for prevention-based animal production	
PMC6754170	2019	91393	Multi-scale patterns of tick occupancy and abundance across an agricultural landscape in southern Africa	31539412
PMC6737592	2019	68015	Molecular identification and prevalence of tick-borne pathogens in zebu and taurine cattle in North Cameroon	31511038
PMC6789608	2019	47089	Diagnostic Tools for the Identification of Babesia sp. in Persistently Infected Cattle	31505741
PMC6733903	2019	71284	A transcriptome-based phylogenetic study of hard ticks (Ixodidae)	31501478
PMC6813609	2019	23912	Correlation between hematological profile and theileriosis in Bali cattle from Muara Bulian, Jambi, Indonesia	31749567
