pmcid	year	count	title	pubmedid
PMC7455698	2020	51691	Prehistoric agriculture and social structure in the southwestern Tarim Basin: multiproxy analyses at Wupaer	32859982
PMC7474356	2020	39333	Ruta chalepensis L. Essential Oil Has a Biological Potential for a Natural Fight against the Pest of Stored Foodstuffs: Tribolium castaneum Herbst	32908563
PMC7446816	2020	56948	Nutritional composition and bioactivity of germinated Thai indigenous rice extracts: A feasibility study	32834013
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7469259	2020	33130	Performance of Five Postharvest Storage Methods for Maize Preservation in Northern Benin	32824419
PMC7435900	2020	33078	Optimization of a Simplified and Effective Analytical Method of Pesticide Residues in Mealworms (Tenebrio molitor Larvae) Combined with GC_MS/MS and LC_MS/MS	32752108
PMC7465044	2020	40983	Biological Activity of Humulus lupulus (L.) Essential Oil and Its Main Components against Sitophilus granarius (L.)	32722511
PMC7387575	2020	88937	Identification and Expression Profile of Olfactory Receptor Genes Based on Apriona germari (Hope) Antennal Transcriptome	32792974
PMC7432674	2020	92502	Biological Properties, Bioactive Constituents, and Pharmacokinetics of Some Capsicum spp. and Capsaicinoids	32707790
PMC7455953	2020	103855	Bioactivity and biochemical efficacy of chitinase and Justicia brandegeana extract against Red Palm Weevil Rhynchophorus ferrugineus Olivier (Coleoptera: Curculionidae)	32884742
PMC7411858	2020	43590	Phenolic Fingerprinting, Antioxidant, and Deterrent Potentials of Persicaria maculosa Extracts	32635342
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7345338	2020	71127	Bioactive Compounds, Pharmacological Actions, and Pharmacokinetics of Wormwood (Artemisia absinthium)	32585887
PMC7349354	2020	33592	Acute Toxicity and Sublethal Effects of Lemongrass Essential Oil and Their Components against the Granary Weevil, Sitophilus granarius	32570794
PMC7305400	2020	51535	Genomic effects of a nanostructured alumina insecticide in human peripheral blood lymphocytes in vitro	32577576
PMC7300834	2020	53300	Modulation of Aleurone Peroxidases in Kernels of Insect-Resistant Maize (Zea mays L.; Pob84-C3R) After Mechanical and Insect Damage	32595673
PMC7348825	2020	64369	Insecticidal Activity of Plant Powders against the Parasitoid, Pteromalus venustus, and Its Host, the Alfalfa Leafcutting Bee	32526909
PMC7272437	2020	43929	Peppermint essential oil inhibits Drosophila suzukii emergence but reduces Pachycrepoideus vindemmiae parasitism rates	32499494
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
