pmcid	year	count	title	pubmedid
PMC7500897	2021	67253	COVID-19 implications on household income and food security in Kenya and Uganda: Findings from a rapid assessment	
PMC7471941	2020	186558	Recent insights into the extraction, characterization, and bioactivities of chitin and chitosan from insects	32901176
PMC7492552	2020	86525	Antimicrobial Peptides as Potential Antiviral Factors in Insect Antiviral Immune Response	
PMC7450073	2020	51640	Characterization and analysis of full-length transcriptomes from two grasshoppers, Gomphocerus licenti and Mongolotettix japonicus	32848169
PMC7503607	2020	80335	Precocious Downregulation of Kr&#xFC;ppel-Homolog 1 in the Migratory Locust, Locusta migratoria, Gives Rise to An Adultoid Phenotype with Accelerated Ovarian Development but Disturbed Mating and Oviposition	
PMC7442118	2020	219421	New solutions using natural products	
PMC7464486	2020	121716	Avermectin Derivatives, Pharmacokinetics, Therapeutic and Toxic Dosages, Mechanism of Action, and Their Biological Effects	32824399
PMC7469213	2020	35814	Social Fever or General Immune Response? Revisiting an Example of Social Immunity in Honey Bees	32823597
PMC7468914	2020	37831	Gastrointestinally Digested Protein from the Insect Alphitobius diaperinus Stimulates a Different Intestinal Secretome than Beef or Almond, Producing a Differential Response in Food Intake in Rats	32784756
PMC7424033	2020	91302	Protein Stores Regulate When Reproductive Displays Begin in the Male Caribbean Fruit Fly	32848894
PMC7441091	2020	58212	Short neuropeptide F signaling regulates functioning of male reproductive system in Tenebrio molitor beetle	32749520
PMC7409783	2020	138864	There is no magic bullet: the importance of testing reference gene stability in RT-qPCR experiments across multiple closely related species	32832268
PMC7394822	2020	49567	Identification of Candidate Olfactory Genes in the Antennal Transcriptome of the Stink Bug Halyomorpha halys	32792985
PMC7380461	2020	82553	Random and Directed Movement by Warren Root Collar Weevils (Coleoptera: Curculionidae), Relative to Size and Distance of Host Lodgepole Pine Trees	32706872
PMC7466190	2020	84272	Antidiabetic Food-Derived Peptides for Functional Feeding: Production, Functionality and In Vivo Evidences	32718070
PMC7469226	2020	43569	ResNet-Locust-BN Network-Based Automatic Identification of East Asian Migratory Locust Species and Instars from RGB Images	32707761
PMC7374819	2020	58482	Quantifying flight aptitude variation in wild Anopheles gambiae in order to identify long-distance migrants	32698842
PMC7390641	2020	49290	The effects of temperature on the proxies of visual detection of Danio rerio larvae: observations from the optic tectum	32694151
PMC7371632	2020	43037	Prediction of breeding regions for the desert locust Schistocerca gregaria in East Africa	32686749
PMC7367389	2020	50451	Precise annotation of tick mitochondrial genomes reveals multiple copy number variation of short tandem repeats and one transposon-like element	32680454
PMC7407190	2020	35605	Concentrations of Essential Trace Metals in the Brain of Animal Species-A Comparative Study	32709155
