pmcid	year	count	title	pubmedid
PMC7508298	2020	76059	Antixenosis, Antibiosis, and Potential Yield Compensatory Response in Barley Cultivars Exposed to Wheat Stem Sawfly (Hymenoptera: Cephidae) Under Field Conditions	
PMC7509789	2020	51779	Rhizobacterial species richness improves sorghum growth and soil nutrient synergism in a nutrient-poor greenhouse soil	
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7481182	2020	87391	Greenbug (Schizaphis graminum) herbivory significantly impacts protein and phosphorylation abundance in switchgrass (Panicum virgatum)	
PMC7438492	2020	33267	Acquisition and transmission of two 'Candidatus Liberibacter solanacearum' haplotypes by the tomato psyllid Bactericera cockerelli	32814781
PMC7414795	2020	50275	Thiamethoxam Differentially Impacts the Survival of the Generalist Predators, Orius insidiosus (Hemiptera: Anthocoridae) and Hippodamia convergens (Coleoptera: Coccinellidae), When Exposed via the Food Chain	32770249
PMC7459587	2020	37799	Applications of Proteomic Tools to Study Insect Vector_Plant Virus Interactions	32784674
PMC7430832	2020	56821	Transcriptome profiling revealed potentially important roles of defensive gene expression in the divergence of insect biotypes: a case study with the cereal aphid Sitobion avenae	32762647
PMC7412557	2020	76306	Aphid-Responsive Defense Networks in Hybrid Switchgrass	32849703
PMC7469209	2020	40156	Thermal Effects on the Population Parameters and Growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae)	32751320
PMC7469146	2020	33487	Temperature-Dependent Demographic Characteristics and Control Potential of Aphelinus asychis Reared from Sitobion avenae as a Biological Control Agent for Myzus persicae on Chili Peppers	32727020
PMC7432633	2020	47113	A Genome-Wide View of Transcriptional Responses during Aphis glycines Infestation in Soybean	32707968
PMC7374085	2020	49399	Soil and foliar application of rock dust as natural control agent for two-spotted spider mites on tomato plants	32694587
PMC7496520	2020	73273	Characterisation of bird cherry-oat aphid (<styled-content style="fixed-case" toggle="no">Rhopalosiphum padi L.) behaviour and aphid host preference in relation to partially resistant and susceptible wheat landraces	
PMC7411831	2020	47254	Feeding Behavior and Virus-transmission Ability of Insect Vectors Exposed to Systemic Insecticides	32679858
PMC7381296	2020	98861	Mutations in Two Aphid-Regulated beta-1,3-Glucanase Genes by CRISPR/Cas9 Do Not Increase Barley Resistance to Rhopalosiphum padi L	32754185
PMC7369913	2020	47893	Ethylene Is Not Essential for R-Gene Mediated Resistance but Negatively Regulates Moderate Resistance to Some Aphids in Medicago truncatula	32629952
PMC7370083	2020	37922	Molecular Evidence that Lysiphlebia japonica Regulates the Development and Physiological Metabolism of Aphis gossypii	32610524
PMC7330127	2020	20326	Aphid Resistance: An Overlooked Ecological Dimension of Nonstructural Carbohydrates in Cereals	32670330
PMC7316721	2020	76636	Induced tolerance to abiotic and biotic stresses of broccoli and Arabidopsis after treatment with elicitor molecules	32587286
PMC7324797	2020	104820	DNA Methylation and Demethylation Are Regulated by Functional DNA Methyltransferases and DnTET Enzymes in Diuraphis noxia	32655611
PMC7325723	2020	34822	Plant miRNA Cross-Kingdom Transfer Targeting Parasitic and Mutualistic Organisms as a Tool to Advance Modern Agriculture	32655608
PMC7349642	2020	48670	Suitability and Profitability of a Cereal Aphid for the Parasitoid Aphidius platensis in the Context of Conservation Biological Control of Myzus persicae in Orchards	32575581
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7266073	2020	40322	Silencing of Cytochrome P450 in Spodoptera frugiperda (Lepidoptera: Noctuidae) by RNA Interference Enhances Susceptibility to Chlorantraniliprole	32484869
PMC7499088	2020	55350	Genetic diversity in exotic oat germplasm &amp; resistance against barley yellow dwarf virus	
PMC7264336	2020	50523	Mitochondrial genetic variation reveals phylogeographic structure and cryptic diversity in Trioza erytreae	32483282
PMC7258891	2020	52369	The combined impacts of wheat spatial position and phenology on cereal aphid abundance	32518724
PMC7313535	2020	197103	Comparative transcriptomics of Diuraphis noxia andSchizaphis graminum fed wheat plants containing differentaphid-resistance genes	32442185
PMC7285352	2020	40060	Determination of Loline Alkaloids and Mycelial Biomass in Endophyte-Infected Schedonorus pratensis by Near-Infrared Spectroscopy and Chemometrics	32455703
PMC7237887	2020	76502	Aphid Herbivory Drives Asymmetry in Carbon for Nutrient Exchange between Plants and an Arbuscular Mycorrhizal Fungus	32275877
PMC7243947	2020	99786	AcDCXR Is a Cowpea Aphid Effector With Putative Roles in Altering Host Immunity and Physiology	32499809
PMC7220342	2020	166416	A distinct class of plant and animal viral proteins that disrupt mitosis by directly interrupting the mitotic entry switch Wee1-Cdc25-Cdk1	32426509
PMC7249147	2020	34406	Spinasterol, 22,23-Dihydrospinasterol and Fernenol from Citrullus Colocynthis L. with Aphicidal Activity against Cabbage Aphid Brevicoryne Brassicae L.	32392823
PMC7199342	2020	61001	Transcriptome analysis reveals rapid defence responses in wheat induced by phytotoxic aphid Schizaphis graminum feeding	32366323
PMC7290886	2020	33076	Predatory Earwigs are Attracted by Herbivore-Induced Plant Volatiles Linked with Plant Growth-Promoting Rhizobacteria	32365691
PMC7179892	2020	73276	New insights in the allelopathic traits of different barley genotypes: Middle Eastern and Tibetan wild-relative accessions vs. cultivated modern barley	32324789
PMC7383682	2020	63681	Identifying drivers of spatio-temporal dynamics in barley yellow dwarf virus epidemiology as a critical factor in disease control	32248658
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC7297785	2020	81371	Silicon-mediated multiple interactions: Simultaneous induction of rice defense and inhibition of larval performance and insecticide tolerance of Chilo suppressalis by sodium silicate	32551063
PMC7235733	2020	33333	Genome-Wide HMG Family Investigation and Its Role in Glycoalkaloid Accumulation in Wild Tuber-Bearing Solanum commersonii	32290207
PMC7154061	2020	112498	Virome Analysis of Aphid Populations That Infest the Barley Field: The Discovery of Two Novel Groups of Nege/Kita-Like Viruses and Other Novel RNA Viruses	32318034
PMC7122784	2020	43388	Silicon-induced changes in plant volatiles reduce attractiveness of wheat to the bird cherry-oat aphid Rhopalosiphum padi and attract the parasitoid Lysiphlebus testaceipes	32243466
PMC7150859	2020	40070	Silicates of Potassium and Aluminium (Kaolin); Comparative Foliar Mitigation Treatments and Biochemical Insight on Grape Berry Quality in Vitis vinifera L. (cv. Touriga National and Touriga Franca)	32244914
PMC7143459	2020	36290	Uninterrupted Development of Two Aphid Species Belonging to Cinara Genus during Winter Diapause	32121261
PMC7197495	2020	83453	Insect-Symbiont Gene Expression in the Midgut Bacteriocytes of a Blood-Sucking Parasite	32068830
PMC7073604	2020	40480	Genetic Divergence of Two Sitobion avenae Biotypes on Barley and Wheat in China	32054103
PMC7010463	2020	125330	Novel bioassay to assess antibiotic effects of fungal endophytes on aphids	32040957
PMC6994723	2020	52539	An RNAi supplemented diet as a reverse genetics tool to control bluegreen aphid, a major pest of legumes	32005880
PMC7074007	2020	47930	Transcriptome Profiling Revealed Potentially Critical Roles for Digestion and Defense-Related Genes in Insects' Use of Resistant Host Plants: A Case Study with Sitobion Avenae	32019207
PMC7073685	2020	24592	Assessment of Chrysoperla comanche (Banks) and Chrysoperla externa (Hagen) as Biological Control Agents of Frankliniella occidentalis (Pergande) (Thysanoptera: Thripidae) on Tomato (Solanum lycopersicum) under Glasshouse Conditions	32013231
PMC7022964	2020	50183	Susceptibility of Myzus persicae, Brevicoryne brassicae and Nasonovia ribisnigri to Fungal Biopesticides in Laboratory and Field Experiments	31963410
PMC6970542	2020	70468	Comparative analysis of the demographic parameters of seven spotted ladybird beetle (Coleoptera: Coccinellidae) reared on various host aphid species	31988801
PMC6992952	2020	32114	Data on winged insect dynamics in melon crops in southeastern France	32016141
PMC7022477	2020	51820	Isolation and Bioactivity of Secondary Metabolites from Solid Culture of the Fungus, Alternaria sonchi	31947939
PMC7093385	2020	59514	Identification and characterisation of common glow-worm RNA viruses	31900852
PMC6938493	2020	61585	The ability to manipulate ROS metabolism in pepper may affect aphid virulence	31908809
PMC6937311	2019	37807	A novel experimental approach for studying life-history traits of phytophagous arthropods utilizing an artificial culture medium	31889108
PMC7022676	2019	40516	DNA Barcoding Subtropical Aphids and Implications for Population Differentiation	31877643
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC7316967	2020	55515	Influence of cell wall polymers and their modifying enzymes during plant_aphid interactions	31828324
PMC6906386	2019	47924	The green peach aphid gut contains host plant microRNAs identified by comprehensive annotation of Brassica oleracea small RNA data	31827121
PMC6902339	2019	76954	Comparative transcriptome and histological analyses of wheat in response to phytotoxic aphid Schizaphis graminum and non-phytotoxic aphid Sitobion avenae feeding	31823722
PMC6956129	2019	38046	Characterization of Dendrolimus houi Lajonquiere (Lepidoptera: Lasiocampidae) Transcriptome across All Life Stages	31835398
PMC6867890	2019	90977	Changes in Aphid Host Plant Diet Influence the Small-RNA Expression Profiles of Its Obligate Nutritional Symbiont, Buchnera	31744912
PMC6920982	2019	55568	The Power of Electropenetrography in Enhancing Our Understanding of Host Plant-Vector Interactions	31731698
PMC6874142	2019	97515	Plant Genes Benefitting Aphids-Potential for Exploitation in Resistance Breeding	31798609
PMC6838969	2019	38893	Chicken MBD4 Regulates Immunoglobulin Diversification by Somatic Hypermutation	31736964
PMC6823553	2019	50056	Anti-plant Defense Response Strategies Mediated by the Secondary Symbiont Hamiltonella defensa in the Wheat Aphid Sitobion miscanthi	31708894
PMC6843310	2019	41239	Host Plant-Derived miRNAs Potentially Modulate the Development of a Cosmopolitan Insect Pest, Plutella xylostella	31614786
PMC6767646	2019	24242	microRNA-92a regulates the expression of aphid bacteriocyte-specific secreted protein 1	31564246
PMC6771227	2019	46128	Spatio-temporal variations in wheat aphid populations and theirnatural enemies in four agro-ecological zones of Pakistan	31568475
PMC6843664	2019	84747	Molecular Basis of Soybean Resistance to Soybean Aphids and Soybean Cyst Nematodes	31561499
PMC6835564	2019	52876	Generalism in Nature&#x2026;The Great Misnomer: Aphids and Wasp Parasitoids as Examples	31554276
PMC6777938	2019	90796	Evolutionary emergence of Hairless as a novel component of the Notch signaling pathway	31545167
PMC6761604	2019	80527	Biosynthesis and Emission of Stress-Induced Volatile Terpenes in Roots and Leaves of Switchgrass (Panicum virgatum L.)	31608090
PMC6759751	2019	28585	The Role of Silicon in Antiherbivore Phytohormonal Signalling	31620157
PMC6695413	2019	73366	Extracellular endonucleases in the midgut of Myzus persicae may limit the efficacy of orally delivered RNAi	31417162
PMC6724176	2019	109004	Botanicals Against Tetranychus urticae Koch Under Laboratory Conditions: A Survey of Alternatives for Controlling Pest Mites	31394806
PMC6696197	2019	93285	Genus Periploca (Apocynaceae): A Review of Its Classification, Phytochemistry, Biological Activities and Toxicology	31362394
PMC6723206	2019	38468	Discovery of Two New Sorbicillinoids by Overexpression of the Global Regulator LaeA in a Marine-Derived Fungus Penicillium dipodomyis YJ-11	31357680
PMC6590782	2019	67012	Bioactivity-guided isolation of rosmarinic acid as the principle bioactive compound from the butanol extract of Isodon rugosus against the pea aphid, Acyrthosiphon pisum	31233534
PMC6588606	2019	39919	Different phenotypic plastic responses to predators observed among aphid lineages specialized on different host plants	31227730
PMC6589328	2019	65309	The lacewing Ceraeochrysa caligata as a potential biological agent for controlling the red palm mite Raoiella indica	31259098
PMC6581284	2019	107296	Adjacent habitat type affects the movement of predators suppressing soybean aphids	31211798
PMC6708433	2019	133108	The preference_performance relationship as a means of classifying parasitoids according to their specialization degree	31462919
PMC6585667	2019	66893	Genetics of Greenbug Resistance in Synthetic Hexaploid Wheat Derived Germplasm	31263476
PMC6564039	2019	36218	Fall armyworm (Spodoptera frugiperda Smith) feeding elicits differential defense responses in upland and lowland switchgrass	31194847
PMC6582706	2019	130690	Large Scale Screening of Epichlo&#xEB; Endophytes Infecting Schedonorus pratensis and Other Forage Grasses Reveals a Relation Between Microsatellite-Based Haplotypes and Loline Alkaloid Levels	31249582
PMC7127076	2019	48477	Immune function of an angiotensin-converting enzyme against Rice stripe virus infection in a vector insect	31247402
PMC6521781	2019	152195	An Update of Recent Use of Aegilops Species in Wheat Breeding	31143197
PMC6517521	2019	55948	Plant-Mediated Silencing of the Whitefly Bemisia tabaci Cyclophilin B and Heat Shock Protein 70 Impairs Insect Development and Virus Transmission	31133883
PMC6488629	2019	44056	Anti-Ehrlichia properties of the essential oil of Ageratum conyzoides L. and its interaction with doxycycline	31037564
PMC6514991	2019	52079	Genome-Wide Identification and Characterization of the OPR Gene Family in Wheat (Triticum aestivum L.)	31003470
PMC6523691	2019	49767	Hemipteran Pests of Sugarcane in North America	31013987
PMC6451198	2019	79971	Genome sequence of the corn leaf aphid (Rhopalosiphum maidis Fitch)	30953568
PMC6451241	2019	67412	Computational enhancer prediction: evaluation and improvements	30953451
PMC6446971	2019	60677	Evolution of Mutator transposable elements across eukaryotic diversity	30988700
PMC6423130	2019	57303	Characterization, identification and evaluation of a set of wheat-Aegilops comosa chromosome lines	30886203
PMC6429036	2019	48851	Exogenous Application of RNAi-Inducing Double-Stranded RNA Inhibits Aphid-Mediated Transmission of a Plant Virus	30930914
PMC6468712	2019	26909	How Cabbage Aphids Brevicoryne brassicae (L.) Make a Choice to Feed on Brassica napus Cultivars	30875981
PMC6413443	2019	35371	Comparative proteomic analysis provides new insight into differential transmission of two begomoviruses by a whitefly	30857562
PMC6463088	2019	64936	Unity Makes Strength: A Review on Mutualistic Symbiosis in Representative Insect Clades	30823538
PMC6396740	2019	83010	Global Responses of Resistant and Susceptible Sorghum (Sorghum bicolor) to Sugarcane Aphid (Melanaphis sacchari)	30853964
PMC6412625	2019	33776	Chlamyphilone, a Novel Pochonia chlamydosporia Metabolite with Insecticidal Activity	30791467
PMC6439873	2019	97730	Using host-associated differentiation to track source population and dispersal distance among insect vectors of plant pathogens	30976303
PMC6477012	2019	53549	Introgression of resistance to Rhopalosiphum padi L. from wild barley into cultivated barley facilitated by doubled haploid and molecular marker techniques	30712072
PMC6439487	2019	79025	Counties not countries: Variation in host specificity among populations of an aphid parasitoid	30976312
PMC6358769	2019	31924	Sensitivity of a Ratio Vegetation Index Derived from Hyperspectral Remote Sensing to the Brown Planthopper Stress on Rice Plants	30658494
PMC6359319	2019	59349	Overview of the Structure_Function Relationships of Mannose-Specific Lectins from Plants, Algae and Fungi	30634645
PMC6337638	2019	42259	Host-Induced Gene Silencing: A Powerful Strategy to Control Diseases of Wheat and Barley	30626050
PMC6277090	2018	33835	Treating wheat seeds with neonicotinoid insecticides does not harm the rhizosphere microbial community	30507964
PMC6277073	2018	37963	Cereal aphids differently affect benzoxazinoid levels in durum wheat	30507950
PMC6291435	2018	35718	Insect cuticular proteins and their role in transmission of phytoviruses	30245214
PMC6256083	2018	63113	A Review on the Synthesis and Bioactivity Aspects of Beauvericin, a Fusarium Mycotoxin	30515098
PMC6204049	2018	68278	Effects of sugarcane aphid herbivory on transcriptional responses of resistant and susceptible sorghum	30367619
PMC6213987	2018	40831	miRNA-Mediated Interactions in and between Plants and Insects	30347694
PMC6294282	2018	56596	Impact of Insecticide Seed Treatments and Foliar Insecticides on Aphid Infestations in Wheat, Incidence of Barley Yellow Dwarf, and Yield in West Tennessee	30277512
