pmcid	year	count	title	pubmedid
PMC7493910	2020	50072	Transcriptome response comparison between vector and non-vector aphids after feeding on virus-infected wheat plants	
PMC7412557	2020	76306	Aphid-Responsive Defense Networks in Hybrid Switchgrass	32849703
PMC7469146	2020	33487	Temperature-Dependent Demographic Characteristics and Control Potential of Aphelinus asychis Reared from Sitobion avenae as a Biological Control Agent for Myzus persicae on Chili Peppers	32727020
PMC7381296	2020	98861	Mutations in Two Aphid-Regulated beta-1,3-Glucanase Genes by CRISPR/Cas9 Do Not Increase Barley Resistance to Rhopalosiphum padi L	32754185
PMC7411604	2020	32093	Asymmetric Interaction between Aphis spiraecola and Toxoptera citricida on Sweet Orange Induced by Pre-Infestation	32635348
PMC7325037	2020	74898	Phylogenetic analysis of the Tc1/mariner superfamily reveals the unexplored diversity of pogo-like elements	32612713
PMC7325723	2020	34822	Plant miRNA Cross-Kingdom Transfer Targeting Parasitic and Mutualistic Organisms as a Tool to Advance Modern Agriculture	32655608
PMC7243947	2020	99786	AcDCXR Is a Cowpea Aphid Effector With Putative Roles in Altering Host Immunity and Physiology	32499809
PMC7290403	2020	41866	Lysine Acetyltransferase p300/CBP Plays an Important Role in Reproduction, Embryogenesis and Longevity of the Pea Aphid Acyrthosiphon pisum	32357443
PMC7250505	2020	44516	Nudivirus Remnants in the Genomes of Arthropods	32282886
PMC6994723	2020	52539	An RNAi supplemented diet as a reverse genetics tool to control bluegreen aphid, a major pest of legumes	32005880
PMC6992952	2020	32114	Data on winged insect dynamics in melon crops in southeastern France	32016141
PMC7093385	2020	59514	Identification and characterisation of common glow-worm RNA viruses	31900852
PMC6917271	2019	72918	The salivary gland proteome of root-galling grape phylloxera (Daktulosphaira vitifoliae Fitch) feeding on Vitis spp.	31846459
PMC6906386	2019	47924	The green peach aphid gut contains host plant microRNAs identified by comprehensive annotation of Brassica oleracea small RNA data	31827121
PMC6906763	2019	77052	Accumulation ofCarboxylate and Aromatic Fluorophoresby a Pest-Resistant Sweet Sorghum [Sorghum bicolor (L.) Moench] Genotype	31858036
PMC7038657	2020	328411	Phylogenomics Identifies an Ancestral Burst of Gene Duplications Predating the Diversification of Aphidomorpha	31702774
PMC6825165	2019	61478	Identification of candidate ATP-binding cassette transporter gene family members in Diaphorina citri (Hemiptera: Psyllidae) via adult tissues transcriptome analysis	31676883
PMC6843310	2019	41239	Host Plant-Derived miRNAs Potentially Modulate the Development of a Cosmopolitan Insect Pest, Plutella xylostella	31614786
PMC6780493	2019	37906	Interaction of Cultural, Biological, and Varietal Controls for Management of Stalk Borers in Louisiana Sugarcane	31546775
PMC6701489	2019	46689	A chromosome-level draft genome of the grain aphid Sitobion miscanthi	31430367
PMC6627194	2019	22641	Survey of the Bradysia odoriphaga Transcriptome Using PacBio Single-Molecule Long-Read Sequencing	31242713
PMC6564039	2019	36218	Fall armyworm (Spodoptera frugiperda Smith) feeding elicits differential defense responses in upland and lowland switchgrass	31194847
PMC6523691	2019	49767	Hemipteran Pests of Sugarcane in North America	31013987
PMC6439219	2019	32137	RNA interference-mediated knockdown of voltage-gated sodium channel (MpNav) gene causes mortality in peach-potato aphid, Myzus persicae	30923355
PMC6446971	2019	60677	Evolution of Mutator transposable elements across eukaryotic diversity	30988700
PMC6344576	2019	44242	Rapid Data Analytics to Relate Sugarcane Aphid [(Melanaphis sacchari (Zehntner)] Population and Damage on Sorghum (Sorghum bicolor (L.) Moench)	30674945
PMC6213987	2018	40831	miRNA-Mediated Interactions in and between Plants and Insects	30347694
PMC6124740	2018	81618	Probing behaviors and their plasticity for the aphid Sitobion avenae on three alternative host plants	30183744
PMC5919042	2018	58825	Invasion of sorghum in the Americas by a new sugarcane aphid (Melanaphis sacchari) superclone	29694435
PMC5452433	2017	53567	Plant Water Stress Affects Interactions Between an Invasive and a Naturalized Aphid Species on Cereal Crops	28430898
PMC5374211	2017	70525	High Level of Nitrogen Makes Tomato Plants Releasing Less Volatiles and Attracting More Bemisia tabaci (Hemiptera: Aleyrodidae)	28408917
PMC5348029	2017	83021	The relationships within the Chaitophorinae and Drepanosiphinae (Hemiptera, Aphididae) inferred from molecular-based phylogeny and comprehensive morphological data	28288166
PMC5314684	2017	82568	Transcriptional analysis of defense mechanisms in upland tetraploid switchgrass to greenbugs	28209137
PMC5345361	2017	103501	DNA barcoding and species delimitation of <named-content content-type="subfamily">Chaitophorinae (Hemiptera, Aphididae)	28331401
