pmcid	year	count	title	pubmedid
PMC7508298	2020	76059	Antixenosis, Antibiosis, and Potential Yield Compensatory Response in Barley Cultivars Exposed to Wheat Stem Sawfly (Hymenoptera: Cephidae) Under Field Conditions	
PMC7478134	2020	45890	Model prediction of a Kunitz-type trypsin inhibitor protein from seeds of Acacia nilotica L. with strong antimicrobial and insecticidal activity	32922126
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7469149	2020	24023	Evaluation of the Insecticidal Activities of alpha-Pinene and 3-Carene on Sitophilus zeamais Motschulsky (Coleoptera: Curculionidae)	32824401
PMC7466655	2020	58527	Synthesis and Technology of Nanoemulsion-Based Pesticide Formulation	32824489
PMC7449468	2020	86769	Quorum sensing sets the stage for the establishment and vertical transmission of Sodalis praecaptivus in tsetse flies	32797092
PMC7474633	2020	12999	An endosymbiont's journey through metamorphosis of its insect host	32801211
PMC7438863	2020	85520	Methanolic Extract of Winter Cherry Causes Morpho-Histological and Immunological Ailments in Mulberry Pyralid Glyphodes pyloalis	32903720
PMC7414872	2020	52437	Two antimicrobial genes from Aegilops tauschii Cosson identified by the Bacillus subtilis expression system	32770019
PMC7469183	2020	41462	Essential Oils as Post-Harvest Crop Protectants against the Fruit Fly Drosophila suzukii: Bioactivity and Organoleptic Profile	32764515
PMC7441086	2020	41711	Identification of sulfakinin receptors (SKR) in Tenebrio molitor beetle and the influence of sulfakinins on carbohydrates metabolism	32749519
PMC7464977	2020	22615	Leguminous Seeds Powder Diet Reduces the Survival and Development of the Khapra beetle, Trogoderma granarium Everts (Coleoptera: Dermestidae)	32756491
PMC7398500	2020	71649	Negative effect of methyl bromide fumigation work on the central nervous system	32745138
PMC7469181	2020	40648	Insecticidal Activity of 28 Essential Oils and a Commercial Product Containing Cinnamomum cassia Bark Essential Oil against Sitophilus zeamais Motschulsky	32726904
PMC7465044	2020	40983	Biological Activity of Humulus lupulus (L.) Essential Oil and Its Main Components against Sitophilus granarius (L.)	32722511
PMC7469176	2020	33775	Essential Oil Headspace Volatiles Prevent Invasive Box Tree Moth (Cydalima perspectalis) Oviposition-Insights from Electrophysiology and Behaviour	32718029
PMC7374085	2020	49399	Soil and foliar application of rock dust as natural control agent for two-spotted spider mites on tomato plants	32694587
PMC7397214	2020	35422	The Essential Oil of Cymbopogon citratus Stapt and Carvacrol: An Approach of the Antitumor Effect on 7,12-Dimethylbenz-[alpha]-anthracene (DMBA)-Induced Breast Cancer in Female Rats	32698395
PMC7411575	2020	34696	Genetic Diversity in Invasive Populations of Argentine Stem Weevil Associated with Adaptation to Biocontrol	32674400
PMC7358211	2020	72424	Adaptation of pine wood nematode Bursaphelenchus xylophilus to beta-pinene stress	32660425
