pmcid	year	count	title	pubmedid
PMC7482974	2020	66084	The nesting preference of an invasive ant is associated with the cues produced by actinobacteria in soil	
PMC7472703	2020	74253	DNA methylation suppresses chitin degradation and promotes the wing development by inhibiting Bmara-mediated chitinase expression in the silkworm, Bombyx mori	32887667
PMC7504193	2020	39431	Comparison of Clinical Manifestations, Treatments, and Outcomes between Vespidae Sting and Formicidae Sting Patients in the Emergency Department in Taiwan	
PMC7468439	2020	38499	Pheromonal Regulation of the Reproductive Division of Labor in Social Insects	32974354
PMC7438095	2020	184731	Social reprogramming in ants induces longevity-associated glia remodeling	32875108
PMC7469119	2020	61816	Headspace Solid-Phase Microextraction: Validationof the Method and Determination of Allyl Isothiocyanate Persistencein Cowpea Beans	32905399
PMC7487254	2020	72234	Macroevolutionary integration of phenotypes within and across ant worker castes	32953067
PMC7442751	2020	146835	Comparative FISH-mapping of TTAGG telomeric sequences to the chromosomes of leafcutter ants (Formicidae, <named-content content-type="subfamily">Myrmicinae): is the insect canonical sequence conserved?	32879706
PMC7452442	2020	68381	Endomycobiome associated with females of the planthopper Delphacodes kuscheli (Hemiptera: Delphacidae): A metabarcoding approach	32904272
PMC7419493	2020	29178	Colony co-founding in ants is an active process by queens	32782254
PMC7476760	2020	114136	Genomic architecture and evolutionary antagonism drive allelic expression bias in the social supergene of red fire ants	32773032
PMC7413487	2020	182148	Identification of chemosensory genes from the antennal transcriptome of Semiothisa cinerearia	32764791
PMC7460367	2020	33244	Soft Release Translocation of Texas Horned Lizards (Phrynosoma cornutum) on an Urban Military Installation in Oklahoma, United States	32781530
PMC7410318	2020	71808	Intraspecific variation in the karyotype length and genome size of fungus-farming ants (genus Mycetophylax), with remarks on procedures for the estimation of genome size in the Formicidae by flow cytometry	32760102
PMC7441091	2020	58212	Short neuropeptide F signaling regulates functioning of male reproductive system in Tenebrio molitor beetle	32749520
PMC7387867	2020	30511	Differential Behavioral Responses of Solenopsis invicta (Hymenoptera: Formicidae) Workers Toward Nestmate and Non-Nestmate Corpses	32725158
PMC7385329	2020	53177	Agent-Based Modeling and Simulation in Mathematics and Biology Education	32725363
PMC7452775	2020	78725	Association between host wing morphology polymorphism and Wolbachia infection in Vollenhovia emeryi (Hymenoptera: Myrmicinae)	32884660
PMC7386586	2020	53656	Interspecific hierarchies from aggressiveness and body size among the invasive alien hornet, Vespa velutina nigrithorax, and five native hornets in South Korea	32722670
PMC7382497	2020	74253	The potential for a CRISPR gene drive to eradicate or suppress globally invasive social wasps	32709966
PMC7374620	2020	51171	Molecular phylogenetic analysis and morphological reassessments of thief ants identify a new potential case of biological invasions	32694527
PMC7367480	2020	102123	A Species delimitation approach to uncover cryptic species in the South American fire ant decapitating flies (Diptera: Phoridae: Pseudacteon)	32678835
PMC7412340	2020	54234	Prophylactic Avoidance of Hazardous Prey by the Ant Host Myrmica rubra	32674516
PMC7360596	2020	44497	The social supergene dates back to the speciation time of two Solenopsis fire ant species	32665692
PMC7347709	2020	52922	Antigen 5 Allergens of Hymenoptera Venoms and Their Role in Diagnosis and Therapy of Venom Allergy	32647993
PMC7391535	2020	80399	Growth and survival of the superorganism: Ant colony macronutrient intake and investment	32760573
PMC7404655	2020	29874	Nutritional Value of the Larvae of the Alien Invasive Wasp Vespa velutina nigrithorax and Amino Acid Composition of the Larval Saliva	32640612
PMC7412113	2020	68136	Comparative Cutaneous Water Loss and Desiccation Tolerance of Four Solenopsis spp. (Hymenoptera: Formicidae) in the Southeastern United States	32635677
PMC7423069	2020	73817	Consequences of Single-Locus and Tightly Linked Genomic Architectures for Evolutionary Responses to Environmental Change	32620014
PMC7338578	2020	32955	A Chemosensory Protein BtabCSP11 Mediates Reproduction in Bemisia tabaci	32695020
PMC7327076	2020	72358	Venom alkaloids against Chagas disease parasite: search for effective therapies	32606423
PMC7320190	2020	46857	Long-term effects of neonicotinoid insecticides on ants	32591582
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7317097	2020	10098	Genome Sequence of a Small RNA Virus of the Southern Corn Rootworm, Diabrotica undecimpunctata howardi Barber (Coleoptera: Chrysomelidae)	32586857
PMC7316859	2020	35290	Domain-centric database to uncover structure of minimally characterized viral genomes	32587259
PMC7314547	2020	99919	Echinoderms provide missing link in the evolution of PrRP/sNPF-type neuropeptide signalling	32579512
PMC7307738	2020	63053	Transcriptome analysis of a social caterpillar, Drepana arcuata: De novo assembly, functional annotation and developmental analysis	32569288
PMC7336853	2020	18298	Globally invasive populations of the clonal raider ant are derived from Bangladesh	32544382
PMC7297703	2020	39678	The Honeybee Venom Major Allergen Api m 10 (Icarapin) and Its Role in Diagnostics and Treatment of Hymenoptera Venom Allergy	32548726
PMC7341914	2020	74295	Superorganismal anisogamy: queen_male dimorphism in eusocial insects	32517607
PMC7349007	2020	35021	Analysis of Recent Interception Records Reveals Frequent Transport of Arboreal Ants and Potential Predictors for Ant Invasion in Taiwan	32521674
PMC7272071	2020	123030	Crop management system and carrot genotype affect endophyte composition and Alternaria dauci suppression	32497087
