pmcid	year	count	title	pubmedid
PMC7492873	2020	42459	The Complete Chloroplast Genome of Arabidopsis thaliana Isolated in Korea (Brassicaceae): An Investigation of Intraspecific Variations of the Chloroplast Genome of Korean A. thaliana	32964010
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7442752	2020	475470	The first survey of the beetles (Coleoptera) of the Farasan Archipelago of the southern Red Sea, Kingdom of Saudi Arabia	32879610
PMC7240615	2020	46866	Ultramorphological Characteristics of Falsogastrallus sauteri Pic (Coleoptera: Ptinidae) and a New Species of Cephalonomia Westwood (Hymenoptera: Bethylidae): A Book-Boring Beetle and Its Natural Enemy in Taiwan	32260140
PMC7177437	2020	44516	Role of Chitin Deacetylase 1 in the Molting and Metamorphosis of the Cigarette Beetle Lasioderma serricorne	32244803
PMC7143032	2020	67405	Agroforestry Management Systems Drive the Composition, Diversity, and Function of Fungal and Bacterial Endophyte Communities in Theobroma Cacao Leaves	32183118
PMC6920439	2019	66861	Biosecurity risks posed by a large sea-going passenger vessel: challenges of terrestrial arthropod species detection and eradication	31852943
PMC6921043	2019	36135	Knockdown of beta-N-acetylglucosaminidase 2 Impairs Molting and Wing Development in Lasioderma serricorne (Fabricius)	31717288
PMC6835372	2019	32131	Ozone Effectiveness on Wheat Weevil Suppression: Preliminary Research	31635382
PMC6787869	2019	97399	Reproductive isolation due to prezygotic isolation and postzygotic cytoplasmic incompatibility in parasitoid wasps	31632650
PMC6722863	2019	39062	Influence of Age, Host Plant and Mating Status in Pheromone Production and New Insights on Perception Plasticity in Tuta Absoluta	31434304
PMC6581665	2019	51453	Molecular and cytogenetic differentiation within the Lariophagusdistinguendus (F&#xF6;rster, 1841) species complex (Hymenoptera, Pteromalidae)	31240090
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6572347	2019	40146	Identification and Expression Analysis of Four Small Heat Shock Protein Genes in Cigarette Beetle, Lasioderma serricorne (Fabricius)	31096618
PMC6560455	2019	37009	Biosynthesis of Polyketides in Streptomyces	31064143
PMC6502792	2019	56573	Innate positive chemotaxis to paeonal from highly attractive Chinese medicinal herbs in the cigarette beetle, Lasioderma serricorne	31061503
PMC6468839	2019	59250	Sanitation Improves Stored Product Insect Pest Management	30884878
PMC6422892	2019	32926	Role of Modified Atmosphere in Pest Control and Mechanism of Its Effect on Insects	30914968
PMC6017073	2018	32981	An Efficient Chemoenzymatic Approach towards the Synthesis of Rugulactone	29534553
PMC5969102	2018	187720	Factors driving public tolerance levels and information-seeking behaviour concerning insects in the household environment	29274106
PMC5947625	2018	98821	Yeast-insect associations: It takes guts	29363168
PMC6017779	2018	28489	Efficacy of Compounds Isolated from the Essential Oil of Artemisia lavandulaefolia in Control of the Cigarette Beetle, Lasioderma serricorne	29414844
PMC5615201	2017	57290	A Novel, Extremely Elongated, and Endocellular Bacterial Symbiont Supports Cuticle Formation of a Grain Pest Beetle	28951480
PMC5563036	2017	36924	Novel bacteriocyte-associated pleomorphic symbiont of the grain pest beetle Rhyzopertha dominica (Coleoptera: Bostrichidae)	28828177
PMC5156346	2016	80758	Variations on a Theme: Antennal Lobe Architecture across Coleoptera	27973569
PMC5039552	2016	32051	Lariophagus distinguendus (Hymenoptera: Pteromalidae) (F&#xF6;rster)-Past, Present, and Future: The History of a Biological Control Method Using L. distinguendus against Different Storage Pests	27490572
PMC4920424	2016	65784	Species Identification of Food Contaminating Beetles by Recognizing Patterns in Microscopic Images of Elytra Fragments	27341524
PMC4853848	2016	18466	A case report: A rare case of infant gastrointestinal canthariasis caused by larvae of Lasioderma serricorne (Fabricius, 1792) (Coleoptera: Anobiidae)	27138301
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4737797	2015	44630	Potential applications of insect symbionts in biotechnology	26659224
PMC4714369	2015	61638	Two new fossil genera and species of <named-content content-type="subfamily">Cerocephalinae (Hymenoptera, <named-content content-type="superfamily">Chalcidoidea, Pteromalidae), including the first record from the Eocene	26798296
PMC4633539	2015	26262	Sexy Mouth Odour? Male Oral Gland Pheromone in the Grain Beetle Parasitoid Lariophagus distinguendus (F&#xF6;rster) (Hymenoptera: Pteromalidae)	26579532
PMC4522688	2015	27729	Innate positive chemotaxis to pollen from crops and banker plants in predaceous biological control agents: towards new field lures?	26235136
PMC4553500	2015	32502	Insect Pests and Integrated Pest Management in Museums, Libraries and Historic Buildings	26463205
PMC6272783	2015	124466	A Comprehensive Review on the Phytochemical Constituents and Pharmacological Activities of Pogostemon cablin Benth.: An Aromatic Medicinal Plant of Industrial Importance	25985355
PMC4459240	2014	104285	Morphometric analysis and taxonomic revision of Anisopteromalus Ruschka (Hymenoptera: Chalcidoidea: Pteromalidae) _ an integrative approach	26074661
PMC3783448	2013	51808	Gender and Timing during Ontogeny Matter: Effects of a Temporary High Temperature on Survival, Body Size and Colouration in Harmonia axyridis	24086415
PMC4745510	2013	53313	Microwave Heating as an Alternative Quarantine Method for Disinfestation of Stored Food Grains	26904615
PMC4553606	2012	58710	Shared Ancestry of Symbionts? Sagrinae and Donaciinae (Coleoptera, Chrysomelidae) Harbor Similar Bacteria	26466539
PMC3337057	2012	51133	New Coleoptera records from New Brunswick, Canada: Dermestidae, Endecatomidae, Bostrichidae, and Ptinidae	22539890
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC3210003	2011	59895	Chamomile (Matricaria chamomilla L.): An overview	22096322
PMC1797040	2007	41496	Host habitat assessment by a parasitoid using fungal volatiles	17284315
