pmcid	year	count	title	pubmedid
PMC7508886	2020	48211	Digestive activity and organic compounds of Nezara viridula watery saliva induce defensive soybean seed responses	
PMC7116095	2020	40506	Can Halophilic and Psychrophilic Microorganisms Modify the Freezing/Melting Curve of Cold Salty Solutions? Implications for Mars Habitability	32833498
PMC7488255	2020	38896	Comparative study of composition, antioxidant and antimicrobial activity of two adult edible insects from Tenebrionidae family	32944716
PMC7471941	2020	186558	Recent insights into the extraction, characterization, and bioactivities of chitin and chitosan from insects	32901176
PMC7487764	2020	49457	Beyond thermal melanism: association of wing melanization with fitness and flight behaviour in a butterfly	32952201
PMC7492168	2020	78778	Infrared Assisted Freeze-Drying (IRAFD) to Produce Shelf-StableInsect Food from Protaetia brevitarsis (White-Spotted FlowerChafer) Larva	32968732
PMC7492166	2020	123070	Subacute Oral Toxicity Evaluation of Freeze-Dried Powder ofLocusta migratoria	32968731
PMC7490342	2020	58758	Comparison of Gut Microbiota Diversity and Predicted Functions Between Healthy and Diseased Captive Rana dybowskii	
PMC7488584	2020	50917	Odorant-Binding Proteins Contribute to the Defense of the Red Flour Beetle, Tribolium castaneum, Against Essential Oil of Artemisia vulgaris	
PMC7483551	2020	61239	A Plumieridine-Rich Fraction From Allamanda polyantha Inhibits Chitinolytic Activity and Exhibits Antifungal Properties Against Cryptococcus neoformans	
PMC7481685	2020	46098	Young but not defenceless: antifungal activity during embryonic development of a social insect	32968491
PMC7504391	2020	43111	Biosurfactants Induce Antimicrobial Peptide Production through the Activation of TmSpatzles in Tenebrio molitor	
PMC7475268	2020	49761	Growth performance, serum biochemistry and meat quality traits of Jumbo quails fed with mopane worm (Imbrasia belina) meal-containing diets	32923738
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7487255	2020	97954	Effects of thermal and oxygen conditions during development on cell size in the common rough woodlice Porcellio scaber	32953083
PMC7439478	2020	77681	A Plant Virus Ensures Viral Stability in the Hemolymph of Vector Insects through Suppressing Prophenoloxidase Activation	32817105
PMC7464676	2020	40743	Chemical Characterisation and Antihypertensive Effects of Locular Gel and Serum of Lycopersicum esculentum L. var. "Camone" Tomato in Spontaneously Hypertensive Rats	32824747
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7456994	2020	36228	Sex Manipulation Technologies Progress in Livestock: A Review	32923466
PMC7434986	2020	58028	Hydrolytic Profile of the Culturable Gut Bacterial Community Associated With Hermetia illucens	32903451
PMC7417081	2020	37950	Characterization and expression analysis of genes encoding threesmall heat shock proteins in the oriental armyworm, Mythimnaseparata (Walker)	32776931
PMC7457960	2020	87365	ASAS-NANP SYMPOSIUM: RUMINANT/NONRUMINANT FEED COMPOSITION: Challenges and opportunities associated with creating large feed composition tables	32766838
PMC7438878	2020	92123	Recovery of the PHA Copolymer P(HB-co-HHx) With Non-halogenated Solvents: Influences on Molecular Weight and HHx-Content	32903820
PMC7426621	2020	81821	Rhodnius, Golden Oil, and Met: A History of Juvenile Hormone Research	32850806
PMC7468914	2020	37831	Gastrointestinally Digested Protein from the Insect Alphitobius diaperinus Stimulates a Different Intestinal Secretome than Beef or Almond, Producing a Differential Response in Food Intake in Rats	32784756
PMC7410198	2020	44701	Recycling of spent mushroom substrate: Utilization as feed material for the larvae of the yellow mealworm Tenebrio molitor (Coleoptera: Tenebrionidae)	32760156
PMC7413255	2020	31107	Callosobruchus embryo struggle to guarantee progeny production	32764669
PMC7414772	2020	163803	Identification of olfactory genes of a forensically important blow fly, Aldrichina grahami (Diptera: Calliphoridae)	32844056
PMC7417343	2020	71896	Genomics and Virulence of Fonsecaea pugnacius, Agent of Disseminated Chromoblastomycosis	32849816
PMC7409496	2020	33593	Female northern grass lizards judge mates by body shape to reinforce local adaptation	32774436
PMC7441091	2020	58212	Short neuropeptide F signaling regulates functioning of male reproductive system in Tenebrio molitor beetle	32749520
PMC7441086	2020	41711	Identification of sulfakinin receptors (SKR) in Tenebrio molitor beetle and the influence of sulfakinins on carbohydrates metabolism	32749519
PMC7459624	2020	28530	Antioxidant Status and Liver Function of Young Turkeys Receiving a Diet with Full-Fat Insect Meal from Hermetia illucens	32756310
PMC7466187	2020	58039	Towards More Sustainable Meat Products: Extenders as a Way of Reducing Meat Content	32756372
PMC7469203	2020	35271	In Vitro Protective Effect of Paste and Sauce Extract Made with Protaetia brevitarsis Larvae on HepG2 Cells Damaged by Ethanol	32756329
PMC7394049	2020	52826	Quinolines derivatives as promising new antifungal candidates for the treatment of candidiasis and dermatophytosis	32737869
PMC7435900	2020	33078	Optimization of a Simplified and Effective Analytical Method of Pesticide Residues in Mealworms (Tenebrio molitor Larvae) Combined with GC_MS/MS and LC_MS/MS	32752108
PMC7422489	2020	44213	A Dihydroflavonoid Naringin Extends the Lifespan of C. elegans and Delays the Progression of Aging-Related Diseases in PD/AD Models via DAF-16	32832002
PMC7432913	2020	36699	Genomic Characterization and Expression of Juvenile Hormone Esterase-Like Carboxylesterase Genes in Pacific White Shrimp, Litopenaeus vannamei	32751646
PMC7387867	2020	30511	Differential Behavioral Responses of Solenopsis invicta (Hymenoptera: Formicidae) Workers Toward Nestmate and Non-Nestmate Corpses	32725158
PMC7460256	2020	41088	Antimicrobial Effects of Black Soldier Fly and Yellow Mealworm Fats and Their Impact on Gut Microbiota of Growing Rabbits	32731566
PMC7466229	2020	21661	Insects Used as Food and Feed: Isn't That What We All Need?	32726913
PMC7432609	2020	54380	Multifunctional Periphytic Biofilms: Polyethylene Degradation and Cd2+ and Pb2+ Bioremediation under High Methane Scenario	32727088
PMC7432377	2020	66489	Plant Defensins from a Structural Perspective	32722628
PMC7466282	2020	31788	Evaluation of Subchronic Oral Dose Toxicity of Freeze-Dried Skimmed Powder of Zophobas atratus Larvae (frpfdZAL) in Rats	32722267
PMC7393143	2020	52652	Diversity and Composition of the Gut Microbiota in the Developmental Stages of the Dung Beetle Copris incertus Say (Coleoptera, Scarabaeidae)	32793162
PMC7381671	2020	24489	Selectivity of deltamethrin doses on Palmistichus elaeisis (Hymenoptera: Eulophidae) parasitizing Tenebrio molitor (Coleoptera: Tenebrionidae)	32709920
PMC7466190	2020	84272	Antidiabetic Food-Derived Peptides for Functional Feeding: Production, Functionality and In Vivo Evidences	32718070
PMC7390942	2020	76044	Salmonella Typhimurium Level in Mealworms (Tenebrio molitor) After Exposure to Contaminated Substrate	32793145
PMC7377444	2020	141504	Selection of cereal-sourced lactic acid bacteria as candidate starters for the baking industry	32702068
PMC7387653	2020	55493	A CD63 Homolog Specially Recruited to the Fungi-Contained Phagosomes Is Involved in the Cellular Immune Response of Oyster Crassostrea gigas	32793193
PMC7387575	2020	88937	Identification and Expression Profile of Olfactory Receptor Genes Based on Apriona germari (Hope) Antennal Transcriptome	32792974
PMC7374602	2020	41731	Characterization of Gromphadorhina coquereliana hemolymph under cold stress	32694601
PMC7368053	2020	34626	About lipid metabolism in Hermetia illucens (L. 1758): on the origin of fatty acids in prepupae	32680992
PMC7404469	2020	49033	Sourdough Fermentation Degrades Wheat Alpha-Amylase/Trypsin Inhibitor (ATI) and Reduces Pro-Inflammatory Activity	32708800
PMC7404644	2020	55112	Physicochemical Properties and Consumer Acceptance of Bread Enriched with Alternative Proteins	32679638
PMC7373731	2020	54151	Fermentation Versus Meat Preservatives to Extend the Shelf Life of Mealworm (Tenebrio molitor) Paste for Feed and Food Applications	32760364
PMC7404258	2020	59492	The Potential of Insects as Alternative Sources of Chitin: An Overview on the Chemical Method of Extraction from Various Sources	32679639
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7412340	2020	54234	Prophylactic Avoidance of Hazardous Prey by the Ant Host Myrmica rubra	32674516
PMC7405005	2020	44236	Effect of Blanching Plus Fermentation on Selected Functional Properties of Mealworm (Tenebrio molitor) Powders	32664653
PMC7407236	2020	153704	Defensins of Grasses: A Systematic Review	32664422
PMC7366252	2020	100647	Nitrogen-to-Protein Conversion Factors for Edible Insects on the Swiss Market: T. molitor, A. domesticus, and L. migratoria	32754611
PMC7412147	2020	27045	Comparative Toxicity of Helicoverpa armigera and Helicoverpa zea (Lepidoptera: Noctuidae) to Selected Insecticides	32664300
PMC7357564	2020	77461	Arthropod IGF, relaxin and gonadulin, putative orthologs of Drosophila insulin-like peptides 6, 7 and 8, likely originated from an ancient gene triplication	32728497
PMC7343874	2020	66116	Evaluation of various commodities for the development of the yellow mealworm, Tenebrio molitor	32641803
PMC7401588	2020	42105	Tenebrio molitor Larvae Meal Affects the Cecal Microbiota of Growing Pigs	32645939
PMC7358359	2020	37172	Recent Advances in Genetic and Epigenetic Modulation of Animal Exposure to High Temperature	32733534
PMC7341793	2020	64483	Characterization of DvSSJ1 transcripts targeting the smooth septate junction (SSJ) of western corn rootworm (Diabrotica virgifera virgifera)	32636422
PMC7404655	2020	29874	Nutritional Value of the Larvae of the Alien Invasive Wasp Vespa velutina nigrithorax and Amino Acid Composition of the Larval Saliva	32640612
PMC7404714	2020	29806	Effect of Thermal Processing on Physico-Chemical and Antioxidant Properties in Mulberry Silkworm (Bombyx mori L.) Powder	32635164
PMC7404640	2020	85928	Control of Foodborne Biological Hazards by Ionizing Radiations	32635407
PMC7337030	2020	62375	Selection of Beauveria bassiana (Hypocreales: Cordycipitaceae) strains to control Xyleborus affinis (Curculionidae: Scolytinae) females	32685289
PMC7372989	2020	72155	Aroma Characteristics of Raw and Cooked Tenebriomolitor Larvae (Mealworms)	32734271
PMC7329192	2020	59387	Foraging through multiple nest holes: An impediment to collectivedecision-making in ants	32609769
PMC7404660	2020	38332	Traditional Knowledge of the Utilization of Edible Insects in Nagaland, North-East India	32629940
PMC7407880	2020	37941	Bioactive Compounds from Hermetia Illucens Larvae as Natural Ingredients for Cosmetic Application	32610700
PMC7325100	2020	93082	Contribution to understanding the evolution of holometaboly: transformation of internal head structures during the metamorphosis in the green lacewing Chrysopa pallens (Neuroptera: Chrysopidae)	32600301
PMC7404774	2020	81185	Current Trends of Bioactive Peptides-New Sources and Therapeutic Effect	32610520
PMC7359926	2020	64176	Molecular characterization of siderophore biosynthesis in Paracoccidioides brasiliensis	32742914
PMC7370083	2020	37922	Molecular Evidence that Lysiphlebia japonica Regulates the Development and Physiological Metabolism of Aphis gossypii	32610524
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7381833	2020	114701	Standardized ileal digestible amino acids and net energy contents in full fat and defatted black soldier fly larvae meals (Hermetia illucens) fed to growing pigs	32734146
PMC7455933	2020	57873	Extrusion texturization of cricket flour and soy protein isolate: Influence of insect content, extrusion temperature, and moisture-level variation on textural properties	32884692
PMC7333248	2020	107450	Dynamics of Insect_Microbiome Interaction Influence Host and Microbial Symbiont	32676060
PMC7349008	2020	27891	Ontogenic Development of Digestive Enzymes in Mealworm Larvae (Tenebrio molitor) and Their Suitable Harvesting Time for Use as Fish Feed	32604741
PMC7316507	2020	49932	Numerical magnitude, rather than individual bias, explains spatial numerical association in newborn chicks	32584257
PMC7343183	2020	69576	JNK pathway plays a key role in the immune system of the pea aphid and is regulated by microRNA-184	32584915
PMC7314810	2020	85688	The genome of pest Rhynchophorus ferrugineus reveals gene families important at the plant-beetle interface	32581279
PMC7349032	2020	30839	Sensor Systems for Detecting Dough Properties Fortified with Grape Pomace and Mealworm Powders	32599780
PMC7354594	2020	31320	Analysis of Cry1Ah Toxin-Binding Reliability to Midgut Membrane Proteins of the Asian Corn Borer	32599715
PMC7348716	2020	51998	What Is Required for Edible Insects to Become Medical Food? From a Health Professionals and Caregivers' Perspective	32585981
PMC7311437	2020	70333	Identification and age-dependence of pteridines in bed bugs (Cimex lectularius) and bat bugs (C. pipistrelli) using liquid chromatography-tandem mass spectrometry	32576867
PMC7386635	2020	88368	Performance, blood profile and gut morphometry of broiler chickens fed diets supplemented with Yohimbe (Pausynistalia yohimbe) and Larvacide	32734027
PMC7304194	2020	88025	Dried fruit pomace inclusion in poultry diet: growth performance, intestinal morphology and physiology	32577234
PMC7305228	2020	47226	Capsaicin Functions as Drosophila Ovipositional Repellent and Causes Intestinal Dysplasia	32561812
PMC7353482	2020	58223	Chemistry and Sensory Characterization of a Bakery Product Prepared with Oils from African Edible Insects	32570724
PMC7349354	2020	33592	Acute Toxicity and Sublethal Effects of Lemongrass Essential Oil and Their Components against the Granary Weevil, Sitophilus granarius	32570794
PMC7346221	2020	126871	Terpenoids as Potential Geroprotectors	32560451
PMC7353477	2020	28863	Product Quality during the Storage of Foods with Insects as an Ingredient: Impact of Particle Size, Antioxidant, Oil Content and Salt Content	32560134
PMC5664013	2017	64394	Production and Use of Hymenolepis diminuta Cysticercoids as Anti-Inflammatory Therapeutics	29064448
PMC5816129	2017	46181	An Evolutionary Perspective on Linoleic Acid Synthesis in Animals	29497218
PMC5666897	2017	38226	Protective Effects of Red Ginseng Oil against Abeta25_35-Induced Neuronal Apoptosis and Inflammation in PC12 Cells	29065557
PMC5664030	2017	78776	Review of Black Soldier Fly (Hermetia illucens) as Animal Feed and Human Food	29057841
PMC5666426	2017	42873	Identification and Characterization of an Isoform Antifreeze Protein from the Antarctic Marine Diatom, Chaetoceros neogracile and Suggestion of the Core Region	29057803
PMC5696387	2017	58249	Responses to a warming world: Integrating life history, immune investment, and pathogen resistance in a model insect species	29188001
PMC5645804	2017	147423	An Update on Candida tropicalis Based on Basic and Clinical Approaches	29081766
PMC5640609	2017	63316	Long-lasting antiviral innate immune priming in the Lophotrochozoan Pacific oyster, Crassostrea gigas	29030632
PMC5703640	2017	117671	Stochastic variation in the initial phase of bacterial infection predicts the probability of survival in D. melanogaster	29022878
