pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7391587	2020	79293	Ophiostomatoid fungi associated with mites phoretic on bark beetles in Qinghai, China	32775175
PMC7174603	2020	58867	Functional Analysis of Two Odorant-Binding Proteins, MaltOBP9 and MaltOBP10, in Monochamus alternatus Hope	32351402
PMC7082121	2020	75519	Observations on the Ultrastructure of Antennal Sensilla of Adult Glenea cantor (Cerambycidae: Lamiinae)	32191795
PMC7008830	2020	486182	Pest categorisation of Saperda tridentata	32626494
PMC6925271	2019	42528	A male-produced aggregation-sex pheromone of the beetle Arhopalus rusticus (Coleoptera: Cerambycidae, Spondylinae) may be useful in managing this invasive species	31863031
PMC6920869	2019	31167	A Comparison of Three Approaches for Larval Instar Separation in Insects-A Case Study of Dendrolimus pini	31684061
PMC6835760	2019	67157	Semiochemical and Communication Ecology of the Emerald Ash Borer, Agrilus planipennis (Coleoptera: Buprestidae)	31569826
PMC6780930	2019	30870	Electroantennographic Responses of Aromia bungii (Faldermann, 1835) (Coleoptera, Cerambycidae) to a Range of Volatile Compounds	31461927
PMC6684524	2019	98330	Notes on braconid wasps (Hymenoptera, Braconidae) parasitising on Agrilusmali Matsumura (Coleoptera, Buprestidae) in China	31402839
PMC6523346	2019	30818	Volatiles from Different Instars of Honeybee Worker Larvae and Their Food	31027217
PMC6523298	2019	41601	Scanning Electron Microscopy of the Antennal Sensilla and Their Secretion Analysis in Adults of Aromia bungii (Faldermann, 1835) (Coleoptera, Cerambycidae)	30925753
PMC6463110	2019	61570	High-Throughput Sequencing to Investigate Phytopathogenic Fungal Propagules Caught in Baited Insect Traps	30759800
PMC6182259	2018	211502	Ophiostomatoid fungi associated with pines infected by Bursaphelenchusxylophilus and Monochamusalternatus in China, including three new species	30323707
PMC6062566	2018	198722	Anticosti Island: a hot spot for Neospondylisupiformis (Coleoptera: Cerambycidae) in eastern Canada?	30057480
PMC6023466	2018	44109	A New Alien Invasive Longhorn Beetle, Xylotrechus chinensis (Cerambycidae), Is Infesting Mulberries in Catalonia (Spain)	29747428
PMC6044403	2018	48911	Origins and History of Laboratory Insect Stocks in a Multispecies Insect Production Facility, With the Proposal of Standardized Nomenclature and Designation of Formal Standard Names	29718362
PMC6023372	2018	42118	Mating Behavior of Rosalia batesi (Coleoptera: Cerambycidae) Is Mediated by Male-Produced Sex Pheromones	29690648
PMC5565183	2017	68170	Novel, male-produced aggregation pheromone of the cerambycid beetle Rosalia alpina, a priority species of European conservation concern	28827817
PMC5363988	2017	34679	Suitability of eastern pines for oviposition and survival of Sirex noctilio F.	28334011
PMC5238391	2017	40206	Identification of wood-boring beetles (Cerambycidae and Buprestidae) intercepted in trade-associated solid wood packaging material using DNA barcoding and morphology	28091577
PMC5059451	2016	35056	Massive yet grossly underestimated global costs of invasive insects	27698460
PMC5101256	2016	85733	Volatile Organic Compounds Emitted by Fungal Associates of Conifer Bark Beetles and their Potential in Bark Beetle Control	27687998
PMC5019024	2016	79032	Morphology and Ultrastructure of Antennal Sensilla in Male and Female Agrilus mali (Coleoptera: Buprestidae)	27620559
PMC4928593	2016	103572	Neuroethology of Olfactory-Guided Behavior and Its Potential Application in the Control of Harmful Insects	27445858
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4740852	2016	100079	Further contributions to the longhorn beetle (Coleoptera, Cerambycidae) fauna of New Brunswick and Nova Scotia, Canada	26865818
PMC4598122	2015	122685	Do Native Insects and Associated Fungi Limit Non-Native Woodwasp, Sirex noctilio, Survival in a Newly Invaded Environment?	26447845
PMC4524714	2015	32578	Identification of a Male-Produced Pheromone Component of the Citrus Longhorned Beetle, Anoplophora chinensis	26241651
PMC4270785	2014	64726	(R)-Desmolactone Is a Sex Pheromone or Sex Attractant for the Endangered Valley Elderberry Longhorn Beetle Desmocerus californicus dimorphus and Several Congeners (Cerambycidae: Lepturinae)	25521293
PMC4271135	2014	46990	Identification of a Potential Third Component of the Male-Produced Pheromone of Anoplophora glabripennis and its Effect on Behavior	25432666
PMC4020780	2014	113110	Effectiveness of the International Phytosanitary Standard ISPM No. 15 on Reducing Wood Borer Infestation Rates in Wood Packaging Material Entering the United States	24827724
PMC3966887	2014	85982	Design Factors That Influence the Performance of Flight Intercept Traps for the Capture of Longhorned Beetles (Coleoptera: Cerambycidae) from the Subfamilies Lamiinae and Cerambycinae	24671147
PMC3677338	2013	739479	The genera in the second catalogue (1833_1836) of Dejean's Coleoptera collection	23794836
PMC3536323	2012	68457	Parasitoids ofMonochamus galloprovincialis (Coleoptera, Cerambycidae), vector of the pine wood nematode, with identification key for the Palaearctic region	23378807
PMC3406445	2012	87188	Surprising longhorned beetle (Coleoptera, Cerambycidae) richness along an Italian alpine valley	22859870
PMC3337066	2012	40072	New Coleoptera records from New Brunswick, Canada: Cerambycidae	22539899
PMC4553624	2012	114416	Associations of Conifer-Infesting Bark Beetles and Fungi in Fennoscandia	26467956
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC3043240	2011	26152	cis-Vaccenyl Acetate, A Female-Produced Sex Pheromone Component of Ortholeptura valida, A Longhorned Beetle in the Subfamily Lepturinae	21274597
PMC3028507	2010	77798	     Ophiostoma spp. associated with pine- and spruce-infesting bark beetles in Finland and Russia	21339968
PMC3030743	2010	58296	Determination of the Relative and Absolute Configurations of the Female-produced Sex Pheromone of the Cerambycid Beetle Prionus californicus	21127949
