pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7240479	2020	74725	A Review of the Phenotypic Traits Associated with Insect Dispersal Polymorphism, and Experimental Designs for Sorting out Resident and Disperser Phenotypes	32235446
PMC6947457	2019	36437	Conversion of DNA Sequences: From a Transposable Element to a Tandem Repeat or to a Gene	31817529
PMC6780895	2019	32948	Isolation of a Pericentromeric Satellite DNA Family in Chnootriba argus (Henosepilachna argus) with an Unusual Short Repeat Unit (TTAAAA) for Beetles	31546864
PMC6455084	2019	38486	Autofluorescence-Based Identification and Functional Validation of Antennal Gustatory Sensilla in a Specialist Leaf Beetle	31001138
PMC6458359	2019	35202	Complex interactions between local adaptation, phenotypic plasticity and sex affect vulnerability to warming in a widespread marine copepod	31032052
PMC6426864	2019	46649	Fossil evidence of elytra reduction in ship-timber beetles	30894613
PMC5799738	2018	2602586	Catalogue of Tenebrionidae (Coleoptera) of North America	29416389
PMC5767042	2018	47110	Uncovering the evolutionary history of neo-XY sex chromosomes in the grasshopper Ronderosia bergii (Orthoptera, Melanoplinae) through satellite DNA analysis	29329524
PMC5844308	2018	99507	Dispersion Profiles and Gene Associations of Repetitive DNAs in the Euchromatin of the Beetle Tribolium castaneum	29311112
PMC5847043	2017	24791	Elytra reduction may affect the evolution of beetle hind wings	29568156
PMC5775491	2017	62403	Effects of inbreeding on a gregarious parasitoid wasp with complementary sex determination	29387159
PMC5638539	2017	53498	A mannitol/sorbitol receptor stimulates dietary intake in Tribolium castaneum	29023543
PMC5527012	2017	47206	High-throughput analysis of the satellitome revealed enormous diversity of satellite DNAs in the neo-Y chromosome of the cricket Eneoptera surinamensis	28743997
PMC5511699	2017	63016	Cuticle hydrocarbons in saline aquatic beetles	28717597
PMC5067906	2016	133636	Morphological and Transcriptomic Analysis of a Beetle Chemosensory System Reveals a Gnathal Olfactory Center	27751175
PMC5737470	2016	61633	Regular Higher Order Repeat Structures in Beetle Tribolium castaneum Genome	27492235
PMC4926120	2016	22743	DNA barcoding, species-specific PCR and real-time PCR techniques for the identification of six Tribolium pests of stored products	27352804
PMC4868922	2016	3077254	Litteratura Coleopterologica (1758_1900): a guide to selected books related to the taxonomy of Coleoptera with publication dates and notes	
PMC4829933	2016	972438	Checklist of the Coleoptera of New Brunswick, Canada	27110174
PMC4675708	2015	85784	Genome-wide analysis of tandem repeats in Tribolium castaneum genome reveals abundant and highly dynamic tandem repeat families with satellite DNA features in euchromatic chromosomal arms	26428853
PMC4377858	2014	59431	Tissue-specific transcriptomics, chromosomal localization, and phylogeny of chemosensory and odorant binding proteins from the red flour beetle Tribolium castaneum reveal subgroup specificities for olfaction or more general functions	25523483
PMC4107277	2014	53662	Centromere identity from the DNA point of view	24763964
PMC3708791	2013	107128	Odoriferous Defensive Stink Gland Transcriptome to Identify Novel Genes Necessary for Quinone Synthesis in the Red Flour Beetle, Tribolium castaneum	23874211
PMC3677338	2013	739479	The genera in the second catalogue (1833_1836) of Dejean's Coleoptera collection	23794836
PMC3520820	2012	96527	Molecular adaptation and resilience of the insect's nuclear receptor USP	23039844
PMC3343089	2012	58900	Formation of Rigid, Non-Flight Forewings (Elytra) of a Beetle Requires Two Major Cuticular Proteins	22570623
PMC3298550	2011	57181	A gene-based SNP resource and linkage map for the copepod Tigriopus californicus	22103327
PMC3281328	2011	28267	Does Tribolium brevicornis Cuticular Chemistry Deter Cannibalism and Predation of Pupae?	22224957
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
PMC3088472	2011	4797817	Family-group names in Coleoptera (Insecta)	21594053
PMC3016957	2010	38955	Identification of Myotropic Neuropeptides from the Brain and Corpus Cardiacum-Corpus Allatum Complex of the Beetle, Zophobas atratus	21067424
PMC2990333	2006	406214	Abstracts of the Fifth International Symposium on Molecular Insect Science	
PMC1615240	2005	41548	Reproductive strategies of Tribolium flour beetles	17119615
