pmcid	year	count	title	pubmedid
PMC7510082	2020	48059	Metabolic and transcriptome responses of RNAi-mediated AMPKalpha knockdown in Tribolium castaneum	
PMC7500676	2020	52115	Proteolytic profile of larval developmental stages of Penaeus vannamei: An activity and mRNA expression approach	
PMC7492417	2020	59068	Satellite DNA-like repeats are dispersed throughout the genome of the Pacific oyster Crassostrea gigas carried by Helentron non-autonomous mobile elements	
PMC7489019	2020	114336	The development of early pioneer neurons in the annelid Malacoceros fuliginosus	
PMC7490912	2020	73563	Differences in midgut transcriptomes between resistant and susceptible strains of Chilo suppressalis to Cry1C toxin	
PMC7495052	2020	59593	Chemical composition, insecticidal and biochemical effects of two plant oils and their major fractions against Aedes aegypti, the common vector of dengue fever	
PMC7488671	2020	44945	Ommochrome pathway genes kynurenine 3-hydroxylase and cardinal participate in eye pigmentation in Plutella xylostella	32917146
PMC7488410	2020	140829	Anopheles metabolic proteins in malaria transmission, prevention and control: a review	32912275
PMC7488307	2020	33396	G protein-coupled receptors function as cell membrane receptors for the steroid hormone 20-hydroxyecdysone	32907599
PMC7481004	2020	95532	Speciation and the developmental alarm clock	
PMC7480849	2020	37734	Comparative iTRAQ proteomic profiling of proteins associated with the adaptation of brown planthopper to moderately resistant vs. susceptible rice varieties	
PMC7479100	2020	56237	Caffeine as a promotor of sexual development in sterile Queensland fruit fly males	
PMC7487717	2020	76902	Leishmania infection induces a limited differential gene expression in the sand fly midgut	32887545
PMC7472703	2020	74253	DNA methylation suppresses chitin degradation and promotes the wing development by inhibiting Bmara-mediated chitinase expression in the silkworm, Bombyx mori	32887667
PMC7471954	2020	62542	Micromorphological details and identification of chitinous wall structures in Rapana venosa (Gastropoda, Mollusca) egg capsules	32883987
PMC7488584	2020	50917	Odorant-Binding Proteins Contribute to the Defense of the Red Flour Beetle, Tribolium castaneum, Against Essential Oil of Artemisia vulgaris	
PMC7485974	2020	129830	Molecular action of pyriproxyfen: Role of the Methoprene-tolerant protein in the pyriproxyfen-induced sterilization of adult female mosquitoes	32866146
PMC7455915	2020	77977	Genomic resources and toolkits for developmental study of whip spiders (Amblypygi) provide insights into arachnid genome evolution and antenniform leg patterning	32874529
PMC7503466	2020	35995	Lipid Dynamics, Identification, and Expression Patterns of Fatty Acid Synthase Genes in an Endoparasitoid, Meteorus pulchricornis (Hymenoptera: Braconidae)	
PMC7474356	2020	39333	Ruta chalepensis L. Essential Oil Has a Biological Potential for a Natural Fight against the Pest of Stored Foodstuffs: Tribolium castaneum Herbst	32908563
