pmcid	year	count	title	pubmedid
PMC7495052	2020	59593	Chemical composition, insecticidal and biochemical effects of two plant oils and their major fractions against Aedes aegypti, the common vector of dengue fever	
PMC7474356	2020	39333	Ruta chalepensis L. Essential Oil Has a Biological Potential for a Natural Fight against the Pest of Stored Foodstuffs: Tribolium castaneum Herbst	32908563
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7469149	2020	24023	Evaluation of the Insecticidal Activities of alpha-Pinene and 3-Carene on Sitophilus zeamais Motschulsky (Coleoptera: Curculionidae)	32824401
PMC7469160	2020	26233	Identification of Immune Regulatory Genes in Apis mellifera through Caffeine Treatment	32785078
PMC7465044	2020	40983	Biological Activity of Humulus lupulus (L.) Essential Oil and Its Main Components against Sitophilus granarius (L.)	32722511
PMC7417229	2020	69059	Rapid within- and transgenerational changes in thermal tolerance and fitness in variable thermal landscapes	32788964
PMC7412371	2020	47420	Attributes of Yellow Traps Affecting Attraction of Diaphorina citri (Hemiptera: Liviidae)	32708797
PMC7451596	2020	132439	A review of medicinal plant of Middle East and North Africa (MENA) region as source in tuberculosis drug discovery	32884430
PMC7347400	2020	61258	Priority determines Tribolium competitive outcome in a food-limited environment	32645709
PMC7404979	2020	38877	Assessing the Biological Safety of Atmospheric Cold Plasma Treated Wheat Using Cell and Insect Models	32650404
PMC7396504	2020	85813	A Diketopiperazine, Cyclo-(L-Pro-L-Ile), Derived From Bacillus thuringiensis JCK-1233 Controls Pine Wilt Disease by Elicitation of Moderate Hypersensitive Reaction	32849672
PMC7343874	2020	66116	Evaluation of various commodities for the development of the yellow mealworm, Tenebrio molitor	32641803
PMC7400140	2020	57524	Zoonotic Abbreviata caucasica in Wild Chimpanzees (Pan troglodytes verus) from Senegal	32605080
PMC7349832	2020	30247	Evaluation of Five Medicinal Plant Extracts on Aphis craccivora (Hemiptera: Aphididae) and Its Predator, Chrysoperla carnea (Neuroptera: Chrysopidae) under Laboratory Conditions	32604849
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7349354	2020	33592	Acute Toxicity and Sublethal Effects of Lemongrass Essential Oil and Their Components against the Granary Weevil, Sitophilus granarius	32570794
PMC7349277	2020	30841	The Effect of Rosmarinus officinalis Essential Oil Fumigation on Biochemical, Behavioral, and Physiological Parameters of Callosobruchus maculatus	32503195
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7349611	2020	39633	Evaluation of Drimys winteri (Canelo) Essential Oil as Insecticide against Acanthoscelides obtectus (Coleoptera: Bruchidae) and Aegorhinus superciliosus (Coleoptera: Curculionidae)	32486175
PMC7321119	2020	78843	Preparation and Uses of Chlorinated Glycerol Derivatives	32481583
PMC7261025	2020	38812	The Mouse Bile Duct Tapeworm, Hymenolepis Microstoma in Free-living Small Mammals in Slovakia: Occurrence and Genetic Analysis	32518488
PMC7290382	2020	38647	ImergardTMWP: A Non-Chemical Alternative for an Indoor Residual Spray, Effective against Pyrethroid-Resistant Anopheles gambiae (s.l.) in Africa	32456154
PMC7237031	2020	54303	Insecticidal activity of marigold Tagetes patula plants and foliar extracts against the hemipteran pests, Lygus hesperus and Bemisia tabaci	32428032
PMC7277180	2020	79724	Melleins-Intriguing Natural Compounds	32429259
PMC7249177	2020	54689	Reconsidering Hydrosols as Main Products of Aromatic Plants Manufactory: The Lavandin (Lavandula &#xD7; intermedia) Case Study in Tuscany	32397385
PMC7218078	2020	71164	Reduced Genome of the Gut Symbiotic Bacterium "Candidatus Benitsuchiphilus tojoi" Provides Insight Into Its Possible Roles in Ecology and Adaptation of the Host Insect	32435239
PMC7277602	2020	28063	Insecticidal and Enzyme Inhibitory Activities of Isothiocyanates against Red Imported Fire Ants, Solenopsis invicta	32380698
PMC7197948	2020	47132	Identifications, Characteristics, and Expression Patterns of Small Heat Shock Protein Genes in a Major Mulberry Pest, Glyphodes pyloalis (Lepidoptera: Pyralidae)	32365175
PMC7198579	2020	42846	Chemical identification of an aggregation pheromone in the termite Reticulitermes speratus	32366829
PMC7249092	2020	37093	Chemical Composition, Antifungal and Insecticidal Activities of the Essential Oils from Tunisian Clinopodium nepeta subsp. nepeta and Clinopodium nepeta subsp. glandulosum	32370305
PMC7281329	2020	52991	Uncharted Source of Medicinal Products: The Case of the Hedychium Genus	32354114
PMC7291318	2020	28020	Effect of Six Insecticides on Egg Hatching and Larval Mortality of Trogoderma granarium Everts (Coleoptera: Dermedtidae)	32344913
PMC7240614	2020	25117	The Cytotoxic Effect of Genistein, a Soybean Isoflavone, against Cultured Tribolium Cells	32290559
PMC7240364	2020	32482	Biological Features and Population Growth of Two Southeastern European Tribolium confusum Jacquelin du Val (Coleoptera: Tenebrionidae) Strains	32252265
PMC7240479	2020	74725	A Review of the Phenotypic Traits Associated with Insect Dispersal Polymorphism, and Experimental Designs for Sorting out Resident and Disperser Phenotypes	32235446
PMC7180957	2020	31926	Preliminary Study on the Differences in Hydrocarbons Between Phosphine-Susceptible and -Resistant Strains of Rhyzopertha dominica (Fabricius) and Tribolium castaneum (Herbst) Using Direct Immersion Solid-Phase Microextraction Coupled with GC-MS	32235326
PMC7153705	2020	42605	Ecofriendly Synthesis and Insecticidal Application of Copper Nanoparticles against the Storage Pest Tribolium castaneum	32210153
PMC7090069	2020	38598	Physical assessments of termites (Termitidae) under 2.45&#x2009;GHz microwave irradiation	32251346
PMC7154898	2020	48730	Citrus Essential Oils (CEOs) and Their Applications in Food: An Overview	32168877
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC7142774	2020	27428	Mobility of Stored Product Beetles after Exposure to a Combination Insecticide Containing Deltamethrin, Methoprene, and a Piperonyl Butoxide Synergist Depends on Species, Concentration, and Exposure Time	32121416
PMC7084252	2020	59199	Identification of Novel ARSB Genes Necessary for p-Benzoquinone Biosynthesis in the Larval Oral Secretion Participating in External Immune Defense in the Red Palm Weevil	32111099
PMC7044290	2020	49421	Graphene quantum dots as cysteine protease nanocarriers against stored grain insect pests	32103102
PMC7318244	2020	72266	Alternative evolutionary outcomes following endosymbiont-mediated selection on male mating preference alleles	32030839
PMC7077248	2020	47846	Cell Lines for Honey Bee Virus Research	32093360
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC7073766	2020	60885	The Time_Concentration_Mortality Responses of Western Flower Thrips, Frankliniella occidentalis, to the Synergistic Interaction of Entomopathogenic Fungus Metarhizium flavoviride, Insecticides, and Diatomaceous Earth	32024074
