pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7469160	2020	26233	Identification of Immune Regulatory Genes in Apis mellifera through Caffeine Treatment	32785078
PMC7465044	2020	40983	Biological Activity of Humulus lupulus (L.) Essential Oil and Its Main Components against Sitophilus granarius (L.)	32722511
PMC7381663	2020	47155	Dendrimer-coated carbon nanotubes deliver dsRNA and increase the efficacy of gene knockdown in the red flour beetle Tribolium castaneum	32709999
PMC7376646	2020	97945	The genome sequence of the grape phylloxera provides insights into the evolution, adaptation, and invasion routes of an iconic pest	32698880
PMC7370172	2020	43827	Gene Expression and Functional Analyses of Odorant Receptors in Small Hive Beetles (Aethina tumida)	32605135
PMC7325966	2020	49903	Identification and Expression Profiling of Chemosensory Genes in Hermetia illucens via a Transcriptomic Analysis	32655421
PMC7289800	2020	89912	Bacterial symbionts support larval sap feeding and adult folivory in (semi-)aquatic reed beetles	32528063
PMC7289159	2020	46311	Assessing the Risks of Topically Applied dsRNA-Based Products to Non-target Arthropods	32582240
PMC7348853	2020	25351	Durum Wheat Cultivars Express Different Level of Resistance to Granary Weevil, Sitophilus granarius (Coleoptera; Curculionidae) Infestation	32503155
PMC7257214	2020	129103	Functional insights from the GC-poor genomes of two aphid parasitoids, Aphidius ervi and Lysiphlebus fabarum	32471448
PMC7215069	2020	67727	Transcriptome Analysis of Ophraella communa Male Reproductive Tract in Indirect Response to Elevated CO2 and Heat Wave	32431624
PMC7180760	2020	25880	Essential Oils Extracted from Different Species of the Lamiaceae Plant Family as Prospective Bioagents against Several Detrimental Pests	32231104
PMC7073985	2020	32477	Transcriptomic Analysis of the Brown Planthopper, Nilaparvata lugens, at Different Stages after Metarhizium anisopliae Challenge	32102435
PMC7074147	2020	41581	The ABCB Multidrug Resistance Proteins Do Not Contribute to Ivermectin Detoxification in the Colorado Potato Beetle, Leptinotarsa decemlineata (Say)	32093187
PMC7077248	2020	47846	Cell Lines for Honey Bee Virus Research	32093360
PMC7017565	2020	51115	In silico identification and assessment of insecticide target sites in the genome of the small hive beetle, Aethina tumida	32050907
PMC6998375	2020	46196	Identification of transcriptome and fluralaner responsive genes in the common cutworm Spodoptera litura Fabricius, based on RNA-seq	32013879
PMC7020142	2020	29525	Volatile Compositions and Antifungal Activities of Native American Medicinal Plants: Focus on the Asteraceae	31963839
PMC7210764	2020	60837	The mirid bug Apolygus lucorum deploys a glutathione peroxidase as a candidate effector to enhance plant susceptibility	31950164
PMC7093385	2020	59514	Identification and characterisation of common glow-worm RNA viruses	31900852
PMC6983130	2019	78245	Agrobiological Interactions of Essential Oils of Two Menthol Mints: Mentha piperita and Mentha arvensis	31878007
PMC6920439	2019	66861	Biosecurity risks posed by a large sea-going passenger vessel: challenges of terrestrial arthropod species detection and eradication	31852943
PMC6902594	2019	113820	Genomic insights into mite phylogeny, fitness, development, and reproduction	31818245
PMC6955729	2019	38393	Acetylcholine and Its Receptors in Honeybees: Involvement in Development and Impairments by Neonicotinoids	31771114
PMC6880623	2019	136661	Tachykinins: Neuropeptides That Are Ancient, Diverse, Widespread and Functionally Pleiotropic	31824255
PMC6823229	2019	116915	Management of Pest Insects and Plant Diseases by Non-Transformative RNAi	31708946
PMC6835396	2019	37413	Expansion of Imaginal Disc Growth Factor Gene Family in Diptera Reflects the Evolution of Novel Functions	31635152
PMC6785909	2019	113810	Transcriptomic and functional analysis of the oosome, a unique form of germ plasm in the wasp Nasonia vitripennis	31601213
PMC6777938	2019	90796	Evolutionary emergence of Hairless as a novel component of the Notch signaling pathway	31545167
PMC6736302	2019	78167	Expression profile of genes encoding allatoregulatory neuropeptides in females of the spider Parasteatoda tepidariorum (Araneae, Theridiidae)	31504071
PMC6720082	2019	77177	Genomic content of chemosensory genes correlates with host range in wood-boring beetles (Dendroctonus ponderosae, Agrilus planipennis, and Anoplophora glabripennis)	31477011
PMC6724230	2019	56854	Identification of Halloween Genes and RNA Interference-Mediated Functional Characterization of a Halloween Gene shadow in Plutella xylostella	31555150
PMC6780606	2019	37508	Expression Patterns, Molecular Characterization, and Response to Host Stress of CYP Genes from Phenacoccus solenopsis (Hemiptera: Pseudococcidae)	31443456
PMC6724176	2019	109004	Botanicals Against Tetranychus urticae Koch Under Laboratory Conditions: A Survey of Alternatives for Controlling Pest Mites	31394806
PMC6557860	2019	54526	Sequence and expression analysis of HSP70 family genes in Artemia franciscana	31182775
PMC6545930	2019	156214	Chemical Ecology of Capnodis tenebrionis (L.) (Coleoptera: Buprestidae): Behavioral and Biochemical Strategies for Intraspecific and Host Interactions	31191334
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6478880	2019	46153	Biological activity of Dittrichia viscosa (L.) Greuter extracts against adult Sitophilus granarius (L.) (Coleoptera, Curculionidae) and identification of active compounds	31015563
PMC6468919	2019	37572	Molecular Cloning and Expression Analysis of Three Suppressors of Cytokine Signaling Genes (SOCS5, SOCS6, SOCS7) in the Mealworm Beetle Tenebrio molitor	30884777
PMC6407286	2019	74460	De novo comparative transcriptome analysis of a rare cicada, with identification of candidate genes related to adaptation to a novel host plant and drier habitats	30845906
PMC6447389	2019	59366	Integrative Genomics Reveals the Genetics and Evolution of the Honey Bee's Social Immune System	30768172
PMC6336832	2019	136955	RNA Interference in Insects: Protecting Beneficials and Controlling Pests	30687124
PMC6286535	2018	38313	Transcriptomics reveal the molecular underpinnings of chemosensory proteins in Chlorops oryzae	30526496
PMC6286046	2018	114566	Transcriptome-wide responses of adult melon thrips (Thrips palmi) associated with capsicum chlorosis virus infection	30532222
PMC6313518	2018	62394	Assessing the Efficiency of Molecular Markers for the Species Identification of Gregarines Isolated from the Mealworm and Super Worm Midgut	30486465
PMC6275457	2018	179133	Genomes of trombidid mites reveal novel predicted allergens and laterally transferred genes associated with secondary metabolism	30445460
PMC6237673	2018	59660	RNA interference in the cat flea, Ctenocephalides felis: Approaches for sustained gene knockdown and evidence of involvement of Dicer-2 and Argonaute2<xref ref-type="fn" rid="d31e450">&#x2606;</xref>	30261185
PMC6211577	2018	45118	Gene silencing by RNA interference in the ectoparasitic mite, Psoroptes ovis	30382906
PMC6250288	2018	71458	Genome Sequence of the Wheat Stem Sawfly, Cephus cinctus, Representing an Early-Branching Lineage of the Hymenoptera, Illuminates Evolution of Hymenopteran Chemoreceptors	30335145
PMC6213060	2018	30887	Molecular Cloning and Expression of MnGST-1 and MnGST-2 from Oriental River Prawn, Macrobrachium nipponense, in Response to Hypoxia and Reoxygenation	30308983
PMC6176531	2018	105405	The Amylases of Insects	30305796
PMC6171000	2018	83177	Antennal Transcriptome Analysis of the Chemosensory Gene Families From Trichoptera and Basal Lepidoptera	30319455
PMC6150976	2018	72112	RNA-seq analysis of gene expression changes during pupariation in Bactrocera dorsalis (Hendel) (Diptera: Tephritidae)	30241467
PMC6158316	2018	22759	Taxonomically Restricted Genes Are Fundamental to Biology and Evolution	30294344
PMC6170570	2018	54910	Halloween genes in panarthropods and the evolution of the early moulting pathway in Ecdysozoa	30839709
PMC6141667	2018	44506	Diverse Factors Affecting Efficiency of RNAi in Honey Bee Viruses	30254665
PMC6121280	2018	70504	Selected Molecular Mechanisms Involved in the Parasite_Host System Hymenolepis diminuta_Rattus norvegicus	30126154
PMC7123769	2018	113842	RNAi for Resistance Against Biotic Stresses in Crop Plants	
PMC6039563	2018	75322	Functional Identification and Characterization of the Diuretic Hormone 31 (DH31) Signaling System in the Green Shore Crab, Carcinus maenas	30022930
PMC6012102	2018	89440	Fast Evolution and Lineage-Specific Gene Family Expansions of Aphid Salivary Effectors Driven by Interactions with Host-Plants	29788052
PMC5952958	2018	82215	Comparative Genomics Reveals Thousands of Novel Chemosensory Genes and Massive Changes in Chemoreceptor Repertories across Chelicerates	29788250
PMC5891581	2018	114550	Sex- and Tissue-Specific Expression Profiles of Odorant Binding Protein and Chemosensory Protein Genes in Bradysia odoriphaga (Diptera: Sciaridae)	29666581
PMC6175461	2018	63312	Enormous expansion of the chemosensory gene repertoire in the omnivorous German cockroach Blattella germanica	29566459
PMC5825034	2018	30903	Function of the natalisin receptor in mating of the oriental fruit fly, Bactrocera dorsalis (Hendel) and testing of peptidomimetics	29474388
PMC5799738	2018	2602586	Catalogue of Tenebrionidae (Coleoptera) of North America	29416389
