pmcid	year	count	title	pubmedid
PMC7452910	2020	793574	Checklist of the Coleoptera of Mordovia State Nature Reserve, Russia	32904301
PMC7406544	2020	21201	First description of the male of Solenuraania (Walker) (Hymenoptera: Pteromalidae), a giant pteromalid parasitoid of Trichoferuscampestris (Faldermann), with special reference to its sexual dimorphism	32821212
PMC6925271	2019	42528	A male-produced aggregation-sex pheromone of the beetle Arhopalus rusticus (Coleoptera: Cerambycidae, Spondylinae) may be useful in managing this invasive species	31863031
PMC6418187	2019	51012	Isolation and identification of a male-produced aggregation-sex pheromone for the velvet longhorned beetle, Trichoferus campestris	30872772
PMC6463110	2019	61570	High-Throughput Sequencing to Investigate Phytopathogenic Fungal Propagules Caught in Baited Insect Traps	30759800
PMC6299065	2018	517042	New data on the distribution, biology and ecology of the longhorn beetles from the area of South and East Kazakhstan (Coleoptera, Cerambycidae)	30584393
PMC6030058	2018	58747	Comparison of intestinal bacterial and fungal communities across various xylophagous beetle larvae (Coleoptera: Cerambycidae)	29968731
PMC5847043	2017	24791	Elytra reduction may affect the evolution of beetle hind wings	29568156
PMC5238391	2017	40206	Identification of wood-boring beetles (Cerambycidae and Buprestidae) intercepted in trade-associated solid wood packaging material using DNA barcoding and morphology	28091577
PMC4978010	2016	121348	New data on distribution, biology, and ecology of longhorn beetles from the area of west Tajikistan (Coleoptera, Cerambycidae)	27551221
