pmcid	year	count	title	pubmedid
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7464821	2020	22401	In Vitro Scolicidal Activity of the Sesquiterpenes Isofuranodiene, alpha-Bisabolol and Farnesol on Echinococcus granulosus Protoscoleces	32784679
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7464977	2020	22615	Leguminous Seeds Powder Diet Reduces the Survival and Development of the Khapra beetle, Trogoderma granarium Everts (Coleoptera: Dermestidae)	32756491
PMC7465044	2020	40983	Biological Activity of Humulus lupulus (L.) Essential Oil and Its Main Components against Sitophilus granarius (L.)	32722511
PMC7343874	2020	66116	Evaluation of various commodities for the development of the yellow mealworm, Tenebrio molitor	32641803
PMC7330086	2020	145136	Insecticidal Activity of Artemisia vulgaris Essential Oil and Transcriptome Analysis of Tribolium castaneum in Response to Oil Exposure	32670352
PMC7353542	2020	30659	Evaluation of the Toxicity of Satureja intermedia C. A. Mey Essential Oil to Storage and Greenhouse Insect Pests and a Predator Ladybird	32498219
PMC7349611	2020	39633	Evaluation of Drimys winteri (Canelo) Essential Oil as Insecticide against Acanthoscelides obtectus (Coleoptera: Bruchidae) and Aegorhinus superciliosus (Coleoptera: Curculionidae)	32486175
PMC7249092	2020	37093	Chemical Composition, Antifungal and Insecticidal Activities of the Essential Oils from Tunisian Clinopodium nepeta subsp. nepeta and Clinopodium nepeta subsp. glandulosum	32370305
PMC7204558	2020	66286	Overwintering Physiology and Cold Tolerance of the Sunn Pest, Eurygaster integriceps, an Emphasis on the Role of Cryoprotectants	32425803
PMC7247370	2019	41212	Mechanism of protection of rat hepatocytes from acetaminophen-induced cellular damage by ethanol extract of Aerva lanata	32461720
PMC7291318	2020	28020	Effect of Six Insecticides on Egg Hatching and Larval Mortality of Trogoderma granarium Everts (Coleoptera: Dermedtidae)	32344913
PMC7176662	2020	81931	Insecticidal and Genotoxic effects of some indigenous plant extracts in Culex quinquefasciatus Say Mosquitoes	32321960
PMC7161282	2020	29161	Leishmania infantum and Dirofilaria immitis infections in Italy, 2009_2019: changing distribution patterns	32293524
PMC7240364	2020	32482	Biological Features and Population Growth of Two Southeastern European Tribolium confusum Jacquelin du Val (Coleoptera: Tenebrionidae) Strains	32252265
PMC7180760	2020	25880	Essential Oils Extracted from Different Species of the Lamiaceae Plant Family as Prospective Bioagents against Several Detrimental Pests	32231104
PMC7229316	2020	28470	Chemical composition and larvicidal activity of essential oils from Peganum harmala, Nepeta cataria and Phellodendron amurense against Aedes aegypti (Diptera: Culicidae)	32435136
PMC7143237	2020	37988	Assessment of Lethal, Sublethal, and Transgenerational Effects of Beauveria bassiana on the Demography of Aedes albopictus (Culicidae: Diptera)	32168886
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC7074562	2020	28379	Suitability of Semolina, Cracked Wheat and Cracked Maize as Feeding Commodities for Tribolium castaneum (Herbst; Coleoptera: Tenebrionidae)	32024266
PMC6983295	2020	34516	Occurrence, ecological function and medical importance of dermestid beetle hastisetae	32002326
PMC7083367	2019	15552	Fragment detection of Coleopteran and Triatomine insects inexperimentally contaminated acai pulp and sugarcane juice	31859942
PMC7022865	2019	26399	The Effect of Longwave Ultraviolet Light Radiation on Dendrolimus tabulaeformis Antioxidant and Detoxifying Enzymes	31861292
PMC6877663	2019	159231	Relationship Between Performance of Carob Moth, Ectomyelois ceratoniae Zeller (Lepidoptera: Pyralidae) and Phytochemical Metabolites in Various Pomegranate Cultivars	31803071
PMC6792099	2019	47168	Invasive Insects: Management Methods Explored	31612947
PMC6864215	2019	43086	Prediction of survival ratios of Cadra cautella (Lepidoptera: Pyralidae) different life stages after treated with ultraviolet radiation in dates	31762596
PMC6836213	2019	21761	Improving Stored Product Insect Pest Management: From Theory to Practice	31590315
PMC6701278	2019	18532	Chemical Investigation of a Biologically Active Schinus molle L. Leaf Extract	31467769
PMC6661260	2019	52526	Plant-Based Natural Product Chemistry for Integrated Pest Management of Drosophila suzukii	31257561
PMC6628024	2019	56437	Andean Flora as a Source of New Repellents against Insect Pests: Behavioral, Morphological and Electrophysiological Studies on Sitophilus zeamais (Coleoptera: Curculionidae)	31207971
PMC6933224	2020	94843	Insecticidal, biological and biochemical response of Musca domestica (Diptera: Muscidae) to some indigenous weed plant extracts	31889824
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6571631	2019	32029	Bioassays and Methodologies for Insecticide Tests with Larvae of Trogoderma granarium (Everts), the Khapra Beetle	31121835
PMC6571956	2019	28884	Evaluation of Residual Efficacy of Pyrethrin + Methoprene Aerosol on Two Dermestids: Impact of Particle Size, Species, and Temperature	31108866
PMC6502792	2019	56573	Innate positive chemotaxis to paeonal from highly attractive Chinese medicinal herbs in the cigarette beetle, Lasioderma serricorne	31061503
PMC6499817	2019	48955	Modeling the potential range expansion of larger grain borer, Prostephanus truncatus (Coleoptera: Bostrichidae)	31053737
PMC6478721	2019	44790	Attenuation of radiation toxicity by the phosphine resistance factor dihydrolipoamide dehydrogenase (DLD)	31015501
PMC6475838	2019	37692	Assortments of Digestive Enzymes Induced in First Instar Larvae of Busseola fusca Feeding on Different Plants	31037037
PMC6476934	2019	67987	A Flavor Lactone Mimicking AHL Quorum-Sensing Signals Exploits the Broad Affinity of the QsdR Regulator to Stimulate Transcription of the Rhodococcal qsd Operon Involved in Quorum-Quenching and Biocontrol Activities	31040836
PMC6523121	2019	58648	Influences of Stored Product Insect Movements on Integrated Pest Management Decisions	30959947
PMC6418021	2019	80302	Structural and Functional Characterization of Hermetia illucens Larval Midgut	30906266
PMC6411660	2019	37394	Insect Behavior and Physiological Adaptation Mechanisms Under Starvation Stress	30890949
