pmcid	year	count	title	pubmedid
PMC7469204	2020	33263	How Is Fitness of Tribolium castaneum (Herbst) (Coleoptera: Tenebrionidae) Affected When Different Developmental Stages Are Exposed to Chlorfenapyr?	32824465
PMC7404779	2020	74645	Non-Destructive Technologies for Detecting Insect Infestation in Fruits and Vegetables under Postharvest Conditions: A Critical Review	32674380
PMC7291318	2020	28020	Effect of Six Insecticides on Egg Hatching and Larval Mortality of Trogoderma granarium Everts (Coleoptera: Dermedtidae)	32344913
PMC7143747	2020	20188	Cool Down_Warm Up: Differential Responses of Stored Product Insects after Gradual Temperature Changes	32121521
PMC6836213	2019	21761	Improving Stored Product Insect Pest Management: From Theory to Practice	31590315
PMC6571631	2019	32029	Bioassays and Methodologies for Insecticide Tests with Larvae of Trogoderma granarium (Everts), the Khapra Beetle	31121835
PMC6571956	2019	28884	Evaluation of Residual Efficacy of Pyrethrin + Methoprene Aerosol on Two Dermestids: Impact of Particle Size, Species, and Temperature	31108866
PMC6375610	2019	68905	Elucidating fitness components of the invasive dermestid beetle Trogoderma granarium combining deterministic and stochastic demography	30763344
PMC5838081	2018	63037	Life history changes in Trogoderma variabile and T. inclusum due to mating delay with implications for mating disruption as a management tactic	29531665
PMC4335135	2014	44416	Stereochemical studies on pheromonal communications	25504227
PMC3867112	2013	228150	Italian Dermestidae: notes on some species and an updated checklist (Coleoptera)	24363591
PMC4009780	2012	112255	Investigating Climate Change and Reproduction: Experimental Tools from Evolutionary Biology	24832232
