pmcid	year	count	title	pubmedid
PMC7413517	2020	54488	Functional morphology of antennae and sensilla of Hippodamia variegata (Coleoptera: Coccinellidae)	32764805
PMC7404982	2020	60262	Insecticidal Activity of Bacillus thuringiensis Proteins against Coleopteran Pests	32610662
PMC7073712	2020	47941	Species Composition, Temporal Abundance and Distribution of Insect Captures Inside and Outside Commercial Peanut Shelling Facilities	32050416
PMC6983295	2020	34516	Occurrence, ecological function and medical importance of dermestid beetle hastisetae	32002326
PMC7020479	2020	167621	Natural Sources and Bioactivities of 2,4-Di-Tert-Butylphenol and Its Analogs	31935944
PMC6920439	2019	66861	Biosecurity risks posed by a large sea-going passenger vessel: challenges of terrestrial arthropod species detection and eradication	31852943
PMC6836213	2019	21761	Improving Stored Product Insect Pest Management: From Theory to Practice	31590315
PMC6571663	2019	40271	Case Study: A Practical Application of an Aerosol Treatment in a Commercial Mill	31130615
PMC6571962	2019	65953	Minimal Thermal Requirements for Development and Activity of Stored Product and Food Industry Pests (Acari, Coleoptera, Lepidoptera, Psocoptera, Diptera and Blattodea): A Review	31126156
PMC6571631	2019	32029	Bioassays and Methodologies for Insecticide Tests with Larvae of Trogoderma granarium (Everts), the Khapra Beetle	31121835
PMC6571956	2019	28884	Evaluation of Residual Efficacy of Pyrethrin + Methoprene Aerosol on Two Dermestids: Impact of Particle Size, Species, and Temperature	31108866
PMC6523121	2019	58648	Influences of Stored Product Insect Movements on Integrated Pest Management Decisions	30959947
PMC6523208	2019	65141	Using Long-term Capture Data to Predict Trogoderma variabile Ballion and Plodia interpunctella (H&#xFC;bner) Population Patterns	30935058
PMC6468839	2019	59250	Sanitation Improves Stored Product Insect Pest Management	30884878
PMC6252353	2018	91910	Distribution of Transferable Antibiotic Resistance Genes in Laboratory-Reared Edible Mealworms (Tenebrio molitor L.)	30510544
PMC5946414	2018	50966	Differences in the reliance on cuticular hydrocarbons as sexual signaling and species discrimination cues in parasitoid wasps	29760760
PMC5838081	2018	63037	Life history changes in Trogoderma variabile and T. inclusum due to mating delay with implications for mating disruption as a management tactic	29531665
PMC5368605	2017	39008	Mitochondrial DNA and trade data support multiple origins of Helicoverpa armigera (Lepidoptera, Noctuidae) in Brazil	28350004
PMC5019024	2016	79032	Morphology and Ultrastructure of Antennal Sensilla in Male and Female Agrilus mali (Coleoptera: Buprestidae)	27620559
PMC5039546	2016	22369	Methodology for Evaluating the Insect Growth Regulator (IGR) Methoprene on Packaging Films	27399784
PMC4808784	2016	51909	Oviposition by Female Plodia interpunctella (Lepidoptera: Pyralidae): Description and Time Budget Analysis of Behaviors in Laboratory Studies	26805893
PMC3867112	2013	228150	Italian Dermestidae: notes on some species and an updated checklist (Coleoptera)	24363591
PMC3312420	2011	1734753	A catalogue of Lithuanian beetles (Insecta, Coleoptera)	22461725
