pmcid	year	count	title	pubmedid
PMC7471941	2020	186558	Recent insights into the extraction, characterization, and bioactivities of chitin and chitosan from insects	32901176
PMC7426942	2020	37719	Insights into a 429-million-year-old compound eye	32792496
PMC7476760	2020	114136	Genomic architecture and evolutionary antagonism drive allelic expression bias in the social supergene of red fire ants	32773032
PMC7416788	2020	60557	Venom peptides in association with standard drugs: a novel strategyfor combating antibiotic resistance - an overview	32843888
PMC7472737	2020	24957	A Role of Newly Found Auxiliary Site in Phospholipase A1 from Thai Banded Tiger Wasp (Vespa affinis) in Its Enzymatic Enhancement: In Silico Homology Modeling and Molecular Dynamics Insights	32784438
PMC7386586	2020	53656	Interspecific hierarchies from aggressiveness and body size among the invasive alien hornet, Vespa velutina nigrithorax, and five native hornets in South Korea	32722670
PMC7371858	2020	29892	A long-term dataset on wild bee abundance in Mid-Atlantic United States	32686678
PMC7372139	2020	29552	Saccharomyces cerevisiae _ Insects Association: Impacts, Biogeography, and Extent	32760380
PMC7351169	2020	104496	Dispersal patterns of an introduced wild bee, Megachile sculpturalis Smith, 1853 (Hymenoptera: Megachilidae) in European alpine countries	32649722
PMC7347709	2020	52922	Antigen 5 Allergens of Hymenoptera Venoms and Their Role in Diagnosis and Therapy of Venom Allergy	32647993
PMC7400247	2020	35649	Potent and Specific Antibacterial Activity against Escherichia coli O157:H7 and Methicillin Resistant Staphylococcus aureus (MRSA) of G17 and G19 Peptides Encapsulated into Poly-Lactic-Co-Glycolic Acid (PLGA) Nanoparticles	32645834
PMC7404655	2020	29874	Nutritional Value of the Larvae of the Alien Invasive Wasp Vespa velutina nigrithorax and Amino Acid Composition of the Larval Saliva	32640612
PMC7315503	2020	56092	Transcriptome profiling of venom gland from wasp species: de novo assembly, functional annotation, and discovery of molecular markers	32580761
PMC7356147	2020	71848	Antimicrobial Peptides as Anticancer Agents: Functional Properties and Biological Activities	32575664
PMC7265547	2020	55140	Increased immunocompetence and network centrality of allogroomer workers suggest a link between individual and social immunity in honeybees	32488140
PMC7354477	2020	24448	Detection and Replication of Moku Virus in Honey Bees and Social Wasps	32498304
PMC7270585	2020	144407	Bee Viruses: Routes of Infection in Hymenoptera	32547504
PMC7317851	2020	557456	EAACI Allergen Immunotherapy User's Guide	32436290
PMC7291082	2020	38371	Shedding Light on the Venom Proteomes of the Allergy-Relevant Hymenoptera Polistes dominula (European Paper Wasp) and Vespula spp. (Yellow Jacket)	32422898
PMC7290573	2020	21338	Hydrocarbon Signatures of the Ectoparasitoid Sphecophaga vesparum Shows Wasp Host Dependency	32353966
PMC7355867	2020	26588	Effect of Oral Administration of 1,3-1,6 beta-Glucans in DWV Naturally Infected Newly Emerged Bees (Apis mellifera L.)	32344871
PMC7150850	2020	43644	Foodborne Transmission and Clinical Symptoms of Honey Bee Viruses in Ants Lasius spp.	32192027
PMC7055031	2020	98262	Development of a model care pathway for the management of Hymenoptera venom allergy: evidence-based key interventions and indicators	32158533
PMC7142496	2020	35898	The Respiratory Metabolism of Polistes biglumis, a Paper Wasp from Mountainous Regions	32143398
PMC7062646	2020	53487	Cadaverine Production From L-Lysine With Chitin-Binding Protein-Mediated Lysine Decarboxylase Immobilization	32195228
PMC7074267	2020	50989	New Tools for Conservation Biological Control: Testing Ant-Attracting Artificial Nectaries to Employ Ants as Plant Defenders	32079350
PMC7071040	2020	108689	Not in My Backyard: Public Perceptions of Wildlife and 'Pest Control' in and around UK Homes, and Local Authority 'Pest Control'	32019151
PMC6989692	2020	88276	Local habitat conditions shaping the assemblages of vespid wasps (Hymenoptera: Vespidae) in a post-agricultural landscape of the Kampinos National Park in Poland	31996692
PMC7024375	2020	60392	Extraction and Physicochemical Characterization of Chitin Derived from the Asian Hornet, Vespa velutina Lepeletier 1836 (Hym.: Vespidae)	31963436
PMC7020409	2020	50825	Characterization of Venom Components and Their Phylogenetic Properties in Some Aculeate Bumblebees and Wasps	31947554
PMC6953831	2020	43295	Purification and molecular characterization of phospholipase, antigen 5 and hyaluronidases from the venom of the Asian hornet (Vespa velutina)	31923175
PMC7019919	2019	25052	Occurrence and Molecular Phylogeny of Honey Bee Viruses in Vespids	31861567
PMC6894289	2019	54443	Diagnosis of Vespa affinis venom allergy: use of immunochemical methods and a passive basophil activation test	31827544
PMC6882788	2019	45124	Insights into the 400 million-year-old eyes of giant sea scorpions (Eurypterida) suggest the structure of Palaeozoic compound eyes	31780700
PMC6872772	2019	16928	Efficacy and safety of honeybee and wasp tyrosine-adsorbed venom immunotherapy<xref ref-type="fn" rid="d31e218">&#x2606;</xref>	31768218
PMC6920936	2019	31804	Foodborne Transmission of Deformed Wing Virus to Ants (Myrmica rubra)	31703426
PMC6829763	2019	39441	Worldwide perspectives on venom allergy	31700565
PMC6803456	2019	73715	Saccharomyces cerevisiae Induces Immune Enhancing and Shapes Gut Microbiota in Social Wasps	31681197
PMC6803357	2019	55171	Sperm ultrastructure of Pochaziashantungensis (Chou &amp; Lu) and Ricaniaspeculum (Walker) (Hemiptera, Ricaniidae) with phylogenetic implications	31649481
PMC6788055	2019	33657	Risk factors for severe systemic sting reactions in wasp (Vespula spp.) and honeybee (Apis mellifera) venom allergic patients	31632639
PMC6805011	2019	102939	Dynamic evolution in the key honey bee pathogen deformed wing virus: Novel insights into virulence and competition using reverse genetics	31600204
