pmcid	year	count	title	pubmedid
PMC7452775	2020	78741	Association between host wing morphology polymorphism and Wolbachia infection in Vollenhovia emeryi (Hymenoptera: Myrmicinae)	32884660
PMC7466983	2020	66671	Ultraconserved Non-coding DNA Within Diptera and Hymenoptera	32601058
PMC7336853	2020	18298	Globally invasive populations of the clonal raider ant are derived from Bangladesh	32544382
PMC7349007	2020	35021	Analysis of Recent Interception Records Reveals Frequent Transport of Arboreal Ants and Potential Predictors for Ant Invasion in Taiwan	32521674
PMC7271259	2020	39852	Semifield Evaluation of Improved Passive Outdoor Host Seeking Device (POHD) for Outdoor Control of Anopheles arabiensis Mosquitoes	32547328
PMC7242390	2020	77512	Trails of ants converge or diverge through lens-shaped impediments, resembling principles of optics	32439994
PMC7290781	2020	79655	An Integrated Proteomic and Transcriptomic Analysis Reveals the Venom Complexity of the Bullet Ant Paraponera clavata	32422990
PMC7185725	2020	107764	Gut microbiota promotes host resistance to low-temperature stress by stimulating its arginine and proline metabolism pathway in adult Bactrocera dorsalis	32294136
PMC7150537	2020	64383	Monitoring the influx of new species through citizen science: the first introduced ant in Denmark	32296601
PMC7050545	2020	99075	Relative contribution of ecological and biological attributes in the fine-grain structure of ant-plant networks	32161686
PMC6989564	2020	75819	Cytogenetic data for sixteen ant species from North-eastern Amazonia with phylogenetic insights into three subfamilies	32021662
PMC7111285	2020	48072	Identification and characterization of a novel L-type lectin (MjLTL2) from kuruma shrimp (Marsupenaeus japonicus)	31945483
PMC7197989	2020	25680	Mitochondrial genomes of genus Atta (Formicidae:Myrmicinae) reveal high gene organization and giant intergenicspacers	31188925
PMC6955860	2019	25027	Electrophysiological and Alarm Responses of Solenopsis invicta Buren (Hymenoptera: Formicidae) to 2-Ethyl-3,5-dimethylpyrazine	31847156
PMC6906999	2019	21249	Laboratory Evaluation of Egg White and Milk External Biomarkers for Wasmannia auropunctata (Hymenoptera: Formicidae)	31830274
PMC6972842	2019	72726	The underdog invader: Breeding system and colony genetic structure of the dark rover ant (Brachymyrmex patagonicus Mayr)	31993123
PMC6874334	2019	58320	Ritualized aggressive behavior reveals distinct social structures in native and introduced range tawny crazy ants	31756233
PMC6920760	2019	37745	Electrophysiological Responses of Eighteen Species of Insects to Fire Ant Alarm Pheromone	31739452
PMC6792099	2019	47168	Invasive Insects: Management Methods Explored	31612947
PMC6838651	2019	42543	The costs and benefits of decentralization and centralization of ant colonies	31723318
PMC6627857	2019	32091	RNAi-Mediated Knockdown of Tssk1 and Tektin1 Genes Impair Male Fertility in Bactrocera dorsalis	31185651
PMC6540820	2019	103328	Assessing the Diversity of Endogenous Viruses Throughout Ant Genomes	31191479
PMC6514213	2019	56667	Long-lived Temnothorax ant queens switch from investment in immunity to antioxidant production with age	31086243
PMC6469114	2019	68662	The first draft genomes of the ant Formica exsecta, and its Wolbachia endosymbiont reveal extensive gene transfer from endosymbiont to host	30991952
PMC6475384	2019	49503	Predicting future invaders and future invasions	30926662
PMC6417409	2019	64290	Draft Aphaenogaster genomes expand our view of ant genome size variation across climate gradients	30881761
PMC6414450	2019	34509	Wolbachia Horizontal Transmission Events in Ants: What Do We Know and What Can We Learn?	30894837
PMC6850448	2019	77932	Motivating landowners to recruit neighbors for private land conservation	30698291
PMC6375067	2019	75491	Prostaglandins and Other Eicosanoids in Insects: Biosynthesis and Biological Actions	30792667
PMC6348091	2019	75903	Accessible molecular phylogenomics at no cost: obtaining 14 new mitogenomes for the ant subfamily Pseudomyrmecinae from public data	30697483
PMC6392364	2019	70112	Phylogenetic analyses and characteristics of the microbiomes from five mealybugs (Hemiptera: Pseudococcidae)	30847086
PMC6340352	2019	42555	Review of the ant genus Meranoplus Smith, 1853 (Hymenoptera: Formicidae) in the Arabian Peninsula with description of a new species M. mosalahi sp. n. from Oman	30687589
PMC6310932	2018	56156	Supercolonial structure of invasive populations of the tawny crazy ant Nylanderia fulva in the US	30594137
PMC6294647	2018	52527	Molecular mechanism by which Apis cerana cerana MKK6 (AccMKK6)-mediated MAPK cascades regulate the oxidative stress response	30442872
PMC6308896	2018	49546	Determining social and population structures requires multiple approaches: A case study of the desert ant Cataglyphis israelensis	30619551
PMC6316394	2018	27618	Who's a Good Handler? Important Skills and Personality Profiles of Wildlife Detection Dog Handlers	30486469
