pmcid	forename_lastname	affiliation
7492873	Jongsun_Park	InfoBoss Inc., 301 Room, 670, Seolleung-ro, Gangnam-gu, Seoul, Republic of Korea
7492873	Hong_Xi	InfoBoss Inc., 301 Room, 670, Seolleung-ro, Gangnam-gu, Seoul, Republic of Korea
7492873	Yongsung_Kim	InfoBoss Inc., 301 Room, 670, Seolleung-ro, Gangnam-gu, Seoul, Republic of Korea
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7442752	Mahmoud S._Abdel-Dayem	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7442752	Usama M. Abu_El-Ghiet	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Tarek M._Elsheikh	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Ali A._Elgharbawy	Zoology Department, Faculty of Science, Al-Azhar University, Cairo, EgyptAl-Azhar UniversityCairoEgypt
7442752	Zarrag I.A._Al-Fifi	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Hathal M._Aldhafer	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7240615	Yu-Hsiang_Ho	Department of Entomology, National Chung Hsing University, Taichung 40227, Taiwan; 
7240615	Yun_Hsiao	Australian National Insect Collection, CSIRO National Research Collections Australia, Canberra, ACT 2601, Australia; 
7240615	Mamoru_Terayama	Department of Agriculture and Agricultural Life Sciences, The University of Tokyo, Tokyo 113-8657, Japan; 
7240615	Mei-Ling_Chan	Division of Biology, National Museum of Natural Science, Taichung 40453, Taiwan
7177437	Wen-Jia_Yang	Provincial Key Laboratory for Agricultural Pest Management of Mountainous Regions, Institute of Entomology, Guizhou University, Guiyang 550025, China;  (Y.Y.)
7177437	Kang-Kang_Xu	Provincial Key Laboratory for Agricultural Pest Management of Mountainous Regions, Institute of Entomology, Guizhou University, Guiyang 550025, China;  (Y.Y.)
7177437	Yi_Yan	Provincial Key Laboratory for Agricultural Pest Management of Mountainous Regions, Institute of Entomology, Guizhou University, Guiyang 550025, China;  (Y.Y.)
7177437	Can_Li	Guizhou Provincial Key Laboratory for Rare Animal and Economic Insect of the Mountainous Region, College of Biology and Environmental Engineering, Guiyang University, Guiyang 550005, China
7177437	Dao-Chao_Jin	Provincial Key Laboratory for Agricultural Pest Management of Mountainous Regions, Institute of Entomology, Guizhou University, Guiyang 550025, China;  (Y.Y.)
7143032	Franziska_Wemheuer	Section of Agricultural Entomology, Department of Crop Sciences, University of G&#xF6;ttingen, Grisebachstr. 6, D-37077 G&#xF6;ttingen, Germany;  (H.B.B.D.)
7143032	Dirk_Berkelmann	Genomic and Applied Microbiology &amp; G&#xF6;ttingen Genomics Laboratory, Institute of Microbiology and Genetics, University of G&#xF6;ttingen, Grisebachstr. 8, D-37077 G&#xF6;ttingen, Germany;  (R.D.)
7143032	Bernd_Wemheuer	Genomic and Applied Microbiology &amp; G&#xF6;ttingen Genomics Laboratory, Institute of Microbiology and Genetics, University of G&#xF6;ttingen, Grisebachstr. 8, D-37077 G&#xF6;ttingen, Germany;  (R.D.)
7143032	Rolf_Daniel	Genomic and Applied Microbiology &amp; G&#xF6;ttingen Genomics Laboratory, Institute of Microbiology and Genetics, University of G&#xF6;ttingen, Grisebachstr. 8, D-37077 G&#xF6;ttingen, Germany;  (R.D.)
7143032	Stefan_Vidal	Section of Agricultural Entomology, Department of Crop Sciences, University of G&#xF6;ttingen, Grisebachstr. 6, D-37077 G&#xF6;ttingen, Germany;  (H.B.B.D.)
7143032	Herv&#xE9; Bertin_Bisseleua Daghela	Section of Agricultural Entomology, Department of Crop Sciences, University of G&#xF6;ttingen, Grisebachstr. 6, D-37077 G&#xF6;ttingen, Germany;  (H.B.B.D.)
6920439	Simon J._McKirdy	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Simon_O&#x2019;Connor	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Melissa L._Thomas	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Kristin L._Horton	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Angus_Williams	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Darryl_Hardie	Department of Primary Industries and Regional Development Western Australia, Division of Agriculture and Food, 4 Baron-Hay Court, South Perth, 6151 Australia 
6920439	Grey T._Coupland	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Johann_van der Merwe	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6921043	Wen-Jia_Yang	Guizhou Provincial Key Laboratory for Rare Animal and Economic Insect of the Mountainous Region, College of Biology and Environmental Engineering, Guiyang University, Guiyang 550005, China;  (X.Y.)
6921043	Kang-Kang_Xu	Guizhou Provincial Key Laboratory for Rare Animal and Economic Insect of the Mountainous Region, College of Biology and Environmental Engineering, Guiyang University, Guiyang 550005, China;  (X.Y.)
6921043	Xin_Yan	Guizhou Provincial Key Laboratory for Rare Animal and Economic Insect of the Mountainous Region, College of Biology and Environmental Engineering, Guiyang University, Guiyang 550005, China;  (X.Y.)
6921043	Can_Li	Guizhou Provincial Key Laboratory for Rare Animal and Economic Insect of the Mountainous Region, College of Biology and Environmental Engineering, Guiyang University, Guiyang 550005, China;  (X.Y.)
6835372	Darija_Lemic	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Davor_Jembrek	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Renata_Ba&#x17E;ok	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Ivana_Paja&#x10D; &#x17D;ivkovi&#x107;	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6787869	Kerstin_K&#xF6;nig	1Fg Tier&#xF6;kologieUniversitat HohenheimStuttgartGermany
6787869	Petra_Zundel	2Gymnasium RenningenRenningenGermany
6787869	Elena_Krimmer	3Department of Animal Ecology and Tropical BiologyJulius&#x2010;Maximilians&#x2010;Universitat Wurzburg Fakultat fur BiologieUniversity of W&#xFC;rzburgWurzburgGermany
6787869	Christian_K&#xF6;nig	1Fg Tier&#xF6;kologieUniversitat HohenheimStuttgartGermany
6787869	Marie_Pollmann	1Fg Tier&#xF6;kologieUniversitat HohenheimStuttgartGermany
6787869	Yuval_Gottlieb	4Robert H. Smith Faculty of Agriculture, Food and EnvironmentKoret School of Veterinary MedicineHebrew University of JerusalemRehovotIsrael
6787869	Johannes L. M._Steidle	1Fg Tier&#xF6;kologieUniversitat HohenheimStuttgartGermany
6722863	Aroa_Dom&#xED;nguez	Department of Biological Chemistry, Institute of Advanced Chemistry of Catalonia (CSIC), Jordi Girona 18. 08034 Barcelona, Spain
6722863	Sergio_L&#xF3;pez	Department of Biological Chemistry, Institute of Advanced Chemistry of Catalonia (CSIC), Jordi Girona 18. 08034 Barcelona, Spain
6722863	Ana_Bernab&#xE9;	Department of Biological Chemistry, Institute of Advanced Chemistry of Catalonia (CSIC), Jordi Girona 18. 08034 Barcelona, Spain
6722863	&#xC1;ngel_Guerrero	Department of Biological Chemistry, Institute of Advanced Chemistry of Catalonia (CSIC), Jordi Girona 18. 08034 Barcelona, Spain
6722863	Carmen_Quero	Department of Biological Chemistry, Institute of Advanced Chemistry of Catalonia (CSIC), Jordi Girona 18. 08034 Barcelona, Spain
6581665	Christian_K&#xF6;nig	Institute for Zoology, University of Hohenheim, Stuttgart, GermanyUniversity of HohenheimStuttgartGermany
