pmcid	forename_lastname	affiliation
7508886	Romina_Giacometti	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Vanesa_Jacobi	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Florencia_Kronberg	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Charalampos_Panagos	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Arthur S._Edison	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Jorge A._Zavala	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7502232	Ivana_Sabljic	Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales-INBA, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas, Ciudad Aut&#xF3;noma de Buenos Aires, Argentina
7502232	Jesica A._Barneto	Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales-INBA, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas, Ciudad Aut&#xF3;noma de Buenos Aires, Argentina
7502232	Karina B._Balestrasse	Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales-INBA, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas, Ciudad Aut&#xF3;noma de Buenos Aires, Argentina
7502232	Jorge A._Zavala	Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales-INBA, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas, Ciudad Aut&#xF3;noma de Buenos Aires, Argentina
7502232	Eduardo A._Pagano	Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales-INBA, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas, Ciudad Aut&#xF3;noma de Buenos Aires, Argentina
7498604	Davide_Scaccini	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Luka_Vanishvili	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Paola_Tirello	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Vaughn M._Walton	grid.4391.f0000 0001 2112 1969Department of Horticulture, Oregon State University, Corvallis, OR USA 
7498604	Carlo_Duso	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7498604	Alberto_Pozzebon	grid.5608.b0000 0004 1757 3470Department of Agronomy Food Natural Resources Animals and Environment, University of Padova, 35020 Legnaro, Padua Italy 
7484799	Guo_Wei	grid.411461.70000 0001 2315 1184Department of Plant Sciences, University of Tennessee, Knoxville, TN 37996 USA 
7484799	Franziska_Eberl	grid.418160.a0000 0004 0491 7131Department of Biochemistry, Max Planck Institute for Chemical Ecology, Hans-Kn&#xF6;ll Str. 8, 07745 Jena, Germany 
7484799	Xinlu_Chen	grid.411461.70000 0001 2315 1184Department of Plant Sciences, University of Tennessee, Knoxville, TN 37996 USA 
7484799	Chi_Zhang	grid.411461.70000 0001 2315 1184Department of Plant Sciences, University of Tennessee, Knoxville, TN 37996 USA 
7484799	Sybille B._Unsicker	grid.418160.a0000 0004 0491 7131Department of Biochemistry, Max Planck Institute for Chemical Ecology, Hans-Kn&#xF6;ll Str. 8, 07745 Jena, Germany 
7484799	Tobias G._K&#xF6;llner	grid.418160.a0000 0004 0491 7131Department of Biochemistry, Max Planck Institute for Chemical Ecology, Hans-Kn&#xF6;ll Str. 8, 07745 Jena, Germany 
7484799	Jonathan_Gershenzon	grid.418160.a0000 0004 0491 7131Department of Biochemistry, Max Planck Institute for Chemical Ecology, Hans-Kn&#xF6;ll Str. 8, 07745 Jena, Germany 
7484799	Feng_Chen	grid.411461.70000 0001 2315 1184Department of Plant Sciences, University of Tennessee, Knoxville, TN 37996 USA 
7440640	Mohammad Mosharof Hossain_Bhuyain	Department of Entomology, Faculty of Agriculture, Hajee Mohammad Danesh Science and Technology University (HSTU), Dinajpur, Bangladesh
7440640	Un Taek_Lim	Department of Plant Medicals, Andong National University, Andong, Republic of Korea
7450643	Hao-Chun_Hu	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Chi-Ying_Li	Departmentof Pharmacology and Pharmaceutical Sciences, School of Pharmacy, University of Southern California, 1985 Zonal Avenue, Los Angeles, California 90089, United States
7450643	Yi-Hong_Tsai	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Dai-Yun_Yang	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Yang-Chang_Wu	GraduateInstitute of Integrated Medicine and Chinese Medicine Research andDevelopment Center, China Medical University, Taichung 404, Taiwan
7450643	Tsong-Long_Hwang	GraduateInstitute of Natural Products, College of Medicine, Chang Gung University, Taoyuan 333, Taiwan
7450643	Shu-Li_Chen	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Ferenc_F&#xFC;l&#xF6;p	Instituteof Pharmaceutical Chemistry, Universityof Szeged, Szeged 6720, Hungary
7450643	Attila_Hunyadi	Instituteof Pharmacognosy, Interdisciplinary Excellence Center, and InterdisciplinaryCentre for Natural Products, Universityof Szeged, Szeged 6720, Hungary
7450643	Chia-Hung_Yen	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Yuan-Bin_Cheng	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7450643	Fang-Rong_Chang	GraduateInstitute of Natural Products, College of Pharmacy, Kaohsiung Medical University, Kaohsiung 807, Taiwan
7414796	Andr&#xE9; Cirilo de S_Almeida	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Fl&#xE1;vio Gon&#xE7;alves_de Jesus	Federal Goiano Institute, Campus Uruta&#xED;, Rodovia Prof. Geraldo Silva Nascimento, Uruta&#xED;, GO, Brazil
7414796	Jos&#xE9; Alexandre F_Barrigossi	Embrapa Rice and Beans, Rodovia, Santo Ant&#xF4;nio de Goi&#xE1;s, GO, Brazil
7459587	Priyanka_Mittapelly	Department of Entomology, Ohio Agricultural Research and Development Center, The Ohio State University, Wooster, OH 44691, USA; 
7459587	Swapna Priya_Rajarapu	Department of Entomology, Ohio Agricultural Research and Development Center, The Ohio State University, Wooster, OH 44691, USA; 
7469201	Yan_Wang	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7469201	Wu_Dai	Key Laboratory of Plant Protection Resources and Pest Management of the Ministry of Education, College of Plant Protection, Northwest A&amp;F University, Yangling 712100, China; 
7416138	Laura Cristina Lima_Diniz	Center of Toxins, Immune-Response andCell Signaling &#x2013; CeTICS/CEPID, LAboratory of Applied Toxinology, Butantan Institute,S&#xE3;o Paulo, Brazil
7416138	Fl&#xE1;vio Lopes_Alves	Department of Biophysics, UNIFESP, S&#xE3;oPaulo, Brazil
7416138	Antonio_Miranda	Department of Biophysics, UNIFESP, S&#xE3;oPaulo, Brazil
7416138	Pedro Ismael_da Silva Junior	Center of Toxins, Immune-Response andCell Signaling &#x2013; CeTICS/CEPID, LAboratory of Applied Toxinology, Butantan Institute,S&#xE3;o Paulo, Brazil
7382489	Ana Paula_de Queiroz	0000 0001 1941 472Xgrid.20736.30Universidade Federal Do Paran&#xE1;, Caixa Postal 19020, Curitiba, Paran&#xE1; 81531-980 Brasil 
7382489	Adeney de Freitas_Bueno	Empresa Brasileira de Pesquisa Agropecu&#xE1;ria &#x2013; Embrapa Soja, Caixa Postal 231, Londrina, Paran&#xE1; 86001-970 Brasil 
7382489	Ant&#xF4;nio Ricardo_Panizzi	Empresa Brasileira de Pesquisa Agropecu&#xE1;ria &#x2013; Embrapa Trigo, Caixa Postal 3081, Passo Fundo, Rio Grande Do Sul 90050-970 Brasil 
7382489	Bruna Magda_Favetti	0000 0001 2205 004Xgrid.466801.dInstituto Agron&#xF4;mico Do Paran&#xE1; (IAPAR), Rodovia Celso Garcia Cid, km 375, Londrina, Paran&#xE1; 86047-902 Brasil 
