pmcid	forename_lastname	affiliation
7304411	Carolina_Boucinha	Funda&#xE7;&#xE3;o Oswaldo Cruz-Fiocruz, Instituto Oswaldo Cruz, Laborat&#xF3;rio de Estudos Integrados em Protozoologia, Cole&#xE7;&#xE3;o de Protozo&#xE1;rios da Fiocruz, Rio de Janeiro, RJ, Brasil
7304411	Amanda R_Caetano	Funda&#xE7;&#xE3;o Oswaldo Cruz-Fiocruz, Instituto Oswaldo Cruz, Laborat&#xF3;rio de Estudos Integrados em Protozoologia, Cole&#xE7;&#xE3;o de Protozo&#xE1;rios da Fiocruz, Rio de Janeiro, RJ, Brasil
7304411	Helena LC_Santos	Funda&#xE7;&#xE3;o Oswaldo Cruz-Fiocruz, Instituto Oswaldo Cruz, Laborat&#xF3;rio de Estudos Integrados em Protozoologia, Cole&#xE7;&#xE3;o de Protozo&#xE1;rios da Fiocruz, Rio de Janeiro, RJ, Brasil
7304411	Raphael_Helaers	University of Louvain, de Duve Institute, Laboratory of Human Molecular Genetics, Brussels, Belgium
7304411	Miikka_Vikkula	University of Louvain, de Duve Institute, Laboratory of Human Molecular Genetics, Brussels, Belgium
7304411	Marta Helena_Branquinha	Universidade Federal do Rio de Janeiro, Instituto de Microbiologia Paulo de G&#xF3;es, Rio de Janeiro, Brasil
7304411	Andr&#xE9; Luis Souza_dos Santos	Universidade Federal do Rio de Janeiro, Instituto de Microbiologia Paulo de G&#xF3;es, Rio de Janeiro, Brasil
7304411	Philippe_Grellier	Mus&#xE9;um National d&#x2018;Histoire Naturelle, Unit&#xE9; Mol&#xE9;cules de Communication et Adaptation des Microorganisme, Paris, France
7304411	Karina Alessandra_Morelli	Funda&#xE7;&#xE3;o Oswaldo Cruz-Fiocruz, Instituto Oswaldo Cruz, Laborat&#xF3;rio de Estudos Integrados em Protozoologia, Cole&#xE7;&#xE3;o de Protozo&#xE1;rios da Fiocruz, Rio de Janeiro, RJ, Brasil
7304411	Claudia Masini_d&#x2018;Avila-Levy	Funda&#xE7;&#xE3;o Oswaldo Cruz-Fiocruz, Instituto Oswaldo Cruz, Laborat&#xF3;rio de Estudos Integrados em Protozoologia, Cole&#xE7;&#xE3;o de Protozo&#xE1;rios da Fiocruz, Rio de Janeiro, RJ, Brasil
7349340	Houston_Wilson	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
7349340	Jessica J._Maccaro	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
