pmcid	forename_lastname	affiliation
7421533	Claude_Bragard	UNKNOWN
7421533	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7421533	Francesco_Di Serio	UNKNOWN
7421533	Paolo_Gonthier	UNKNOWN
7421533	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7421533	Josep Anton_Jaques Miret	UNKNOWN
7421533	Annemarie Fejer_Justesen	UNKNOWN
7421533	Alan_MacLeod	UNKNOWN
7421533	Christer Sven_Magnusson	UNKNOWN
7421533	Panagiotis_Milonas	UNKNOWN
7421533	Juan A_Navas&#x2010;Cortes	UNKNOWN
7421533	Stephen_Parnell	UNKNOWN
7421533	Philippe Lucien_Reignault	UNKNOWN
7421533	Hans&#x2010;Hermann_Thulke	UNKNOWN
7421533	Wopke_Van der Werf	UNKNOWN
7421533	Antonio Vicent_Civera	UNKNOWN
7421533	Jonathan_Yuen	UNKNOWN
7421533	Lucia_Zappal&#xE0;	UNKNOWN
7421533	Elisavet_Chatzivassiliou	UNKNOWN
7421533	Jane_Debode	UNKNOWN
7421533	Charles_Manceau	UNKNOWN
7421533	Ciro_Gardi	UNKNOWN
7421533	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7421533	Roel_Potting	UNKNOWN
7469172	Muhammad Asim_Rasheed	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Muhammad Musa_Khan	Key Laboratory of Bio-Pesticide Innovation and Application Guangdong Province, South China Agricultural University, Guangzhou 510642, China; 
7469172	Muhammad_Hafeez	State Key Laboratory Breeding Base for Zhejiang Sustainable Pest and Disease Control, Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou 310021, China; 
7469172	Jing_Zhao	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Yasir_Islam	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Shahzaib_Ali	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Shakeel_Ur-Rehman	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Um_e-Hani	Laboratory of Biological Control of Sustainable Pests, Department of Entomology, College of Plant Protection, China Agriculture University, Beijing 100083, China; 
7469172	Xingmiao_Zhou	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7411817	Kiran R._Gadhave	Department of Plant Pathology and Microbiology, University of California, Riverside, CA 92521, USA
7411817	Saurabh_Gautam	Department of Entomology, University of Georgia, 1109 Experiment Street, Griffin, GA 30223, USA;  (R.S.)
7411817	David A._Rasmussen	Department of Entomology and Plant Pathology, North Carolina State University, Raleigh, NC 27606, USA; 
7411817	Rajagopalbabu_Srinivasan	Department of Entomology, University of Georgia, 1109 Experiment Street, Griffin, GA 30223, USA;  (R.S.)
7411948	Jan_Dampc	Department of Experimental Biology and Chemistry, University of Rzesz&#xF3;w, Pigonia 1, 35-310 Rzesz&#xF3;w, Poland; 
7411948	Monika_Kula-Maximenko	The Franciszek G&#xF3;rski Institute of Plant Physiology, Polish Academy of Sciences, Niezapominajek 21, 30-239 Krak&#xF3;w, Poland; 
7411948	Mateusz_Molon	Department of Biochemistry and Cell Biology, University of Rzeszow, Zelwerowicza 4, 35-601 Rzeszow, Poland; 
7411948	Roma_Durak	Department of Experimental Biology and Chemistry, University of Rzesz&#xF3;w, Pigonia 1, 35-310 Rzesz&#xF3;w, Poland; 
7411604	Jing_Gao	Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangdong Academy of Science, Guangzhou 510260, China; 
7411604	Steve_Arthurs	Biobee USA, Altamonte Springs, FL 32714, USA; 
7411604	Runqian_Mao	Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangdong Academy of Science, Guangzhou 510260, China; 
7349642	Jeniffer K._Alvarez-Baca	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	Armando_Alfaro-Tapia	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	Blas_Lavandero	Laboratorio de Control Biol&#xF3;gico, Instituto de Ciencias Biol&#xF3;gicas, Universidad de Talca, Talca 3460000, Chile;  (A.A.-T.)
7349642	C&#xE9;cile_Le Lann	UMR 6553 Ecobio, Centre National de la Recherche Scientifique, Universit&#xE9; de Rennes 1, 263 Avenue du G&#xE9;n&#xE9;ral Leclerc, 35042 Rennes, France;  (J.V.B.)
7349642	Joan_Van Baaren	UMR 6553 Ecobio, Centre National de la Recherche Scientifique, Universit&#xE9; de Rennes 1, 263 Avenue du G&#xE9;n&#xE9;ral Leclerc, 35042 Rennes, France;  (J.V.B.)
7353542	Asgar_Ebadollahi	Moghan College of Agriculture and Natural Resources, University of Mohaghegh Ardabili, Ardabil 56199-36514, Iran
7353542	William N._Setzer	Department of Chemistry, University of Alabama in Huntsville, Huntsville, AL 35899, USA
7237440	Joakim_P&#xE5;lsson	0000 0000 8578 2742grid.6341.0Department of Plant Protection Biology, Swedish University of Agricultural Sciences, 230 53 Alnarp, Sweden 
7237440	Mario_Porcel	0000 0000 8578 2742grid.6341.0Department of Plant Protection Biology, Swedish University of Agricultural Sciences, 230 53 Alnarp, Sweden 
7237440	Mette Frimodt_Hansen	0000 0000 8578 2742grid.6341.0Department of Plant Protection Biology, Swedish University of Agricultural Sciences, 230 53 Alnarp, Sweden 
7237440	Joachim_Offenberg	0000 0001 1956 2722grid.7048.bDepartment of Bioscience, Plant and Insect Ecology, Aarhus University, 8600 Silkeborg, Denmark 
7237440	Tiziana_Nardin	0000 0004 1755 6224grid.424414.3Technology Transfer Centre, Fondazione Edmund Mach (FEM), Via E. Mach 1, 38010 San Michele all&#x2019;Adige, Italy 
7237440	Roberto_Larcher	0000 0004 1755 6224grid.424414.3Technology Transfer Centre, Fondazione Edmund Mach (FEM), Via E. Mach 1, 38010 San Michele all&#x2019;Adige, Italy 
