pmcid	forename_lastname	affiliation
5846457	&#x141;ukasz_Kajtoch	Institute of Systematics and Evolution of Animals Polish Academy of Sciences, Krakow, Poland
5846457	Nela_Kot&#xE1;skov&#xE1;	Faculty of Science, University of Ostrava, Ostrava, Czech Republic
5371936	Yobana A._Mari&#xF1;o	Department of Biology, University of Puerto Rico&#x2014;R&#xED;o Piedras, San Juan, PR 00931, USA; 
5371936	Jos&#xE9; C._Verle Rodrigues	Center for Excellence in Quarantine and Invasive Species, Agricultural Experimental Station&#x2014;R&#xED;o Piedras, Department of Agroenvironmental Sciences, University of Puerto Rico&#x2014;Mayag&#xFC;ez, 1193 Calle Guayac&#xE1;n, San Juan, PR 00926, USA; 
5371936	Paul_Bayman	Department of Biology, University of Puerto Rico&#x2014;R&#xED;o Piedras, San Juan, PR 00931, USA; 
4672207	Aliz&#xE8;ta_Sawadogo	Fasobiocarburant, BP 200 L&#xE9;o, Burkina Faso
4672207	Est&#xE9;rer_Nagalo	Fasobiocarburant, BP 200 L&#xE9;o, Burkina Faso
4672207	Souleymane_Nacro	Fasobiocarburant, BP 200 L&#xE9;o, Burkina Faso
4672207	Mathurin_Rouamba	Fasobiocarburant, BP 200 L&#xE9;o, Burkina Faso
4672207	Marc_Kenis	CABI, 2800 Del&#xE9;mont, Switzerland
3253646	Michael_Schmitt	Ernst-Moritz-Arndt-Universit&#xE4;t, Allgemeine &amp; Systematische Zoologie, Anklamer Str. 20, D-17489 Greifswald, Germany            
3253646	Thomas_R&#xF6;nn	Universit&#xE4;tsklinikum Essen, Institut f&#xFC;r Physiologische Chemie, Virchowstr. 171, D-45122 Essen, Germany            
