pmcid	forename_lastname	affiliation
7469204	Anna_Skourti	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nickolas G._Kavallieratos	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nikos E._Papanikolaou	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469149	Jacob D._Langsi	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Elias N._Nukenine	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Kary M._Oumarou	National School of Veterinary Medicine and Sciences (ESMV), Ngaoundere P. O. Box 454, Cameroon; 
7469149	Hamadou_Moktar	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Charles N._Fokunang	Faculty of Medicine and Biomedical Sciences, University of Yaound&#xE9; 1, Yaounde P. O. Box 33032, Cameroon; 
7469149	George N._Mbata	Agriculture Research Station, Fort Valley State University, 1005 State University Drive, Fort Valley, GA 31030, USA
7469259	Dieudonne_Baributsa	Department of Entomology, Purdue University, West Lafayette, IN 47907, USA; 
7469259	Ousmane Nouhou_Bakoye	Department of Science and Techniques of Plant Production, Dan Dicko Dankoulodo University of Maradi, Maradi BP 465, Niger;  (B.I.)
7469259	Baoua_Ibrahim	Department of Science and Techniques of Plant Production, Dan Dicko Dankoulodo University of Maradi, Maradi BP 465, Niger;  (B.I.)
7469259	Larry L._Murdock	Department of Entomology, Purdue University, West Lafayette, IN 47907, USA; 
7464821	Mohammad Reza_Youssefi	Department of Veterinary Parasitology, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran; 
7464821	Ali_Nikpay	Faculty of Veterinary Medicine, Amol University of Special Modern Technologies, Amol 4618649767, Iran; 
7464821	Niloufar_Hassanpour	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Aida_Mirzapour	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Parisa Saleh_Tabari	Faculty of Veterinary Medicine, Babol-Branch, Islamic Azad University, Babol 19585/466, Iran;  (P.S.T.)
7464821	Roman_Pavela	Crop Research Institute, Drnovska 507, Ruzyne, 161 06 Prague 6, Czech Republic; 
7464821	Filippo_Maggi	School of Pharmacy, University of Camerino, via Sant&#x2019;Agostino 1, 62032 Camerino, Italy; 
7464821	Riccardo_Petrelli	School of Pharmacy, University of Camerino, via Sant&#x2019;Agostino 1, 62032 Camerino, Italy; 
7464977	Spiridon_Mantzoukas	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Georgia_Korbou	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Alexandra_Magita	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7464977	Panagiotis_A. Eliopoulos	Department of Agrotechnology, University of Thessaly, 45100 Larissa, Greece; 
7464977	Konstantinos_Poulas	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece;  (A.M.)
7343657	Kayode David_Ileke	Department of Biology, School of Science, Federal University of Technology, PMB 704, Akure, Ondo State, Nigeria
7343657	Joy Ejemen_Idoko	Department of Crop, Soil and Pest Management, School of Agriculture and Agricultural Technology, Federal University of Technology, PMB 704, Akure, Ondo State, Nigeria
7343657	Durojaye Olanrewaju_Ojo	Department of Zoology and Environmental Biology, Faculty of Science, Ekiti State University, Ado Ekiti, Ekiti State, Nigeria
7343657	Bukola Christianah_Adesina	Department of Environmental Science and Resource Management, School of Science and Technology, National Open University, Abuja, Nigeria
7391540	Ting&#x2010;bang_Yang	1Key Laboratory of Southwest China Wildlife Resources Conservation (Ministry of Education)Institute of EcologyChina West Normal UniversityNanchongChina
7391540	Jie_Liu	2The State Key Laboratory of Biocatalysis and Enzyme Engineering of ChinaSchool of Life SciencesHubei UniversityWuhanChina
7391540	Jian_Chen	2The State Key Laboratory of Biocatalysis and Enzyme Engineering of ChinaSchool of Life SciencesHubei UniversityWuhanChina
