pmcid	forename_lastname	affiliation
7487574	David Kalenzi_Atuhaire	grid.463181.9Centre for Ticks and Tick-Borne Diseases, Private Bag A130, Lilongwe, Malawi 
7487574	Walter_Muleya	grid.12984.360000 0000 8914 5257Department of Biomedical Sciences, School of Veterinary Medicine, University of Zambia, P.O. Box 32379, Lusaka, 10101 Zambia 
7487574	Victor_Mbao	International Development Research Centre, Eastern and Southern Africa Regional Office, Nairobi, Kenya 
7487574	Thomas_Bazarusanga	Acre Africa, P.O. Box 6782, Kigali, Rwanda 
7487574	Isidore_Gafarasi	Rwanda Agricultural Board, P.O. Box 5016, Kigali, Rwanda 
7487574	Jeremy_Salt	grid.475363.0Global Alliance for Livestock Veterinary Medicines, Doherty Building, Pentlands Science Park, Bush Loan, Penicuik, Edinburgh, EH26 0PZ Scotland, UK 
7487574	Boniface_Namangala	grid.12984.360000 0000 8914 5257Department of Paraclinical Studies, School of Veterinary Medicine, University of Zambia, P.O. Box 32379, Lusaka, 10101 Zambia 
7487574	Antony Jim_Musoke	LMK Medical laboratories and consultancies, P.O. Box 33686, Kampala, Uganda 
7458302	Joseph Wang&#x2019;ang&#x2019;a_Oundo	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Jandouwe_Villinger	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Maamun_Jeneby	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	George_Ong&#x2019;amo	School of Biological Sciences, University of Nairobi, Nairobi, Kenya
7458302	Moses Yongo_Otiende	Forensic and Genetics Laboratory, Kenya Wildlife Service, Nairobi, Kenya
7458302	Edward Edmond_Makhulu	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Ali Abdulahi_Musa	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Daniel Obado_Ouso	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Lillian_Wambua	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7453536	Esther G._Kanduma	grid.10604.330000 0001 2019 0495Present Address: Department of Biochemistry, School of Medicine, University of Nairobi, P.O. Box 30197-00100, Nairobi, Kenya 
7453536	David_Emery	grid.1013.30000 0004 1936 834XSydney School of Veterinary Science (SSVS), University of Sydney, Sydney, NSWs Australia 
7453536	Naftaly W._Githaka	grid.419369.0International Livestock Research Institute (ILRI), P.O. Box 30709-00100, Nairobi, Kenya 
7453536	Edward K._Nguu	grid.10604.330000 0001 2019 0495Present Address: Department of Biochemistry, School of Medicine, University of Nairobi, P.O. Box 30197-00100, Nairobi, Kenya 
7453536	Richard P._Bishop	grid.30064.310000 0001 2157 6568Department of Veterinary Microbiology and Pathology, Washington State University, Pullman, USA 
7453536	Jan_&#x160;lapeta	grid.1013.30000 0004 1936 834XSydney School of Veterinary Science (SSVS), University of Sydney, Sydney, NSWs Australia 
7474386	Joseph_Byaruhanga	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Fred_Odua	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Yvette_Ssebunya	Division of Veterinary Regulation and Inspection, Department of Animal Health, Ministry of Agriculture, Animal Industry and Fisheries, Entebbe, Uganda
7474386	Olivia_Aketch	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Dickson Stuart_Tayebwa	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Innocent B._Rwego	One Health Division, Department of Veterinary Population Medicine, College of Veterinary Medicine, St. Paul, Falcon Heights, MN 55108, USA
7474386	Patrick_Vudriko	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7448653	Nina_Kre&#x161;i&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	Ivana_&#x160;imi&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	Tomislav_Bedekovi&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	&#x17D;aklin_Acinger-Rogi&#x107;	Ministry of Agriculture, Veterinary and Food Safety Directorate, Zagreb, Croatia        
7448653	Ivana_Lojki&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7428492	Zainab_Aljbory	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Michael J._Aikins	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Yoonseong_Park	1Department of EntomologyKansas State UniversityManhattanKSUSA
7428492	Gerald R._Reeck	3Department of Biochemistry and Molecular BiophysicsKansas State UniversityManhattanKSUSA
7428492	Ming&#x2010;Shun_Chen	1Department of EntomologyKansas State UniversityManhattanKSUSA
7417564	Kateryna_Kotsarenko	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Pavlina_Vechtova	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Jaroslava_Lieskovska	grid.14509.390000 0001 2166 4904Faculty of Science, University of South Bohemia, Branisovska 1760, 37005 Ceske Budejovice, Czech Republic 
7417564	Zolt&#xE1;n_F&#xFC;ssy	grid.14509.390000 0001 2166 4904Faculty of Science, University of South Bohemia, Branisovska 1760, 37005 Ceske Budejovice, Czech Republic 
7417564	Diogo C._Cabral-de-Mello	grid.410543.70000 0001 2188 478XDepartment of General and Applied Biology, S&#xE3;o Paulo State University, Rio Claro, S&#xE3;o Paulo Brazil 
7417564	Ryan O. M._Rego	grid.448361.cInstitute of Parasitology, Biology Centre of the Czech Academy of Sciences, Branisovska 31, 37005 Ceske Budejovice, Czech Republic 
7417564	Pilar_Alberdi	grid.8048.40000 0001 2194 2329Neuroplasticity and Neurodegeneration Group, Regional Center for Biomedical Research (CRIB), Ciudad Real Medical School, University of Castilla-La Mancha, 13005 Ciudad Real, Spain 
