pmcid	forename_lastname	affiliation
7518888	J Dylan_Shropshire	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7518888	Brittany_Leigh	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7518888	Seth R_Bordenstein	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7421533	Claude_Bragard	UNKNOWN
7421533	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7421533	Francesco_Di Serio	UNKNOWN
7421533	Paolo_Gonthier	UNKNOWN
7421533	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7421533	Josep Anton_Jaques Miret	UNKNOWN
7421533	Annemarie Fejer_Justesen	UNKNOWN
7421533	Alan_MacLeod	UNKNOWN
7421533	Christer Sven_Magnusson	UNKNOWN
7421533	Panagiotis_Milonas	UNKNOWN
7421533	Juan A_Navas&#x2010;Cortes	UNKNOWN
7421533	Stephen_Parnell	UNKNOWN
7421533	Philippe Lucien_Reignault	UNKNOWN
7421533	Hans&#x2010;Hermann_Thulke	UNKNOWN
7421533	Wopke_Van der Werf	UNKNOWN
7421533	Antonio Vicent_Civera	UNKNOWN
7421533	Jonathan_Yuen	UNKNOWN
7421533	Lucia_Zappal&#xE0;	UNKNOWN
7421533	Elisavet_Chatzivassiliou	UNKNOWN
7421533	Jane_Debode	UNKNOWN
7421533	Charles_Manceau	UNKNOWN
7421533	Ciro_Gardi	UNKNOWN
7421533	Olaf_Mosbach&#x2010;Schulz	UNKNOWN
7421533	Roel_Potting	UNKNOWN
7469157	Modesto_del Pino	Andalusian Institute for Research and Training in Agriculture, Fishery, Food and Organic Production (IFAPA), M&#xE1;laga Centre, Cortijo de la Cruz s/n, 29140 Churriana, M&#xE1;laga, Spain; 
7469157	Juan Ram&#xF3;n_Gallego	Research Centre for Mediterranean Intensive Agrosystems and Agrifood Biotechnology (CIAMBITAL), Agrifood Campus of International Excellence (CEIA3), University of Almeria, Ctra. de Sacramento, s/n, 04120 La Ca&#xF1;ada, Almeria, Spain; 
7469157	Estrella_Hern&#xE1;ndez Su&#xE1;rez	Canarian Institute for Agricultural Research (ICIA), P.B. 60, ES 38200 La Laguna, Santa Cruz de Tenerife, Canary Islands, Spain; 
7469157	Tom&#xE1;s_Cabello	Research Centre for Mediterranean Intensive Agrosystems and Agrifood Biotechnology (CIAMBITAL), Agrifood Campus of International Excellence (CEIA3), University of Almeria, Ctra. de Sacramento, s/n, 04120 La Ca&#xF1;ada, Almeria, Spain; 
7360630	Renate_W&#xF6;ger	Senckenberg Museum of Zoology, Dresden, GermanySenckenberg Museum of ZoologyDresdenGermany
7360630	Roland_W&#xF6;ger	Senckenberg Museum of Zoology, Dresden, GermanySenckenberg Museum of ZoologyDresdenGermany
7360630	Matthias_Nuss	Senckenberg Museum of Zoology, Dresden, GermanySenckenberg Museum of ZoologyDresdenGermany
7349277	Micha&#x142;_Krzy&#x17C;owski	Laboratory of Insect Physiology and Ethology, Institute of Biology, Biotechnology and Environmental Protection, Faculty of Natural Sciences, University of Silesia in Katowice, 40-007 Katowice, Poland;  (J.F.)
7349277	Bartosz_Baran	Laboratory of Insect Physiology and Ethology, Institute of Biology, Biotechnology and Environmental Protection, Faculty of Natural Sciences, University of Silesia in Katowice, 40-007 Katowice, Poland;  (J.F.)
7349277	Bartosz_&#x141;ozowski	Laboratory of Insect Physiology and Ethology, Institute of Biology, Biotechnology and Environmental Protection, Faculty of Natural Sciences, University of Silesia in Katowice, 40-007 Katowice, Poland;  (J.F.)
7349277	Jacek_Francikowski	Laboratory of Insect Physiology and Ethology, Institute of Biology, Biotechnology and Environmental Protection, Faculty of Natural Sciences, University of Silesia in Katowice, 40-007 Katowice, Poland;  (J.F.)
7425788	Matteo_Marchioro	Department of Agronomy, Food, Natural Resources, Animals and Environment (DAFNAE), University of Padova, Viale dell&#x2019;Universit&#xE0;, 16 - 35020 Legnaro (PD), Italy
7425788	Andrea_Battisti	Department of Agronomy, Food, Natural Resources, Animals and Environment (DAFNAE), University of Padova, Viale dell&#x2019;Universit&#xE0;, 16 - 35020 Legnaro (PD), Italy
7425788	Massimo_Faccoli	Department of Agronomy, Food, Natural Resources, Animals and Environment (DAFNAE), University of Padova, Viale dell&#x2019;Universit&#xE0;, 16 - 35020 Legnaro (PD), Italy
7073712	Lauren M._Perez	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Patricia J._Moore	Department of Entomology, University of Georgia, Athens, GA 30601, USA; 
7073712	Mark R._Abney	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Michael D._Toews	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
6988935	Saeed_Farahani	Plant Protection Department, College of Agriculture and Natural Resources, University of Tehran, Karaj, Iran
6988935	Ali R._Bandani	Plant Protection Department, College of Agriculture and Natural Resources, University of Tehran, Karaj, Iran
6988935	Houshang_Alizadeh	Department of Agronomy and Plant Breeding, College of Agriculture and Natural Resources, University of Tehran, Karaj, Iran
6988935	Seyed Hossein_Goldansaz	Plant Protection Department, College of Agriculture and Natural Resources, University of Tehran, Karaj, Iran
6988935	Steven_Whyard	Department of Biological Sciences, University of Manitoba, Winnipeg, Manitoba, Canada
6967388	Jessamyn I._Perlmutter	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA        
6967388	Jane E._Meyers	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA        
6967388	Seth R._Bordenstein	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA        
