pmcid	forename_lastname	affiliation
7495052	Abdulrhman A._Almadiy	Department of Biology, Faculty of Arts and Sciences, Najran University, 1988 Najran, Saudi Arabia
7474356	Mariame_Najem	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Mohamed_Bammou	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Lamia_Bachiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	El Houssine_Bouiamrine	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Jamal_Ibijbijen	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7474356	Laila_Nassiri	Environment &amp; Soil Microbiology Laboratory, Moulay Ismail University of Meknes, Faculty of Sciences, Meknes B. P: 11201, Morocco
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7469204	Anna_Skourti	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nickolas G._Kavallieratos	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nikos E._Papanikolaou	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469149	Jacob D._Langsi	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Elias N._Nukenine	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Kary M._Oumarou	National School of Veterinary Medicine and Sciences (ESMV), Ngaoundere P. O. Box 454, Cameroon; 
7469149	Hamadou_Moktar	Faculty of Sciences, University of Ngaoundere, Ngaoundere P. O. Box 454, Cameroon;  (H.M.)
7469149	Charles N._Fokunang	Faculty of Medicine and Biomedical Sciences, University of Yaound&#xE9; 1, Yaounde P. O. Box 33032, Cameroon; 
7469149	George N._Mbata	Agriculture Research Station, Fort Valley State University, 1005 State University Drive, Fort Valley, GA 31030, USA
7469160	Yun-Heng_Lu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Carol-P_Wu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Cheng-Kang_Tang	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Yu-Hsien_Lin	Department of Plant Physiology, Swammerdam Institute for Life Sciences, University of Amsterdam, 1098 XH Amsterdam, The Netherlands; 
7469160	Houda Ouns_Maaroufi	Biology Centre of the Czech Academy of Science, Institute of Entomology, 37005 Ceske Budejovice, Czech Republic; 
7469160	Yi-Chi_Chuang	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Yueh-Lung_Wu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7465044	Gianluca_Paventi	Department of Medicine and Health Sciences &#x201C;V. Tiberio&#x201D;, University of Molise, via de Sanctis, 86100 Campobasso, Italy
7465044	Laura_de Acutis	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Antonio_De Cristofaro	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Marco_Pistillo	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giacinto S._Germinara	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giuseppe_Rotundo	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7417229	Grisel_Cavieres	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7417229	Enrico L._Rezende	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7417229	Sabrina_Clavijo&#x2010;Baquet	2Secci&#xF3;n Etolog&#xED;aFacultad de CienciasUniversidad de la Rep&#xFA;blicaMontevideoUruguay
7417229	Jos&#xE9; M._Alruiz	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7417229	Carla_Rivera&#x2010;Rebella	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7417229	Francisca_Boher	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7417229	Francisco_Bozinovic	1Departamento de Ecolog&#xED;aCenter of Applied Ecology and Sustainability (CAPES)Pontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
7412371	Sandra A._Allan	Center for Medical, Agricultural and Agricultural Entomology, Agricultural Research Service, United States Department of Agriculture, Gainesville, FL 32608, USA
