pmcid	forename_lastname	affiliation
7497999	Pablo_Colunga-Salas	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Sokani_S&#xE1;nchez-Montes	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Patricia_Volkow	Departamento de Infectolog&#xED;a, Instituto Nacional de Cancerologia, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Adriana_Ru&#xED;z-Remigio	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7497999	Ingeborg_Becker	Centro de Medicina Tropical, Unidad de Investigaci&#xF3;n en Medicina Experimental, Facultad de Medicina, Universidad Nacional Aut&#xF3;noma de M&#xE9;xico, Ciudad de M&#xE9;xico, M&#xE9;xico
7490856	Cedar L._Mitchell	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Feng-Chang_Lin	grid.10698.360000000122483208Department of Biostatistics, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina USA 
7490856	Meagan_Vaughn	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Charles S._Apperson	grid.40803.3f0000 0001 2173 6074Department of Entomology and Plant Pathology, North Carolina State University, Raleigh, North Carolina USA 
7490856	Steven R._Meshnick	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Scott P._Commins	Department of Medicine, Thurston Research Center, Division of Allergy, Immunology and Rheumatology, Chapel Hill, North Carolina USA 
7502793	Marelid_Cardona-Romero	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Estefani T._Mart&#xED;nez-S&#xE1;nchez	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Johnathan_Alvarez Londo&#xF1;o	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	William D._Tob&#xF3;n-Escobar	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Paula A._Ossa-L&#xF3;pez	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Jorge E._P&#xE9;rez-C&#xE1;rdenas	Grupo de Investigaci&#xF3;n Biosalud, Departamento de Ciencias B&#xE1;sicas para la Salud, Facultad de Ciencias para la Salud, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	H&#xE9;ctor E._Ram&#xED;rez-Chaves	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Giovanny_Bland&#xF3;n-Mar&#xED;n	Grupo de Investigaci&#xF3;n GINEI, Programa de Bacteriolog&#xED;a, Universidad Cat&#xF3;lica de Manizales, Carrera 23 No. 60-63, Manizales, Caldas, Colombia
7502793	Ludwin A._Cuervo	Unidad Administrativa Especial de Salud de Arauca, Calle 20 No. 30-31 Arauca, Arauca, Colombia
7502793	Gabriel J._Casta&#xF1;o-Villa	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Desarrollo Rural y Recursos Naturales, Facultad de Ciencias Agropecuarias. Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Fredy A._Rivera-P&#xE1;ez	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7469740	Brendan_O&#x2019;Kelly	UNKNOWN
7469740	John S._Lambert	UNKNOWN
7488213	Berlin_Londono-Renteria	Vector Biology Laboratory, Department of Entomology, Kansas State University, Manhattan, KS, United States
7488213	Jehidys_Montiel	Vector Biology Laboratory, Department of Entomology, Kansas State University, Manhattan, KS, United States
7488213	Eric_Calvo	Laboratory of Malaria and Vector Research, National Institute of Allergies and Infectious Diseases (NIAID/NIH), Rockville, MD, United States
7488213	Alberto_Tob&#xF3;n-Casta&#xF1;o	Malaria Group, Universidad de Antioquia, Medell&#xED;n, Colombia
7488213	Hugo O._Valdivia	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Karin_Escobedo-Vargas	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Luz_Romero	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Maria_Bosantes	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Michael L._Fisher	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Michael J._Conway	Central Michigan University College of Medicine, Mount Pleasant, MI, United States
7488213	Gissella M._V&#xE1;squez	U.S. Naval Medical Research Unit No. 6 (NAMRU-6), Callao, Peru
7488213	Audrey E._Lenhart	Division of Parasitic Diseases and Malaria, Entomology Branch, Centers for Disease Control and Prevention, Atlanta, GA, United States
7458302	Joseph Wang&#x2019;ang&#x2019;a_Oundo	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Jandouwe_Villinger	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Maamun_Jeneby	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
