pmcid	forename_lastname	affiliation
7490856	Cedar L._Mitchell	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Feng-Chang_Lin	grid.10698.360000000122483208Department of Biostatistics, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina USA 
7490856	Meagan_Vaughn	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Charles S._Apperson	grid.40803.3f0000 0001 2173 6074Department of Entomology and Plant Pathology, North Carolina State University, Raleigh, North Carolina USA 
7490856	Steven R._Meshnick	grid.410711.20000 0001 1034 1720Department of Epidemiology, Gillings School of Global Public Health, University of North Carolina, Chapel Hill, North Carolina USA 
7490856	Scott P._Commins	Department of Medicine, Thurston Research Center, Division of Allergy, Immunology and Rheumatology, Chapel Hill, North Carolina USA 
7502793	Marelid_Cardona-Romero	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Estefani T._Mart&#xED;nez-S&#xE1;nchez	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Johnathan_Alvarez Londo&#xF1;o	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	William D._Tob&#xF3;n-Escobar	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Paula A._Ossa-L&#xF3;pez	Grupo de Investigaci&#xF3;n GEBIOME, Departamento de Ciencias Biol&#xF3;gicas, Facultad de Ciencias Exactas y Naturales, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
7502793	Jorge E._P&#xE9;rez-C&#xE1;rdenas	Grupo de Investigaci&#xF3;n Biosalud, Departamento de Ciencias B&#xE1;sicas para la Salud, Facultad de Ciencias para la Salud, Universidad de Caldas, Calle 65 No. 26-10 A.A 275, Manizales, Colombia
