pmcid	forename_lastname	affiliation
7472478	Tahira_Syed	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad_Askari	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Zhigang_Meng	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yanyan_Li	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad Ali_Abid	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yunxiao_Wei	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Sandui_Guo	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Chengzhen_Liang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Rui_Zhang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7469144	Zsolt_T&#xF3;th	Institute for Soil Sciences and Agricultural Chemistry, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (M.D.)
7469144	Mikl&#xF3;s_T&#xF3;th	Plant Protection Institute, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (J.K.J.)
7469144	J&#xFA;lia Katalin_J&#xF3;svai	Plant Protection Institute, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (J.K.J.)
7469144	Franciska_T&#xF3;th	Institute for Soil Sciences and Agricultural Chemistry, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (M.D.)
7469144	Norbert_Fl&#xF3;ri&#xE1;n	Institute for Soil Sciences and Agricultural Chemistry, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (M.D.)
7469144	Veronika_Gerg&#xF3;cs	Institute for Soil Sciences and Agricultural Chemistry, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (M.D.)
7469144	Mikl&#xF3;s_Dombos	Institute for Soil Sciences and Agricultural Chemistry, Centre for Agricultural Research, Herman Ott&#xF3; &#xFA;t 15, H-1022 Budapest, Hungary;  (M.D.)
7394452	Coy R._St. Clair	Department of Entomology, Iowa State University, Ames, IA, United States of America
7394452	Graham P._Head	Bayer Crop Science, Resistance Management, Chesterfield, MO, United States of America
7394452	Aaron J._Gassmann	Department of Entomology, Iowa State University, Ames, IA, United States of America
7391001	Claude_Bragard	UNKNOWN
7391001	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7391001	Francesco_Di Serio	UNKNOWN
7391001	Paolo_Gonthier	UNKNOWN
7391001	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7391001	Josep Anton_Jaques Miret	UNKNOWN
7391001	Annemarie Fejer_Justesen	UNKNOWN
7391001	Christer Sven_Magnusson	UNKNOWN
7391001	Panagiotis_Milonas	UNKNOWN
7391001	Juan A_Navas&#x2010;Cortes	UNKNOWN
7391001	Stephen_Parnell	UNKNOWN
7391001	Roel_Potting	UNKNOWN
7391001	Philippe Lucien_Reignault	UNKNOWN
7391001	Hans&#x2010;Hermann_Thulke	UNKNOWN
7391001	Wopke_Van der Werf	UNKNOWN
7391001	Antonio Vicent_Civera	UNKNOWN
7391001	Jonathan_Yuen	UNKNOWN
7391001	Lucia_Zappal&#xE0;	UNKNOWN
7391001	Ewelina_Czwienczek	UNKNOWN
7391001	Vir&#xE1;g_Kert&#xE9;sz	UNKNOWN
7391001	Franz_Streissl	UNKNOWN
7391001	Alan_MacLeod	UNKNOWN
7411984	Guillermo_Cabrera Walsh	ARS-SABCL/FuEDEI (Foundation for the Study of Invasive Species), Hurlingham B1686EFA, Argentina
7411984	Cr&#xE9;bio J._&#xC1;vila	EMBRAPA Agropecuaria Oeste, Dourados, Mato Grosso de Sul Caixa-postal 449, Brazil; 
7411984	Nora_Cabrera	Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, La Plata B1900FWA, Argentina; 
7411984	Dori E._Nava	EMBRAPA Clima Temperado, Pelotas, Rio Grande do Sul Caixa-Postal 403, Brazil; 
7411984	Alexandre_de Sene Pinto	Centro Universitario Moura Lacerda, Ribeir&#xE3;o Preto, S&#xE3;o Paulo 14076-510, Brazil; 
7411984	Donald C._Weber	USDA-ARS Invasive Insect Biocontrol &amp; Behavior Laboratory, Baltimore Avenue, Beltsville, MD 10300, USA; 
7339632	Claude_Bragard	UNKNOWN
7339632	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7339632	Francesco_Di Serio	UNKNOWN
7339632	Paolo_Gonthier	UNKNOWN
7339632	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7339632	Josep Anton_Jaques Miret	UNKNOWN
7339632	Annemarie Fejer_Justesen	UNKNOWN
7339632	Christer Sven_Magnusson	UNKNOWN
7339632	Panagiotis_Milonas	UNKNOWN
7339632	Juan A._Navas&#x2010;Cortes	UNKNOWN
7339632	Stephen_Parnell	UNKNOWN
7339632	Roel_Potting	UNKNOWN
7339632	Philippe Lucien_Reignault	UNKNOWN
7339632	Hans&#x2010;Hermann_Thulke	UNKNOWN
7339632	Wopke_Van der Werf	UNKNOWN
7339632	Antonio Vicent_Civera	UNKNOWN
7339632	Jonathan_Yuen	UNKNOWN
7339632	Lucia_Zappal&#xE0;	UNKNOWN
7339632	Ewelina_Czwienczek	UNKNOWN
7339632	Franz_Streissl	UNKNOWN
7339632	Alan_MacLeod	UNKNOWN
7339215	Claude_Bragard	UNKNOWN
7339215	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7339215	Francesco_Di Serio	UNKNOWN
7339215	Paolo_Gonthier	UNKNOWN
7339215	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7339215	Josep Anton_Jaques Miret	UNKNOWN
7339215	Annemarie Fejer_Justesen	UNKNOWN
7339215	Alan_MacLeod	UNKNOWN
7339215	Christer Sven_Magnusson	UNKNOWN
7339215	Panagiotis_Milonas	UNKNOWN
7339215	Juan A_Navas&#x2010;Cortes	UNKNOWN
7339215	Stephen_Parnell	UNKNOWN
7339215	Roel_Potting	UNKNOWN
7339215	Philippe Lucien_Reignault	UNKNOWN
7339215	Hans&#x2010;Hermann_Thulke	UNKNOWN
7339215	Wopke_Van der Werf	UNKNOWN
7339215	Antonio_Vicent Civera	UNKNOWN
7339215	Jonathan_Yuen	UNKNOWN
7339215	Lucia_Zappal&#xE0;	UNKNOWN
7339215	Thierry_Candresse	UNKNOWN
7339215	Elisavet_Chatzivassiliou	UNKNOWN
7339215	Stephan_Winter	UNKNOWN
7339215	Bernard_Bottex	UNKNOWN
7341793	Xu_Hu	Corteva Agriscience, 7300 NW 62nd Ave., Johnston, IA 50131 USA 
