pmcid	forename_lastname	affiliation
7491730	Peter C._Jentsch	Department of Applied Mathematics, University of Waterloo, Waterloo, Ontario, Canada
7491730	Chris T._Bauch	Department of Applied Mathematics, University of Waterloo, Waterloo, Ontario, Canada
7491730	Denys_Yemshanov	Natural Resources Canada, Canadian Forest Service, Great Lakes Forestry Centre, Sault Ste. Marie, Ontario, Canada
7491730	Madhur_Anand	School of Environmental Sciences, University of Guelph, Guelph, Ontario, Canada
7448986	Yuan-Ming_Wu	grid.413458.f0000 0000 9330 9891School of Basic Medical Sciences, Guizhou Medical University, Guiyang, Guizhou P.R. China 550025 
7448986	Yang-Yang_Liu	grid.443382.a0000 0004 1804 268XInstitute of Entomology/Special Key Laboratory for Development and Utilization of Insect Resources, Guizhou University, Guiyang, Guizhou P.R. China 550025 
7448986	Xiang-Sheng_Chen	grid.443382.a0000 0004 1804 268XInstitute of Entomology/Special Key Laboratory for Development and Utilization of Insect Resources, Guizhou University, Guiyang, Guizhou P.R. China 550025 
7433766	R A_Kucuk	Clemson University, Poole Agricultural Center, Clemson, SC
7469214	Mark G._Volkovitsh	Zoological Institute, Russian Academy of Sciences, Moscow 119991, Russia
7469214	Alexey V._Kovalev	All-Russian Research Institute of Plant Protection, St. Petersburg 168084, Russia; 
7469214	Marina J._Orlova-Bienkowskaja	A.N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences, Moscow 119991, Russia; 
7387575	Jia-Li_Qian	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Ding-Ze_Mang	Graduate School of Bio-Applications and Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan
7387575	Guo-Chang_Lv	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Jia_Ye	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Zhao-Qun_Li	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou, China
7387575	Bo_Chu	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou, China
7387575	Long_Sun	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7387575	Yu-Jun_Liu	Anhui Academy of Science and Technology, Hefei, China
7387575	Long-Wa_Zhang	Anhui Provincial Key Laboratory of Microbial Control, Engineering Research Center of Fungal Biotechnology, Ministry of Education, School of Forestry and Landscape Architecture, Anhui Agricultural University, Hefei, China
7374819	Roy_Faiman	grid.94365.3d0000 0001 2297 5165Laboratory of Malaria and Vector Research, National Institute of Allergies and Infectious Diseases, The National Institutes of Health, Rockville, MD USA 
7374819	Alpha S._Yaro	Malaria Research and Training Center, Faculty of Medicine, Pharmacy and Odonto-Stomatology, Bamako, Mali 
7374819	Moussa_Diallo	Malaria Research and Training Center, Faculty of Medicine, Pharmacy and Odonto-Stomatology, Bamako, Mali 
