pmcid	forename_lastname	affiliation
7349340	Houston_Wilson	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
7349340	Jessica J._Maccaro	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA; 
7349340	Kent M._Daane	Department of Environmental Science, Policy and Management, University of California, Berkeley, Berkeley, CA 94720-3114, USA; 
6836135	Kristen E._Tollerup	University of California, Agriculture and Natural Resources, Kearney Agricultural Research and Extension Center, Parlier, CA 93648, USA; 
6835505	Andrea L._Joyce	Department of Public Health, University of California Merced, 5200 N. Lake Road, Merced, CA 94343, USA
6835505	Apurba K._Barman	Department of Entomology, University of Georgia, Tifton, GA 31793, USA; 
6835505	David_Doll	University of California, Cooperative Extension (UCCE), Merced, CA 95341, USA; 
6835505	Bradley S._Higbee	Trece, Inc. 13404 W. Anapama Dr., Sun City West, AZ 85375, USA; 
6723408	Kent M._Daane	Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA 94720-3114, USA
6723408	Glenn Y._Yokota	Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA 94720-3114, USA
6723408	Houston_Wilson	Department of Entomology, University of California, Riverside, Riverside, CA 92521, USA
6351711	Apolline_Sanou	Laboratoire Central d&#x2019;Entomologie Agricole de Kamboins&#xE9;, Institut de l&#x2019;Environnement et de Recherches Agricoles, Ouagadougou, Burkina Faso
6351711	Fouss&#xE9;ni_Traor&#xE9;	Laboratoire Central d&#x2019;Entomologie Agricole de Kamboins&#xE9;, Institut de l&#x2019;Environnement et de Recherches Agricoles, Ouagadougou, Burkina Faso
6351711	Malick Niango_Ba	Laboratoire Central d&#x2019;Entomologie Agricole de Kamboins&#xE9;, Institut de l&#x2019;Environnement et de Recherches Agricoles, Ouagadougou, Burkina Faso
6351711	Cl&#xE9;mentine L_Dabir&#xE9;-Binso	Laboratoire Central d&#x2019;Entomologie Agricole de Kamboins&#xE9;, Institut de l&#x2019;Environnement et de Recherches Agricoles, Ouagadougou, Burkina Faso
6351711	Barry R_Pittendrigh	Department of Entomology, Michigan State University, East Lansing, MI, USA
6351711	Antoine_Sanon	Laboratoire d&#x2019;Entomologie Fondamentale et Appliqu&#xE9;e, UFR/SVT, Universit&#xE9; Ouaga I Pr Joseph Ki-Zerbo, Ouagadougou, Burkina Faso
6164602	Sandra Lisbeth_Franco-Archundia	Centro de Desarrollo de Productos Bi&#xF3;ticos (CEPROBI), Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 calle Ceprobi No.8, San Isidro, Yautepec, Morelos 62739, Mexico;  (A.J.-P.)
6164602	Agust&#xED;n Jes&#xFA;s_Gonzaga-Segura	Centro de Desarrollo de Productos Bi&#xF3;ticos (CEPROBI), Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 calle Ceprobi No.8, San Isidro, Yautepec, Morelos 62739, Mexico;  (A.J.-P.)
6164602	Alfredo_Jim&#xE9;nez-P&#xE9;rez	Centro de Desarrollo de Productos Bi&#xF3;ticos (CEPROBI), Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 calle Ceprobi No.8, San Isidro, Yautepec, Morelos 62739, Mexico;  (A.J.-P.)
6164602	V&#xED;ctor Rogelio_Castrej&#xF3;n-G&#xF3;mez	Centro de Desarrollo de Productos Bi&#xF3;ticos (CEPROBI), Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 calle Ceprobi No.8, San Isidro, Yautepec, Morelos 62739, Mexico;  (A.J.-P.)
5834936	Yiftach_Golov	School of Zoology, Tel Aviv University, Tel Aviv, Israel
5834936	Jan_Rillich	School of Zoology, Tel Aviv University, Tel Aviv, Israel
5834936	Ally_Harari	Department of Entomology, Volcani Center, Bet Dagan, Israel
5834936	Amir_Ayali	School of Zoology, Tel Aviv University, Tel Aviv, Israel
4015393	J._Gonzaga-Segura	Becario COFAA. Laboratorio de Ecolog&#xED;a Qu&#xED;mica de Insectos. Departamento de Interacciones Planta-Insecto. Centro de Desarrollo de Productos Bi&#xF3;ticos del Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 Calle CEPROBI No. 8, Col. San Isidro, Yautepec, Morelos, Mexico, C.P. 62731
4015393	J._Valdez-Carrasco	Laboratorio de Morfolog&#xED;a de Insectos. Colegio de Posgraduados en Ciencias Agr&#xED;colas Campus Montecillo. Carretera M&#xE9;xico-Texcoco km 36.5, Montecillo, Texcoco, Estado de M&#xE9;xico, C.P. 56230
4015393	V. R._Castrej&#xF3;n-G&#xF3;mez	Becario COFAA. Laboratorio de Ecolog&#xED;a Qu&#xED;mica de Insectos. Departamento de Interacciones Planta-Insecto. Centro de Desarrollo de Productos Bi&#xF3;ticos del Instituto Polit&#xE9;cnico Nacional. Carretera Yautepec, Jojutla, Km. 6 Calle CEPROBI No. 8, Col. San Isidro, Yautepec, Morelos, Mexico, C.P. 62731
