pmcid	forename_lastname	affiliation
7506528	Michelle T._Fountain	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Amir_Badiee	grid.36511.300000 0004 0420 4262School of Engineering, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Sebastian_Hemer	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Alvaro_Delgado	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Michael_Mangan	grid.36511.300000 0004 0420 4262School of Computer Science, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Colin_Dowding	grid.36511.300000 0004 0420 4262School of Engineering, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Frederick_Davis	grid.9435.b0000 0004 0457 9566Department of Chemistry, University of Reading, Whiteknights, RG6 6AD UK 
7506528	Simon_Pearson	grid.36511.300000 0004 0420 4262Lincoln Institute for Agri-Food Technology, University of Lincoln, Riseholme Campus, Lincoln, LN2 2LG UK 
7493910	Dandan_Li	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Chi_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zeqian_Tong	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Dan_Su	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Gaisheng_Zhang	grid.144022.10000 0004 1760 4150Ministry of Education, Key Laboratory of Crop Heterosis of Shaanxi Province, National Yangling Agricultural Biotechnology and Breeding Center, Yangling Branch of State Wheat Improvement Centre/Wheat Breeding Engineering Research Center, Northwest A&amp;F University, Yangling, China 
7493910	Shize_Zhang	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Huiyan_Zhao	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7493910	Zuqing_Hu	grid.144022.10000 0004 1760 4150State Key Laboratory of Crop Stress Biology in Arid Areas, College of Plant Protection, Northwest A&amp;F University, Yangling, China 
7489515	Farman_Ullah	Department of Entomology, China Agricultural University, Beijing, China
7489515	Hina_Gul	Department of Entomology, China Agricultural University, Beijing, China
7489515	Kaleem_Tariq	Department of Agriculture Entomology, Abdul Wali Khan University Mardan, Khyber Pakhtunkhwa, Pakistan
7489515	Nicolas_Desneux	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, UMR ISA, Nice, France
7489515	Xiwu_Gao	Department of Entomology, China Agricultural University, Beijing, China
7489515	Dunlun_Song	Department of Entomology, China Agricultural University, Beijing, China
7488527	Dmitry_Kutcherov	grid.15447.330000 0001 2289 6897Department of Entomology, St. Petersburg State University, St. Petersburg, 199034 Russia 
7482974	Hongmei_Huang	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Lu_Ren	Department of Entomology, South China Agricultural University, Guangzhou, China
