pmcid	forename_lastname	affiliation
7472478	Tahira_Syed	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad_Askari	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Zhigang_Meng	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yanyan_Li	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Muhammad Ali_Abid	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Yunxiao_Wei	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Sandui_Guo	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Chengzhen_Liang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7472478	Rui_Zhang	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing 100081, China;  (S.G.)
7358439	Nicholas C._Dove	Biosciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States
7358439	Timothy J._Rogers	Department of Microbiology, The University of Tennessee, Knoxville, Knoxville, TN, United States
7358439	Christy_Leppanen	Department of Ecology &amp; Evolutionary Biology, The University of Tennessee, Knoxville, Knoxville, TN, United States
7358439	Daniel_Simberloff	Department of Ecology &amp; Evolutionary Biology, The University of Tennessee, Knoxville, Knoxville, TN, United States
7358439	James A._Fordyce	Department of Ecology &amp; Evolutionary Biology, The University of Tennessee, Knoxville, Knoxville, TN, United States
7358439	Veronica A._Brown	Department of Ecology &amp; Evolutionary Biology, The University of Tennessee, Knoxville, Knoxville, TN, United States
7358439	Anthony V._LeBude	Department of Horticultural Science, North Carolina State University, Mills River, NC, United States
7358439	Thomas G._Ranney	Department of Horticultural Science, North Carolina State University, Mills River, NC, United States
7358439	Melissa A._Cregger	Biosciences Division, Oak Ridge National Laboratory, Oak Ridge, TN, United States
7125131	Fei_Yang	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, College Station, TX 77843-2475 USA 
7125131	Jos&#xE9; C. Santiago_Gonz&#xE1;lez	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, College Station, TX 77843-2475 USA 
7125131	Nathan_Little	0000 0004 0404 0958grid.463419.dSouthern Insect Management Research Unit, USDA-ARS, Stoneville, MS 38776 USA 
7125131	Dominic_Reisig	0000 0001 2173 6074grid.40803.3fDepartment of Entomology and Plant Pathology, North Carolina State University, Vernon G. James Research and Extension Center, 207 Research Station Road, Plymouth, NC 27962 USA 
7125131	Gregory_Payne	0000 0001 2223 6696grid.267437.3Department of Biology, State University of West Georgia, Carrolton, GA 30118 USA 
7125131	Rafael Ferreira_Dos Santos	0000 0001 2315 1184grid.411461.7Department of Entomology and Plant Pathology, University of Tennessee, Knoxville, TN 37996-4560 USA 
7125131	Juan Luis_Jurat-Fuentes	0000 0001 2315 1184grid.411461.7Department of Entomology and Plant Pathology, University of Tennessee, Knoxville, TN 37996-4560 USA 
7125131	Ryan_Kurtz	Cotton Incorporated, 6399 Weston Parkway, Cary, NC 27513 USA 
7125131	David L._Kerns	0000 0004 4687 2082grid.264756.4Department of Entomology, Texas A&amp;M University, College Station, TX 77843-2475 USA 
7074050	Andri_Visser	Unit for Environmental Sciences and Management, IPM program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
7074050	Hannalene_Du Plessis	Unit for Environmental Sciences and Management, IPM program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
7074050	Annemie_Erasmus	Agricultural Research Council, Grain Crops, Private Bag X1251, Potchefstroom 2520, South Africa; 
7074050	Johnnie_Van den Berg	Unit for Environmental Sciences and Management, IPM program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
7022933	Adrian_&#x141;ukowski	Institute of Dendrology, Polish Academy of Sciences, Parkowa 5, 62-035 K&#xF3;rnik, Poland;  (P.K.)
7022933	Dawid_Adamczyk	Institute of Dendrology, Polish Academy of Sciences, Parkowa 5, 62-035 K&#xF3;rnik, Poland;  (P.K.)
7022933	Piotr_Karolewski	Institute of Dendrology, Polish Academy of Sciences, Parkowa 5, 62-035 K&#xF3;rnik, Poland;  (P.K.)
7022793	Andri_Visser	Unit for Environmental Sciences and Management, IPM Program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
7022793	Hannalene_Du Plessis	Unit for Environmental Sciences and Management, IPM Program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
7022793	Annemie_Erasmus	Agricultural Research Council, Grain Crops, Private Bag X1251, Potchefstroom 2520, South Africa; 
7022793	Johnnie_van den Berg	Unit for Environmental Sciences and Management, IPM Program, North-West University, Potchefstroom 2520, South Africa;  (H.D.P.)
6890797	Jocelyn L._Smith	0000 0004 1936 8198grid.34429.38Department of Plant Agriculture, Ridgetown Campus, University of Guelph, 120 Main St. E., Ridgetown, ON N0P 2C0 Canada 
6890797	Yasmine_Farhan	0000 0004 1936 8198grid.34429.38Department of Plant Agriculture, Ridgetown Campus, University of Guelph, 120 Main St. E., Ridgetown, ON N0P 2C0 Canada 
6890797	Arthur W._Schaafsma	0000 0004 1936 8198grid.34429.38Department of Plant Agriculture, Ridgetown Campus, University of Guelph, 120 Main St. E., Ridgetown, ON N0P 2C0 Canada 
6920926	Koffi_Djaman	Department of Plant and Environmental Sciences, Agricultural Science Center at Farmington, New Mexico State University, P.O. Box 1018, Farmington, NM 87499, USA;  (S.A.)
6920926	Charles_Higgins	Higgins Farms Inc., 4220 N. Crescent Ave, Farmington, NM 87401, USA; 
6920926	Michael_O&#x2019;Neill	Department of Plant and Environmental Sciences, Agricultural Science Center at Farmington, New Mexico State University, P.O. Box 1018, Farmington, NM 87499, USA;  (S.A.)
6920926	Shantel_Begay	Wilbur-Ellis Co., 9813 NM-Hwy 371, PO Box 5370, Farmington, NM 87401, USA; 
6920926	Komlan_Koudahe	ADA Consulting Africa, 07 BP 14284, Lom&#xE9;, Togo; 
6920926	Samuel_Allen	Department of Plant and Environmental Sciences, Agricultural Science Center at Farmington, New Mexico State University, P.O. Box 1018, Farmington, NM 87499, USA;  (S.A.)
6835940	D&#xE9;bora_G. Montezano	Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE 68583, USA
6835940	Thomas E._Hunt	Department of Entomology, University of Nebraska-Lincoln, Haskell Agricultural Laboratory, Concord, NE 68728, USA; 
6835940	Alexandre_Specht	Embrapa Cerrados, Planaltina, 73310-970 Distrito Federal, Brazil; 
6835940	Priscila M._C. Luz	Department of Entomology, University of Nebraska-Lincoln, West Central Research &amp; Extension Center, North Platte, NE 69101, USA;  (J.A.P.)
6835940	Julie A._Peterson	Department of Entomology, University of Nebraska-Lincoln, West Central Research &amp; Extension Center, North Platte, NE 69101, USA;  (J.A.P.)
6900747	D&#xE9;bora G_Montezano	Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE
