pmcid	forename_lastname	affiliation
7010136	Michael_Jeger	UNKNOWN
7010136	Claude_Bragard	UNKNOWN
7010136	David_Caffier	UNKNOWN
7010136	Thierry_Candresse	UNKNOWN
7010136	Elisavet_Chatzivassiliou	UNKNOWN
7010136	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7010136	Gianni_Gilioli	UNKNOWN
7010136	Jean&#x2010;Claude_Gregoire	UNKNOWN
7010136	Josep Anton_Jaques Miret	UNKNOWN
7010136	Maria Navajas_Navarro	UNKNOWN
7010136	Bj&#xF6;rn_Niere	UNKNOWN
7010136	Stephen_Parnell	UNKNOWN
7010136	Roel_Potting	UNKNOWN
7010136	Trond_Rafoss	UNKNOWN
7010136	Vittorio_Rossi	UNKNOWN
7010136	Gregor_Urek	UNKNOWN
7010136	Ariena_Van Bruggen	UNKNOWN
7010136	Wopke_Van der Werf	UNKNOWN
7010136	Jonathan_West	UNKNOWN
7010136	Stephan_Winter	UNKNOWN
7010136	Ciro_Gardi	UNKNOWN
7010136	Filippo_Bergeretti	UNKNOWN
7010136	Alan_MacLeod	UNKNOWN
