pmcid	forename_lastname	affiliation
7370496	Jennifer L._Morrow	grid.1029.a0000 0000 9939 5719Western Sydney University, Hawkesbury Institute for the Environment, LB 1797, Penrith, NSW 2752 Australia 
7370496	Namgay_Om	grid.1029.a0000 0000 9939 5719Western Sydney University, School of Science, LB 1797, Penrith, NSW 2752 Australia 
7370496	George A. C._Beattie	grid.1029.a0000 0000 9939 5719Western Sydney University, School of Science, LB 1797, Penrith, NSW 2752 Australia 
7370496	Grant A._Chambers	NSW Department of Primary Industries, Elizabeth Macarthur Agricultural Institute Woodbridge Rd, Menangle, NSW 2568 Australia 
7370496	Nerida J._Donovan	NSW Department of Primary Industries, Elizabeth Macarthur Agricultural Institute Woodbridge Rd, Menangle, NSW 2568 Australia 
7370496	Lia W._Liefting	grid.467701.30000 0001 0681 2788Plant Health and Environment Laboratory, Ministry for Primary Industries, P.O. Box 2095, Auckland, 1140 New Zealand 
7370496	Markus_Riegler	grid.1029.a0000 0000 9939 5719Western Sydney University, Hawkesbury Institute for the Environment, LB 1797, Penrith, NSW 2752 Australia 
7370496	Paul_Holford	grid.1029.a0000 0000 9939 5719Western Sydney University, School of Science, LB 1797, Penrith, NSW 2752 Australia 
7291171	Sabina_Avosani	DICAM Department of Civil, Environmental and Mechanical Engineering, University of Trento, 38123 Trento, Italy; 
7291171	Thomas E._Sullivan	The New Zealand Institute for Plant and Food Research Ltd., Lincoln, Christchurch PB 4704, New Zealand;  (D.M.S.)
7291171	Marco_Ciolli	DICAM Department of Civil, Environmental and Mechanical Engineering, University of Trento, 38123 Trento, Italy; 
7291171	Valerio_Mazzoni	Research and Innovation Center, Fondazione Edmund Mach, I-38010 San Michele all&#x2019;Adige, Italy; 
7291171	David Maxwell_Suckling	The New Zealand Institute for Plant and Food Research Ltd., Lincoln, Christchurch PB 4704, New Zealand;  (D.M.S.)
7098582	J. C._Sumner-Kalkun	SASA, Edinburgh, United Kingdom
7098582	M. J._Sj&#xF6;lund	SASA, Edinburgh, United Kingdom
7098582	Y. M._Arnsdorf	SASA, Edinburgh, United Kingdom
7098582	M._Carnegie	SASA, Edinburgh, United Kingdom
7098582	F._Highet	SASA, Edinburgh, United Kingdom
7098582	D._Ouvrard	Department of Life Sciences, Natural History Museum, London, United Kingdom
7098582	A. F. C._Greenslade	Rothamsted Insect Survey, Rothamsted Research, Harpenden, Hertfordshire, United Kingdom
7098582	J. R._Bell	Rothamsted Insect Survey, Rothamsted Research, Harpenden, Hertfordshire, United Kingdom
7098582	R._Sigvald	Department of Ecology, Swedish University of Agricultural Sciences, Uppsala, Sweden
7098582	D. M._Kenyon	SASA, Edinburgh, United Kingdom
7084730	Songbo_Lin	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7084730	Yanan_Dong	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7084730	Xiwang_Li	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7084730	Yuxian_Xing	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7084730	Miaomiao_Liu	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7084730	Xiaoling_Sun	Tea Research Institute, Chinese Academy of Agricultural Sciences, Hangzhou 310008, China;  (M.L.)
7074267	Enrico_Schifani	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Cristina_Castracani	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Daniele_Giannetti	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Fiorenza Augusta_Spotti	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Roberto_Reggiani	Azienda Agraria Sperimentale Stuard, Strada Madonna dell&#x2019;Aiuto, 7/a, 43126 San Pancrazio, Parma, Italy; 
7074267	Stefano_Leonardi	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Alessandra_Mori	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7074267	Donato Antonio_Grasso	Department of Chemistry, Life Sciences &amp; Environmental Sustainability, University of Parma, Parco Area delle Scienze, 11/a, 43124 Parma, Italy;  (D.A.G.)
7008834	Claude_Bragard	UNKNOWN
7008834	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7008834	Paolo_Gonthier	UNKNOWN
7008834	Josep Anton_Jaques Miret	UNKNOWN
7008834	Annemarie Fejer_Justesen	UNKNOWN
7008834	Alan_MacLeod	UNKNOWN
7008834	Christer Sven_Magnusson	UNKNOWN
7008834	Panagiotis_Milonas	UNKNOWN
7008834	Juan A._Navas&#x2010;Cortes	UNKNOWN
7008834	Stephen_Parnell	UNKNOWN
7008834	Roel_Potting	UNKNOWN
7008834	Philippe Lucien_Reignault	UNKNOWN
