pmcid	forename_lastname	affiliation
7500897	Monica K._Kansiime	CABI Africa, P.O. Box 633-00621, Nairobi, Kenya
7500897	Justice A._Tambo	CABI, Rue des Grillons 1, 2800 Del&#xE9;mont, Switzerland
7500897	Idah_Mugambi	CABI Africa, P.O. Box 633-00621, Nairobi, Kenya
7500897	Mary_Bundi	CABI Africa, P.O. Box 633-00621, Nairobi, Kenya
7500897	Augustine_Kara	Maasai Mara University, P.O. Box 861, 20500 Narok, Kenya
7500897	Charles_Owuor	Norwegian Refugee Council (NRC) Uganda, P. O. Box 23700, Kampala, Uganda
7471941	Kannan_Mohan	PG and Research Department of Zoology, Sri Vasavi College, Erode, Tamil Nadu, 638 316, India
7471941	Abirami Ramu_Ganesan	School of Applied Sciences, College of Engineering, Science and Technology (CEST), Fiji National University, 5529, Fiji
7471941	Thirunavukkarasu_Muralisankar	Aquatic Ecology Laboratory, Department of Zoology, School of Life Sciences, Bharathiar University, Coimbatore, Tamil Nadu, 641 046, India
7471941	Rajarajeswaran_Jayakumar	Department of Molecular Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, 50603, Malaysia
7471941	Palanivel_Sathishkumar	Key Laboratory of Theoretical Chemistry of Environment, Ministry of Education, School of Chemistry, South China Normal University, Guangzhou, 510006, PR China
7471941	Venkatachalam_Uthayakumar	PG and Research Department of Zoology, Sri Vasavi College, Erode, Tamil Nadu, 638 316, India
7471941	Ramachandran_Chandirasekar	PG and Research Department of Zoology, Sri Vasavi College, Erode, Tamil Nadu, 638 316, India
7471941	Nagarajan_Revathi	PG and Research Department of Zoology, Sri Vasavi College, Erode, Tamil Nadu, 638 316, India
7492552	Min_Feng	Guangdong Provincial Key Laboratory of Agro-Animal Genomics and Molecular Breeding, College of Animal Science, South China Agricultural University, Guangzhou, China
7492552	Shigang_Fei	Guangdong Provincial Key Laboratory of Agro-Animal Genomics and Molecular Breeding, College of Animal Science, South China Agricultural University, Guangzhou, China
7492552	Junming_Xia	Guangdong Provincial Key Laboratory of Agro-Animal Genomics and Molecular Breeding, College of Animal Science, South China Agricultural University, Guangzhou, China
7492552	Vassiliki_Labropoulou	Insect Molecular Genetics and Biotechnology, Institute of Biosciences and Applications, National Centre for Scientific Research Demokritos, Athens, Greece
