pmcid	forename_lastname	affiliation
7481718	Alixelhe Pacheco_Damascena	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7481718	Vanessa Rafaela_de Carvalho	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7481718	Murilo Fonseca_Ribeiro	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7481718	Andr&#xE9; Ballerini_Horta	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7481718	B&#xE1;rbara_Monteiro de Castro e Castro	Departamento de Entomologia/BIOAGRO, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, 36570-900Brazil
7481718	Ant&#xF4;nio Jos&#xE9; Vinha_Zanuncio	Departamento de Engenharia Florestal, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, 36570-900Brazil
7481718	Carlos Frederico_Wilcken	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7481718	Jos&#xE9; Cola_Zanuncio	Departamento de Entomologia/BIOAGRO, Universidade Federal de Vi&#xE7;osa, Vi&#xE7;osa, Minas Gerais, 36570-900Brazil
7481718	Silvia Renata Siciliano_Wilcken	Universidade Estadual Paulista (UNESP), Faculdade de Ci&#xEA;ncias Agron&#xF4;micas, Departamento de Prote&#xE7;&#xE3;o Vegetal, Departamento de Prote&#xE7;&#xE3;o Vegetal, 18610-034, Botucatu, S&#xE3;o Paulo, Brazil
7469172	Muhammad Asim_Rasheed	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Muhammad Musa_Khan	Key Laboratory of Bio-Pesticide Innovation and Application Guangdong Province, South China Agricultural University, Guangzhou 510642, China; 
7469172	Muhammad_Hafeez	State Key Laboratory Breeding Base for Zhejiang Sustainable Pest and Disease Control, Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou 310021, China; 
7469172	Jing_Zhao	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Yasir_Islam	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Shahzaib_Ali	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Shakeel_Ur-Rehman	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7469172	Um_e-Hani	Laboratory of Biological Control of Sustainable Pests, Department of Entomology, College of Plant Protection, China Agriculture University, Beijing 100083, China; 
7469172	Xingmiao_Zhou	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan 430070, China;  (S.U.-R.)
7377440	Gaofeng_Wang	Key Laboratory of Plant Pathology of Hubei Province, College of Plant Science &amp; Technology, Huazhong Agricultural University, Wuhan, Hubei, China
7377440	Yunhe_Wang	Key Laboratory of Plant Pathology of Hubei Province, College of Plant Science &amp; Technology, Huazhong Agricultural University, Wuhan, Hubei, China
7377440	Hazem_Abdelnabby	Key Laboratory of Plant Pathology of Hubei Province, College of Plant Science &amp; Technology, Huazhong Agricultural University, Wuhan, Hubei, China
7377440	Xueqiong_Xiao	Key Laboratory of Plant Pathology of Hubei Province, College of Plant Science &amp; Technology, Huazhong Agricultural University, Wuhan, Hubei, China
7377440	Wenkun_Huang	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Science, Beijing, China
7377440	Deliang_Peng	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Science, Beijing, China
7377440	Yannong_Xiao	Key Laboratory of Plant Pathology of Hubei Province, College of Plant Science &amp; Technology, Huazhong Agricultural University, Wuhan, Hubei, China
7387505	Patricia_Hern&#xE1;ndez-Mart&#xED;nez	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Ayda_Khorramnejad	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Katterine_Prentice	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Ascensi&#xF3;n_Andr&#xE9;s-Garrido	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Natalia Mara_Vera-Velasco	Laboratory Membrane Proteins, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Biochemistry and Molecular Biology, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Guy_Smagghe	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Baltasar_Escriche	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7366840	Ramandeep K._Sandhi	Department of Research Centers, Western Triangle Agricultural Research Center, Montana State University, 9546 Old Shelby Rd., P.O. Box 656, Conrad, MT 59425
7366840	Ratnasri_Pothula	Department of Biology, Monte L. Bean Museum, and Evolutionary Ecology Laboratories, Brigham Young University, Provo, UT 84602
7366840	Satyendra K._Pothula	Department of Biology, Monte L. Bean Museum, and Evolutionary Ecology Laboratories, Brigham Young University, Provo, UT 84602
7366840	Byron J._Adams	Department of Biology, Monte L. Bean Museum, and Evolutionary Ecology Laboratories, Brigham Young University, Provo, UT 84602
7366840	Gadi V.P._Reddy	Department of Research Centers, Western Triangle Agricultural Research Center, Montana State University, 9546 Old Shelby Rd., P.O. Box 656, Conrad, MT 59425
7366836	Chaoying_Chen	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Haikun_Ma	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Mingyang_Ma	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Jingjing_Li	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Shuyuan_Zheng	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Qifeng_Song	College of Life Sciences, Nankai University, Tianjin 30071, China
7366836	Xinghui_Gu	Yuxi Tobacco Company, Yunnan, 653100, China
7366836	David_Shapiro-Ilan	USDA-ARS, SEFTNRL, Byron, GA&#xA0;31008
7366836	Weibin_Ruan	College of Life Sciences, Nankai University, Tianjin 30071, China
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7348715	Francisco &#xC1;ngel_Bueno-Pallero	UDIT MED&#x2014;Mediterranean Institute for Agriculture, Environment and Development, P&#xF3;lo, Universidade do Algarve, Campus de Gambelas, Ed 8, 8005-139 Faro, Portugal;  (L.D.)
7348715	Rub&#xE9;n_Blanco-P&#xE9;rez	Departamento de Viticultura, Instituto de Ciencias de la Vid y del Vino (Gobierno de La Rioja, CSIC, Universidad de La Rioja), Finca La Grajera, Ctra. de Burgos Km. 6, 26007 Logro&#xF1;o, Spain;  (I.V.-D.)
7348715	Ignacio_Vicente-D&#xED;ez	Departamento de Viticultura, Instituto de Ciencias de la Vid y del Vino (Gobierno de La Rioja, CSIC, Universidad de La Rioja), Finca La Grajera, Ctra. de Burgos Km. 6, 26007 Logro&#xF1;o, Spain;  (I.V.-D.)
7348715	Jos&#xE9; Antonio_Rodr&#xED;guez Mart&#xED;n	Departamento de Medioambiente, Instituto Nacional de Investigaci&#xF3;n y Tecnolog&#xED;a Agraria y Alimentaria INIA, Ctra. de la Coru&#xF1;a, km 7.5, 28040 Madrid, Spain; 
7348715	L&#xED;dia_Dion&#xED;sio	UDIT MED&#x2014;Mediterranean Institute for Agriculture, Environment and Development, P&#xF3;lo, Universidade do Algarve, Campus de Gambelas, Ed 8, 8005-139 Faro, Portugal;  (L.D.)
7348715	Raquel_Campos-Herrera	Departamento de Viticultura, Instituto de Ciencias de la Vid y del Vino (Gobierno de La Rioja, CSIC, Universidad de La Rioja), Finca La Grajera, Ctra. de Burgos Km. 6, 26007 Logro&#xF1;o, Spain;  (I.V.-D.)
7265894	Gabriela_Lankin	Departamento de Sanidad Vegetal, Facultad de Ciencias Agron&#xF3;micas, Universidad de Chile. P.O. Box 1004, Santiago, Chile
7265894	Giselle_Vidal-Retes	Departamento de Sanidad Vegetal, Facultad de Ciencias Agron&#xF3;micas, Universidad de Chile. P.O. Box 1004, Santiago, Chile
7265894	Geraldine_Allende	Departamento de Sanidad Vegetal, Facultad de Ciencias Agron&#xF3;micas, Universidad de Chile. P.O. Box 1004, Santiago, Chile
7265894	Carlos_Castaneda-Alvarez	Departamento de Sanidad Vegetal, Facultad de Ciencias Agron&#xF3;micas, Universidad de Chile. P.O. Box 1004, Santiago, Chile
7265894	Ernesto_San-Blas	Centro de Estudios Bot&#xE1;nicos y Agroforestales, Instituto Venezolano de Investigaciones Cient&#xED;ficas, Maracaibo, Venezuela
7265894	Erwin_Aballay	Departamento de Sanidad Vegetal, Facultad de Ciencias Agron&#xF3;micas, Universidad de Chile. P.O. Box 1004, Santiago, Chile
7160172	Roy_Kirsch	1Department of EntomologyMax Planck Institute for Chemical EcologyJenaGermany
7160172	Esma_Vurmaz	1Department of EntomologyMax Planck Institute for Chemical EcologyJenaGermany
7160172	Carolin_Schaefer	1Department of EntomologyMax Planck Institute for Chemical EcologyJenaGermany
7160172	Franziska_Eberl	2Department of BiochemistryMax Planck Institute for Chemical EcologyJenaGermany
7160172	Theresa_Sporer	3Research Group Sequestration and Detoxification in InsectsMax Planck Institute for Chemical EcologyJenaGermany
7160172	Wiebke_Haeger	1Department of EntomologyMax Planck Institute for Chemical EcologyJenaGermany
7160172	Yannick_Pauchet	1Department of EntomologyMax Planck Institute for Chemical EcologyJenaGermany
7022586	Jia_Wu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, China;  (A.H.)
7022586	Huan_Xu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, China;  (A.H.)
7022586	Ali_Hassan	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, China;  (A.H.)
7022586	Qiuying_Huang	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, China;  (A.H.)
6928651	Camila C._Filgueiras	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Adalvan D._Martins	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Ramom V._Pereira	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6928651	Denis S._Willett	Department of Entomology, College of Agriculture and Life Sciences, Cornell AgriTech, Cornell University, Geneva, NY 14456, USA;  (D.S.W.)
6831680	Man P._Huynh	0000 0001 2162 3504grid.134936.aDivision of Plant Sciences, University of Missouri, Columbia, Missouri 65211 USA 
6831680	Bruce E._Hibbard	0000 0004 0404 0958grid.463419.dPlant Genetics Research Unit, USDA-Agricultural Research Service, Columbia, Missouri 65211 USA 
6831680	Michael_Vella	Frontier Scientific Services, Newark, Delaware, 19711 USA 
6831680	Stephen L._Lapointe	0000 0004 0404 0958grid.463419.dUnited States Horticultural Research Laboratory, USDA-Agricultural Research Service, Fort Pierce, Florida 34945 USA 
6831680	Randall P._Niedz	0000 0004 0404 0958grid.463419.dUnited States Horticultural Research Laboratory, USDA-Agricultural Research Service, Fort Pierce, Florida 34945 USA 
6831680	Kent S._Shelby	0000 0004 0404 0958grid.463419.dBiological Control of Insects Research Laboratory, USDA-Agricultural Research Service, Columbia, Missouri 65203 USA 
6831680	Thomas A._Coudron	0000 0004 0404 0958grid.463419.dBiological Control of Insects Research Laboratory, USDA-Agricultural Research Service, Columbia, Missouri 65203 USA 
6836108	Spiridon_Mantzoukas	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece; 
6836108	Athanasia_Zikou	Department of Agricultural Technology, Technological Institute of Western Greece, 27200 Amaliada, Greece;  (V.T.)
6836108	Vasw_Triantafillou	Department of Agricultural Technology, Technological Institute of Western Greece, 27200 Amaliada, Greece;  (V.T.)
6836108	Ioannis_Lagogiannis	Department of Pharmacy, School of Health Sciences, University of Patras, 26504 Patras, Greece; 
6836108	Panagiotis A._Eliopoulos	Department of Agriculture and Agrotechnology, University of Thessaly, 45100 Larissa, Greece; 
6794192	Hugo_Cerda	Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, Fujian, P.R.China
6794192	Carlos_Carpio	Grupo de Desarrollo para la Reducci&#xF3;n y Racionalizaci&#xF3;n de Agroqu&#xED;micos (GDETERRA), Facultad de Recursos Naturales, Escuela Superior Polit&#xE9;cnica de Chimborazo (ESPOCH), Panamericana Sur km 1 &#xBD;, Riobamba, Chimborazo, Ecuador
6794192	A Carolina_Ledezma-Carrizalez	Grupo de Biolog&#xED;a, Ecolog&#xED;a y Biodiversidad, Facultad de Ingenier&#xED;a, Universidad Nacional de Chimborazo (UNACH), Av. Antonio Jos&#xE9; de Sucre 1 1/2 km v&#xED;a a Guano, Riobamba, Chimborazo, Ecuador
6794192	Jessica_S&#xE1;nchez	Institute of Applied Ecology, Fujian Agriculture and Forestry University, Fuzhou, Fujian, P.R.China
