pmcid	forename_lastname	affiliation
7508886	Romina_Giacometti	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Vanesa_Jacobi	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Florencia_Kronberg	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Charalampos_Panagos	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Arthur S._Edison	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Jorge A._Zavala	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7416138	Laura Cristina Lima_Diniz	Center of Toxins, Immune-Response andCell Signaling &#x2013; CeTICS/CEPID, LAboratory of Applied Toxinology, Butantan Institute,S&#xE3;o Paulo, Brazil
7416138	Fl&#xE1;vio Lopes_Alves	Department of Biophysics, UNIFESP, S&#xE3;oPaulo, Brazil
7416138	Antonio_Miranda	Department of Biophysics, UNIFESP, S&#xE3;oPaulo, Brazil
7416138	Pedro Ismael_da Silva Junior	Center of Toxins, Immune-Response andCell Signaling &#x2013; CeTICS/CEPID, LAboratory of Applied Toxinology, Butantan Institute,S&#xE3;o Paulo, Brazil
7412047	Nancy_Power	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Fatemeh_Ganjisaffar	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7412047	Thomas M._Perring	Department of Entomology, University of California, 900 University Ave., Riverside, CA 92521, USA;  (T.M.P.)
7463329	Dean Robert_Brookes	1School of Biological SciencesThe University of QueenslandBrisbaneQLDAustralia
7463329	James P._Hereward	1School of Biological SciencesThe University of QueenslandBrisbaneQLDAustralia
7463329	Lewis J._Wilson	2Cotton Research UnitCSIRO Agriculture and FoodNarrabriNSWAustralia
7463329	Gimme Hugh_Walter	1School of Biological SciencesThe University of QueenslandBrisbaneQLDAustralia
7197946	Pheylan A_Anderson	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Daniela T_Pezzini	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	N&#xE1;dia M_Bueno	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Christina D_DiFonzo	Department of Entomology, Michigan State University, East Lansing, MI
7197946	Deborah L_Finke	Division of Plant Sciences, University of Missouri-Columbia, Columbia, MO
7197946	Thomas E_Hunt	Department of Entomology, University of Nebraska, Concord, NE
7197946	Janet J_Knodel	Department of Plant Pathology, North Dakota State University, Fargo, ND
7197946	Christian H_Krupke	Department of Entomology, Purdue University, West Lafayette, IN
7197946	Brian P_McCornack	Department of Entomology, Kansas State University, Manhattan, KS
7197946	Christopher R_Philips	Department of Entomology, University of Minnesota, St. Paul, MN
7197946	Adam J_Varenhorst	Department of Agronomy, Horticulture and Plant Science, South Dakota State University, Brookings, SD
7197946	Robert J_Wright	Department of Entomology, University of Nebraska-Lincoln, Lincoln, NE
7197946	Robert L_Koch	Department of Entomology, University of Minnesota, St. Paul, MN
6797616	Sijun_Liu	Department of Entomology, Iowa State University, Ames, IA, United States
6797616	Bryony C._Bonning	Department of Entomology and Nematology, University of Florida, Gainesville, FL, United States
6835606	Mary L._Cornelius	Invasive Insect Biocontrol and Behavior Lab, ARS-USDA, Beltsville Agriculture Research Center, 10300 Baltimore Ave., Bldg. 007, Beltsville, MD 20705, USA
6835606	Bryan T._Vinyard	Statistics Group, USDA Agricultural Research Service, Northeast Area Office, Beltsville, MD 20705, USA; 
6835606	Michael W._Gates	Systematic Entomology Laboratory, ARS-USDA, c/o National Museum of Natural History, Smithsonian Institution, 10th &amp; Constitution Ave. NW, MRC 168, Washington, DC 20560, USA; 
6483992	Juliano de Bastos_Pazini	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Aline Costa_Padilha	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Deise_Cagliari	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Fl&#xE1;vio Amaral_Bueno	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Matheus_Rakes	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Mois&#xE9;s Jo&#xE3;o_Zotti	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Jos&#xE9; Francisco da Silva_Martins	0000 0004 0541 873Xgrid.460200.0Brazilian Agricultural Research Corporation (Embrapa), Embrapa Temperate Agriculture. BR 392, km 79, Monte Bonito, P.O. Box 403, Postal Code 96010-971 Pelotas, Rio Grande do Sul, RS Brazil 
6483992	Anderson Dionei_Gr&#xFC;tzmacher	0000 0001 2134 6519grid.411221.5Federal University of Pelotas (UFPel), Faculty of Agronomy &#x201C;Eliseu Maciel&#x201D; (FAEM), Department of Plant Protection (DFs). Campus Universit&#xE1;rio, Eliseu Maciel Avenue, P.O. Box 354, Postal Code 96010-900 Pelotas, Rio Grande do Sul, RS Brazil 
6678072	Scott H_Graham	Department of Entomology and Plant Pathology, The University of Tennessee, Jackson, TN
6678072	Fred M_Musser	Department of Biochemistry, Molecular Biology, Entomology, and Plant Pathology, Mississippi State University, Mississippi State, MS
6678072	Alana L_Jacobson	Department of Entomology and Plant Pathology, Auburn University, Auburn, AL
6678072	Anitha_Chitturi	Department of Entomology and Plant Pathology, Auburn University, Auburn, AL
6678072	Beverly_Catchot	Department of Biochemistry, Molecular Biology, Entomology, and Plant Pathology, Mississippi State University, Mississippi State, MS
6678072	Scott D_Stewart	Department of Entomology and Plant Pathology, The University of Tennessee, Jackson, TN
6435312	Kacie J._Athey	Department of Entomology, University of Kentucky, Lexington, Kentucky, United States of America
6435312	John R._Ruberson	Department of Entomology, University of Nebraska, Lincoln, Nebraska, United States of America
6435312	Dawn M._Olson	Crop Protection and Management Research Unit, USDA-ARS, Tifton, Georgia, United States of America
6435312	James D._Harwood	College of Plant Health and Medicine, Qingdao Agricultural University, Qingdao, Shandong, China
6390097	Michael_Eisenring	0000 0004 4681 910Xgrid.417771.3Agroscope, Research Division Agroecology and Environment, Reckenholzstrasse 191, 8046 Zurich, Switzerland 
6390097	Steven E._Naranjo	0000 0004 0404 0958grid.463419.dUSDA-ARS, Arid-Land Agricultural Research Center, 21881N. Cardon Lane, Maricopa, AZ 85138 USA 
6390097	Sven_Bacher	0000 0004 0478 1713grid.8534.aUniversity of Fribourg, Fribourg, Department of Biology, Ecology &amp; Evolution, Chemin du Mus&#xE9;e 10, 1700 Fribourg, Switzerland 
6390097	Angelique_Abbott	0000 0004 0404 0958grid.463419.dUSDA-ARS, Arid-Land Agricultural Research Center, 21881N. Cardon Lane, Maricopa, AZ 85138 USA 
6390097	Michael_Meissle	0000 0004 4681 910Xgrid.417771.3Agroscope, Research Division Agroecology and Environment, Reckenholzstrasse 191, 8046 Zurich, Switzerland 
6390097	J&#xF6;rg_Romeis	0000 0004 4681 910Xgrid.417771.3Agroscope, Research Division Agroecology and Environment, Reckenholzstrasse 191, 8046 Zurich, Switzerland 
6380218	P Glynn_Tillman	Crop Protection and Management Research Laboratory, United States Department of Agriculture, Agricultural Research Service, Tifton, GA
6380218	Ted E_Cottrell	Southeastern Fruit and Tree Nut Research Laboratory, United States Department of Agriculture, Agricultural Research Service, Byron, GA
