pmcid	forename_lastname	affiliation
5799738	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Donald B._Thomas	USDA ARS, Cattle Fever Tick Research Laboratory, 22675 N Moorefield Rd, Edinburg, Texas, 78596, USA
5799738	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Aaron D._Smith	Northern Arizona University, Department of Biological Sciences, POB 5640, Flagstaff, Arizona, 86011, USA
5799738	Rolf L._Aalbu	California Academy of Sciences, Department of Entomology, 55 Music Concourse Dr, Golden Gate Park, San Francisco, California, 94118, USA
5799738	M. Andrew_Johnston	Arizona State University, School of Life Sciences, POB 874501, Tempe, Arizona, 85287, USA
5799738	Warren E. Steiner_Jr.	Smithsonian Institution, Department of Entomology, NHB 187, Washington, DC, 20013, USA
4829933	Reginald P._Webster	24 Mill Stream Drive, Charters Settlement, NB, Canada E3C 1X1      
4829930	Reginald P._Webster	24 Mill Stream Drive, Charters Settlement, NB, Canada E3C 1X1      
4829930	Vincent L._Webster	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7      
4829930	Chantelle A._Alderson	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7      
4829930	Cory C._Hughes	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7      
4829930	Jon D._Sweeney	Natural Resources Canada, Canadian Forest Service - Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7      
4414589	Christian_Nansen	Department of Entomology and Nematology, University of California Davis, Davis, California, United States of America
4414589	Leandro Prado_Ribeiro	Department of Entomology and Acarology, University of S&#xE3;o Paulo, Piracicaba, S&#xE3;o Paulo, Brazil
4414589	Ian_Dadour	Centre for Forensic Science, The University of Western Australia, Perth, Western Australia, Australia
4414589	John Dale_Roberts	School of Animal Biology and Centre for Evolutionary Biology and Centre of Excellence in Natural Resource Management, The University of Western Australia, Albany, Western Australia, Australia
3677289	Jia_Long	College of Life Sciences, Hebei University, Baoding, 071002, P. R. China
3677289	Ren_Guo-Dong	College of Life Sciences, Hebei University, Baoding, 071002, P. R. China
3677289	Yu_You-Zhi	School of Agriculture, Ningxia University, Yinchuan, 750021, P. R. China
3453504	Andre_Borges-Veloso	Laborat&#xF3;rio de Biologia Molecular e Doen&#xE7;as End&#xEA;micas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Leonardo_Saboia-Vahia	Laborat&#xF3;rio de Biologia Molecular e Doen&#xE7;as End&#xEA;micas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Patricia_Cuervo	Laborat&#xF3;rio de Pesquisa em Leishmaniose, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Renata C_Pires	Laborat&#xF3;rio de Biologia de Tripanossomat&#xED;l, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Constan&#xE7;a_Britto	Laborat&#xF3;rio de Biologia Molecular e Doen&#xE7;as End&#xEA;micas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Nilma_Fernandes	Departamento de Engenharia de Biossistemas, Universidade Federal de S&#xE3;o Jo&#xE3;o del Rei, S&#xE3;o Jo&#xE3;o del Rei, MG, Brazil
3453504	Claudia M_d&#x2019;Avila-Levy	Laborat&#xF3;rio de Biologia Molecular e Doen&#xE7;as End&#xEA;micas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
3453504	Jose B_De Jesus	Laborat&#xF3;rio de Biologia Molecular e Doen&#xE7;as End&#xEA;micas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, RJ, Brazil
