pmcid	forename_lastname	affiliation
7469204	Anna_Skourti	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nickolas G._Kavallieratos	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7469204	Nikos E._Papanikolaou	Laboratory of Agricultural Zoology and Entomology, Department of Crop Science, Agricultural University of Athens, 75 Iera Odos str., 11855 Athens, Attica, Greece;  (N.E.P.)
7442752	Mahmoud S._Abdel-Dayem	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7442752	Usama M. Abu_El-Ghiet	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Tarek M._Elsheikh	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Ali A._Elgharbawy	Zoology Department, Faculty of Science, Al-Azhar University, Cairo, EgyptAl-Azhar UniversityCairoEgypt
7442752	Zarrag I.A._Al-Fifi	Biology Department, Faculty of Science, Jazan University, Jazan, Saudi ArabiaJazan UniversityJazanSaudi Arabia
7442752	Hathal M._Aldhafer	King Saud University Museum of Arthropods (KSMA), Plant Protection Department, College of Food and Agricultural Sciences, King Saud University, Riyadh, 11451, Saudi ArabiaKing Saud University Museum of ArthropodsRiyadhSaudi Arabia
7404779	Akinbode A._Adedeji	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Nader_Ekramirad	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ahmed_Rady	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Ali_Hamidisepehr	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404779	Kevin D._Donohue	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Raul T._Villanueva	Department of Entomology, University of Kentucky, Princeton, KY 42445-0469, USA; 
7404779	Chadwick A._Parrish	Department of Electrical and Computer Engineering, University of Kentucky, Lexington, KY 40506, USA;  (C.A.P.)
7404779	Mengxing_Li	Department of Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY 40546, USA;  (M.L.)
7404982	Mikel_Dom&#xED;nguez-Arrizabalaga	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Maite_Villanueva	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7404982	Baltasar_Escriche	Departamento de Gen&#xE9;tica/ERI BioTecMed, Universitat de Val&#xE8;ncia, Burjassot, 46100 Val&#xE8;ncia, Spain; 
7404982	Carmen_Anc&#xED;n-Azpilicueta	Departamento de Ciencias, Universidad P&#xFA;blica de Navarra, 31006 Pamplona, Spain; 
7404982	Primitivo_Caballero	Institute for Multidisciplinary Research in Applied Biology-IMAB, Universidad P&#xFA;blica de Navarra, 31192 Mutilva, Navarra, Spain;  (M.V.)
7349354	Angelica_Plata-Rueda	Department of Entomology, Federal University of Vi&#xE7;osa, Vi&#xE7;osa, MG 36570-000, Brazil;  (J.C.Z.)
7349354	Gabriela Da Silva_Rolim	Department of Crop Science, Federal University of Vi&#xE7;osa, Vi&#xE7;osa, MG 36570-000, Brazil; 
7349354	Carlos Frederico_Wilcken	Department of Plant Protection, Paulista State University, Botucatu, SP 18603-970, Brazil; 
7349354	Jos&#xE9; Cola_Zanuncio	Department of Entomology, Federal University of Vi&#xE7;osa, Vi&#xE7;osa, MG 36570-000, Brazil;  (J.C.Z.)
7349354	Jos&#xE9; Eduardo_Serr&#xE3;o	Department of General Biology, Federal University of Vi&#xE7;osa, Vi&#xE7;osa, MG 36570-000, Brazil; 
7349354	Luis Carlos_Mart&#xED;nez	Department of General Biology, Federal University of Vi&#xE7;osa, Vi&#xE7;osa, MG 36570-000, Brazil; 
