pmcid	forename_lastname	affiliation
7465331	M. Marcela_Orozco	Instituto de Ecolog&#xED;a, Gen&#xE9;tica y Evoluci&#xF3;n de Buenos Aires, IEGEBA-CONICET, Intendente G&#xFC;iraldes 2160, Ciudad Universitaria, C1428EGA Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Hern&#xE1;n D._Argibay	Instituto de Ecolog&#xED;a, Gen&#xE9;tica y Evoluci&#xF3;n de Buenos Aires, IEGEBA-CONICET, Intendente G&#xFC;iraldes 2160, Ciudad Universitaria, C1428EGA Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Leonardo_Minatel	grid.7345.50000 0001 0056 1981C&#xE1;tedra de Patolog&#xED;a, Facultad de Ciencias Veterinarias, Universidad de Buenos Aires, Av. San Mart&#xED;n 5285, C1217DSM Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Eliana C._Guillemi	grid.419231.c0000 0001 2167 7174Instituto de Biotecnolog&#xED;a-IABiMo, Instituto Nacional de Tecnolog&#xED;a Agropecuaria (INTA- CONICET), Las Caba&#xF1;as y Los Reseros s/n, B1712WAA Castelar, Argentina 
7465331	Yanina_Berra	grid.7345.50000 0001 0056 1981&#xC1;rea Salud P&#xFA;blica, Facultad de Ciencias Veterinarias, Universidad de Buenos Aires, Av. Chorroar&#xED;n 280, C1427CW Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Andrea_Schapira	grid.7345.50000 0001 0056 1981C&#xE1;tedra de Patolog&#xED;a, Facultad de Ciencias Veterinarias, Universidad de Buenos Aires, Av. San Mart&#xED;n 5285, C1217DSM Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Dante_Di Nucci	grid.7345.50000 0001 0056 1981Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires, Intendente G&#xFC;iraldes 2160, Ciudad Universitaria, C1428EGA Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Andrea_Marcos	grid.507490.fServicio Nacional de Sanidad y Calidad Agroalimentaria (SENASA), Av. Paseo Col&#xF3;n 367, C1063ACD Ciudad Aut&#xF3;noma de Buenos Aires, Argentina 
7465331	Fernanda_Lois	Fundaci&#xF3;n Temaik&#xE8;n, Ruta Provincial 25, B1625 Bel&#xE9;n de Escobar, Buenos Aires, Argentina 
7465331	Mart&#xED;n_Falzone	Fundaci&#xF3;n Temaik&#xE8;n, Ruta Provincial 25, B1625 Bel&#xE9;n de Escobar, Buenos Aires, Argentina 
7465331	Marisa D._Farber	grid.419231.c0000 0001 2167 7174Instituto de Biotecnolog&#xED;a-IABiMo, Instituto Nacional de Tecnolog&#xED;a Agropecuaria (INTA- CONICET), Las Caba&#xF1;as y Los Reseros s/n, B1712WAA Castelar, Argentina 
7458302	Joseph Wang&#x2019;ang&#x2019;a_Oundo	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Jandouwe_Villinger	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Maamun_Jeneby	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	George_Ong&#x2019;amo	School of Biological Sciences, University of Nairobi, Nairobi, Kenya
7458302	Moses Yongo_Otiende	Forensic and Genetics Laboratory, Kenya Wildlife Service, Nairobi, Kenya
7458302	Edward Edmond_Makhulu	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Ali Abdulahi_Musa	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Daniel Obado_Ouso	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7458302	Lillian_Wambua	International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya
7453536	Esther G._Kanduma	grid.10604.330000 0001 2019 0495Present Address: Department of Biochemistry, School of Medicine, University of Nairobi, P.O. Box 30197-00100, Nairobi, Kenya 
7453536	David_Emery	grid.1013.30000 0004 1936 834XSydney School of Veterinary Science (SSVS), University of Sydney, Sydney, NSWs Australia 
7453536	Naftaly W._Githaka	grid.419369.0International Livestock Research Institute (ILRI), P.O. Box 30709-00100, Nairobi, Kenya 
7453536	Edward K._Nguu	grid.10604.330000 0001 2019 0495Present Address: Department of Biochemistry, School of Medicine, University of Nairobi, P.O. Box 30197-00100, Nairobi, Kenya 
7453536	Richard P._Bishop	grid.30064.310000 0001 2157 6568Department of Veterinary Microbiology and Pathology, Washington State University, Pullman, USA 
7453536	Jan_&#x160;lapeta	grid.1013.30000 0004 1936 834XSydney School of Veterinary Science (SSVS), University of Sydney, Sydney, NSWs Australia 
7474386	Joseph_Byaruhanga	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Fred_Odua	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Yvette_Ssebunya	Division of Veterinary Regulation and Inspection, Department of Animal Health, Ministry of Agriculture, Animal Industry and Fisheries, Entebbe, Uganda
7474386	Olivia_Aketch	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Dickson Stuart_Tayebwa	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7474386	Innocent B._Rwego	One Health Division, Department of Veterinary Population Medicine, College of Veterinary Medicine, St. Paul, Falcon Heights, MN 55108, USA
7474386	Patrick_Vudriko	Research Center for Tropical Diseases and Vector Control, Department of Veterinary Pharmacy, Clinics and Comparative Medicine, School of Veterinary Medicine and Animal Resources, College of Veterinary Medicine, Animal Resources and Biosecurity, Makerere University, Kampala, Uganda
7445909	ThankGod E._Onyiche	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
7445909	Cristian_R&#x103;ileanu	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
7445909	Oliver_Tauchmann	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
7445909	Susanne_Fischer	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
7445909	Ana_Vasi&#x107;	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
7445909	Mandy_Sch&#xE4;fer	grid.417834.dInstitute of Infectology, Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, S&#xFC;dufer 10, 17493 Greifswald-Insel Riems, Germany 
