pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7240479	David_Renault	Universit&#xE9; de Rennes 1, CNRS, ECOBIO (Ecosyst&#xE8;mes, Biodiversit&#xE9;, &#xC9;volution) UMR 6553, F-35000 Rennes, France; ; Tel.: +33-(0)2-2323-6627
6947457	Ana_Pa&#xE7;o	MED-Mediterranean Institute for Agriculture, Environment and Development, University of &#xC9;vora, 7002&#x2013;554 &#xC9;vora, Portugal; 
6947457	Renata_Freitas	IBMC-Institute for Molecular and Cell Biology, University of Porto, R. Campo Alegre 823, 4150&#x2013;180 Porto, Portugal; 
6947457	Ana_Vieira-da-Silva	MED-Mediterranean Institute for Agriculture, Environment and Development, University of &#xC9;vora, 7002&#x2013;554 &#xC9;vora, Portugal; 
6780895	Pablo_Mora	Department of Experimental Biology, Genetic Area, University of Ja&#xE9;n, 23071 Ja&#xE9;n, Spain;  (T.P.)
6780895	Jes&#xFA;s_Vela	Department of Experimental Biology, Genetic Area, University of Ja&#xE9;n, 23071 Ja&#xE9;n, Spain;  (T.P.)
6780895	Areli_Ruiz-Mena	Department of Experimental Biology, Genetic Area, University of Ja&#xE9;n, 23071 Ja&#xE9;n, Spain;  (T.P.)
6780895	Teresa_Palomeque	Department of Experimental Biology, Genetic Area, University of Ja&#xE9;n, 23071 Ja&#xE9;n, Spain;  (T.P.)
6780895	Pedro_Lorite	Department of Experimental Biology, Genetic Area, University of Ja&#xE9;n, 23071 Ja&#xE9;n, Spain;  (T.P.)
6455084	Stefan_Pentzold	Max Planck Institute for Chemical Ecology, Jena, Germany
6455084	Fr&#xE9;d&#xE9;ric_Marion-Poll	UMR Evolution, G&#xE9;nomes, Comportement, Ecologie, CNRS, IRD, Univ Paris-Sud, Universit&#xE9; Paris-Saclay, Gif-sur-Yvette, France
6455084	Veit_Grabe	Max Planck Institute for Chemical Ecology, Jena, Germany
6455084	Antje_Burse	Max Planck Institute for Chemical Ecology, Jena, Germany
6458359	Matthew_Sasaki	Department of Marine Sciences, University of Connecticut, Groton, CT, USA
6458359	Sydney_Hedberg	Gustavus Adolphus College, St Peter, MN 56082, USA
6458359	Kailin_Richardson	Savannah State University, Savannah, GA 31404, USA
6458359	Hans G._Dam	Department of Marine Sciences, University of Connecticut, Groton, CT, USA
6426864	Sh&#xFB;hei_Yamamoto	0000 0001 0476 8496grid.299784.9Integrative Research Center, Field Museum of Natural History, 1400S Lake Shore Drive, Chicago, IL 60605-2496 USA 
5799738	Yves_Bousquet	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Donald B._Thomas	USDA ARS, Cattle Fever Tick Research Laboratory, 22675 N Moorefield Rd, Edinburg, Texas, 78596, USA
5799738	Patrice_Bouchard	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Ottawa, Ontario, K1A 0C6, Canada
5799738	Aaron D._Smith	Northern Arizona University, Department of Biological Sciences, POB 5640, Flagstaff, Arizona, 86011, USA
5799738	Rolf L._Aalbu	California Academy of Sciences, Department of Entomology, 55 Music Concourse Dr, Golden Gate Park, San Francisco, California, 94118, USA
5799738	M. Andrew_Johnston	Arizona State University, School of Life Sciences, POB 874501, Tempe, Arizona, 85287, USA
5799738	Warren E. Steiner_Jr.	Smithsonian Institution, Department of Entomology, NHB 187, Washington, DC, 20013, USA
5767042	Octavio M._Palacios-Gimenez	0000 0001 2188 478Xgrid.410543.7Departamento de Biologia, UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Rio Claro, S&#xE3;o Paulo 13506-900 Brazil 
5767042	Diogo_Milani	0000 0001 2188 478Xgrid.410543.7Departamento de Biologia, UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Rio Claro, S&#xE3;o Paulo 13506-900 Brazil 
5767042	Bernardo_Lemos	000000041936754Xgrid.38142.3cProgram in Molecular and Integrative Physiological Sciences, Department of Environmental Health, Harvard University T. H. Chan School of Public Health, Boston, Massachusetts 02115 USA 
5767042	Elio R._Castillo	IBS - UNaM &#x2013; CONICET, Posadas, Misiones Argentina 
5767042	Dardo A._Mart&#xED;	IBS - UNaM &#x2013; CONICET, Posadas, Misiones Argentina 
5767042	Erica_Ramos	0000 0001 2188 478Xgrid.410543.7Departamento de Morfologia, UNESP &#x2013; Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Botucatu, S&#xE3;o Paulo Brazil 
5767042	Cesar_Martins	0000 0001 2188 478Xgrid.410543.7Departamento de Morfologia, UNESP &#x2013; Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Botucatu, S&#xE3;o Paulo Brazil 
5767042	Diogo C._Cabral-de-Mello	0000 0001 2188 478Xgrid.410543.7Departamento de Biologia, UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Rio Claro, S&#xE3;o Paulo 13506-900 Brazil 
5844308	Josip_Brajkovi&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5844308	&#x17D;eljka_Pezer	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5844308	Branka_Bruvo-Ma&#x111;ari&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5844308	Antonio_Sermek	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5844308	Isidoro_Feliciello	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5844308	&#x110;ur&#x111;ica_Ugarkovi&#x107;	Department of Molecular Biology, Ru&#x111;er Bo&#x161;kovi&#x107; Institute, HR-10000 Zagreb, Croatia
5847043	Jakub_Gocza&#x142;	0000 0001 2150 7124grid.410701.3Institute of Forest Ecosystem Protection, Faculty of Forestry, University of Agriculture in Krakow, 29 Listopada 46, 31-425, Krakow, Poland 
5847043	Robert_Rossa	0000 0001 2150 7124grid.410701.3Institute of Forest Ecosystem Protection, Faculty of Forestry, University of Agriculture in Krakow, 29 Listopada 46, 31-425, Krakow, Poland 
5847043	Adam_Tofilski	0000 0001 2150 7124grid.410701.3Department of Pomology and Apiculture, Faculty of Biotechnology and Horticulture, University of Agriculture in Krakow, 29 Listopada 54, 31-425 Krakow, Poland 
5775491	Tania_Zaviezo	1Facultad Agronom&#xED;a e Ingenier&#xED;a ForestalPontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
5775491	Romina_Retamal	1Facultad Agronom&#xED;a e Ingenier&#xED;a ForestalPontificia Universidad Cat&#xF3;lica de ChileSantiagoChile
5775491	Teddy_Urvois	2ISAINRA, CNRS, Universit&#xE9; C&#xF4;te d'AzurSophia&#x2010;AntipolisFrance
5775491	Xavier_Fauvergue	2ISAINRA, CNRS, Universit&#xE9; C&#xF4;te d'AzurSophia&#x2010;AntipolisFrance
5775491	Aur&#xE9;lie_Blin	2ISAINRA, CNRS, Universit&#xE9; C&#xF4;te d'AzurSophia&#x2010;AntipolisFrance
5775491	Thibaut_Malausa	2ISAINRA, CNRS, Universit&#xE9; C&#xF4;te d'AzurSophia&#x2010;AntipolisFrance
5638539	Tomoyuki_Takada	        Graduate School of Bio-Applications and Systems Engineering, Tokyo University of Agriculture and Technology, Koganei, Tokyo, Japan      
5638539	Ryoichi_Sato	        Graduate School of Bio-Applications and Systems Engineering, Tokyo University of Agriculture and Technology, Koganei, Tokyo, Japan      
5638539	Shingo_Kikuta	        Graduate School of Bio-Applications and Systems Engineering, Tokyo University of Agriculture and Technology, Koganei, Tokyo, Japan      
5527012	Octavio Manuel_Palacios-Gimenez	0000 0001 2188 478Xgrid.410543.7UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Departamento de Biologia, Rio Claro, S&#xE3;o Paulo Brazil 
5527012	Guilherme Borges_Dias	0000 0001 2181 4888grid.8430.fDepartamento de Biologia Geral, Universidade Federal de Minas Gerais, Belo Horizonte, MG Brazil 
5527012	Leonardo Gomes_de Lima	0000 0001 2181 4888grid.8430.fDepartamento de Biologia Geral, Universidade Federal de Minas Gerais, Belo Horizonte, MG Brazil 
5527012	Gustavo Campos e Silva_Kuhn	0000 0001 2181 4888grid.8430.fDepartamento de Biologia Geral, Universidade Federal de Minas Gerais, Belo Horizonte, MG Brazil 
5527012	&#xC9;rica_Ramos	0000 0001 2188 478Xgrid.410543.7UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Departamento de Morfologia, Botucatu, S&#xE3;o Paulo Brazil 
5527012	Cesar_Martins	0000 0001 2188 478Xgrid.410543.7UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Departamento de Morfologia, Botucatu, S&#xE3;o Paulo Brazil 
5527012	Diogo Cavalcanti_Cabral-de-Mello	0000 0001 2188 478Xgrid.410543.7UNESP - Univ Estadual Paulista, Instituto de Bioci&#xEA;ncias/IB, Departamento de Biologia, Rio Claro, S&#xE3;o Paulo Brazil 
5511699	Mar&#xED;a_Botella-Cruz	Department of Ecology and Hydrology, University of Murcia, Spain
5511699	Adri&#xE1;n_Villastrigo	Institute of Evolutionary Biology (CSIC-Universitat Pompeu Fabra), Barcelona, Spain
5511699	Susana_Pallar&#xE9;s	Department of Ecology and Hydrology, University of Murcia, Spain
5511699	Elena_L&#xF3;pez-Gallego	Instituto Murciano de Investigaci&#xF3;n y Desarrollo Agrario y Alimentario (IMIDA), Murcia, Spain
5511699	Andr&#xE9;s_Mill&#xE1;n	Department of Ecology and Hydrology, University of Murcia, Spain
5511699	Josefa_Velasco	Department of Ecology and Hydrology, University of Murcia, Spain
5067906	Stefan_Dippel	Department of Developmental Biology, G&#xF6;ttingen Center for Molecular Biosciences (GZMB), Georg-August-University Goettingen, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, Ernst-Caspari-Haus, Justus-von-Liebig-Weg 11, 37077 G&#xF6;ttingen, Germany 
5067906	Martin_Kollmann	Department of Biology &#x2013; Neurobiology/Ethology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Georg_Oberhofer	Department of Evolutionary Developmental Genetics, GZMB, Ernst-Caspari-Haus, Georg-August-University Goettingen, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, Justus-von-Liebig-Weg 11, 37077 G&#xF6;ttingen, Germany 
5067906	Alice_Montino	Department of Developmental Biology, G&#xF6;ttingen Center for Molecular Biosciences (GZMB), Georg-August-University Goettingen, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, Ernst-Caspari-Haus, Justus-von-Liebig-Weg 11, 37077 G&#xF6;ttingen, Germany 
5067906	Carolin_Knoll	Department of Biology &#x2013; Neurobiology/Ethology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Milosz_Krala	Department of Biology &#x2013; Neurobiology/Ethology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Karl-Heinz_Rexer	Department of Biology &#x2013; Mycology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Sergius_Frank	Department of Biology &#x2013; Neurobiology/Ethology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Robert_Kumpf	Department of Plant Systems Biology, Flanders Institute for Biotechnology, Technologiepark 927, 9052 Gent, Belgium 
5067906	Joachim_Schachtner	Department of Biology &#x2013; Neurobiology/Ethology, Philipps-University Marburg, Karl-von-Frisch-Str. 8, 35032 Marburg, Germany 
5067906	Ernst A._Wimmer	Department of Developmental Biology, G&#xF6;ttingen Center for Molecular Biosciences (GZMB), Georg-August-University Goettingen, Johann-Friedrich-Blumenbach-Institute of Zoology and Anthropology, Ernst-Caspari-Haus, Justus-von-Liebig-Weg 11, 37077 G&#xF6;ttingen, Germany 
5737470	Ines_Vlahovi&#x107;	Faculty of Science, University of Zagreb, Zagreb, Croatia
5737470	Matko_Glun&#x10D;i&#x107;	Faculty of Science, University of Zagreb, Zagreb, Croatia
5737470	Marija_Rosandi&#x107;	Croatian Academy of Sciences and Arts, Zagreb, Croatia
5737470	&#x110;ur&#x111;ica_Ugarkovi&#x107;	Institute Ru&#x111;er Bo&#x161;kovi&#x107;, Zagreb, Croatia
5737470	Vladimir_Paar	Faculty of Science, University of Zagreb, Zagreb, Croatia
4926120	Tao_Zhang	College of Plant Protection, China Agricultural University, Beijing 100193, China
4926120	Yi-Jiao_Wang	College of Plant Protection, China Agricultural University, Beijing 100193, China
4926120	Wei_Guo	Chinese Academy of Inspection and Quarantine, Beijing 100176, China
4926120	Dan_Luo	College of Plant Protection, China Agricultural University, Beijing 100193, China
4926120	Yi_Wu	Academy of State Administration of Grain, Beijing 100037, China
4926120	Zuzana_Ku&#x10D;erov&#xE1;	Crop Research Institute, Drnovsk&#xE1; 507, 161 06 Prague 6, Czech Republic
4926120	V&#xE1;clav_Stejskal	Crop Research Institute, Drnovsk&#xE1; 507, 161 06 Prague 6, Czech Republic
4926120	George_Opit	Department of Entomology and Plant Pathology, 127 Noble Research Center, Oklahoma State University, Stillwater, OK 74078, USA
4926120	Yang_Cao	Academy of State Administration of Grain, Beijing 100037, China
4926120	Fu-Jun_Li	Academy of State Administration of Grain, Beijing 100037, China
4926120	Zhi-Hong_Li	College of Plant Protection, China Agricultural University, Beijing 100193, China
