pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7391587	Runlei_Chang	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7391587	Tuan A._Duong	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7391587	Stephen J._Taerum	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7391587	Michael J._Wingfield	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7391587	XuDong_Zhou	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7391587	Z. Wilhelm_de Beer	grid.49697.350000 0001 2107 2298Department of Biochemistry, Genetics &amp; Microbiology, Forestry and Agricultural Biotechnology Institute (FABI), University of Pretoria, Pretoria, 0002 South Africa 
7174603	Dong-Zhen_Li	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7174603	Xiao-Feng_Huang	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7174603	Rui-Nan_Yang	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7174603	Jing-Yuan_Chen	Hubei Academy of Forestry, Wuhan, China
7174603	Man-Qun_Wang	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University, Wuhan, China
7082121	Zishu_Dong	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7082121	Yubin_Yang	Texas A&amp;M AgriLife Research Center, Beaumont, TX
7082121	Fugen_Dou	Texas A&amp;M AgriLife Research Center, Beaumont, TX
7082121	Yujing_Zhang	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7082121	Huixin_Huang	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7082121	Xialin_Zheng	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7082121	Xiaoyun_Wang	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7082121	Wen_Lu	Guangxi Key Laboratory of Agric-Environment and Agric-Products Safety, College of Agriculture, Guangxi University, Nanning, Peoples R China
7008830	Claude_Bragard	UNKNOWN
7008830	Katharina_Dehnen&#x2010;Schmutz	UNKNOWN
7008830	Francesco_Di Serio	UNKNOWN
7008830	Paolo_Gonthier	UNKNOWN
7008830	Marie&#x2010;Agn&#xE8;s_Jacques	UNKNOWN
7008830	Josep Anton_Jaques Miret	UNKNOWN
7008830	Annemarie Fejer_Justesen	UNKNOWN
7008830	Alan_MacLeod	UNKNOWN
7008830	Christer Sven_Magnusson	UNKNOWN
7008830	Panagiotis_Milonas	UNKNOWN
7008830	Juan A_Navas&#x2010;Cort&#xE9;s	UNKNOWN
7008830	Stephen_Parnell	UNKNOWN
7008830	Roel_Potting	UNKNOWN
7008830	Philippe Lucien_Reignault	UNKNOWN
7008830	Wopke_Van der Werf	UNKNOWN
7008830	Antonio Vicent_Civera	UNKNOWN
7008830	Jonathan_Yuen	UNKNOWN
7008830	Lucia_Zappal&#xE0;	UNKNOWN
7008830	Hugh_Evans	UNKNOWN
7008830	Andrea_Maiorano	UNKNOWN
7008830	Hans&#x2010;Hermann_Thulke	UNKNOWN
6925271	Alenka_&#x17D;uni&#x10D;-Kosi	0000 0004 0637 0790grid.419523.8National Institute of Biology, Department of Organisms and Ecosystem Research, Ljubljana, Slovenia 
6925271	Nata&#x161;a_Stritih-Peljhan	0000 0004 0637 0790grid.419523.8National Institute of Biology, Department of Organisms and Ecosystem Research, Ljubljana, Slovenia 
6925271	Yunfan_Zou	University of California, Department of Entomology, Riverside, California, United States of America 
6925271	J. Steven_McElfresh	University of California, Department of Entomology, Riverside, California, United States of America 
6925271	Jocelyn G._Millar	University of California, Department of Entomology, Riverside, California, United States of America 
6920869	Lidia_Sukovata	Department of Forest Protection, Forest Research Institute, 3, Braci Le&#x15B;nej St., S&#x119;kocin Stary, 05-090 Raszyn, Poland; ; Tel.: +48-22-715-3832
6835760	Peter_Silk	Natural Resources Canada, Canadian Forest Service&#x2014;Atlantic Forestry Centre, 1350 Regent Street, Fredericton, NB E3B 5P7, Canada
6835760	Peter_Mayo	Natural Resources Canada, Canadian Forest Service&#x2014;Atlantic Forestry Centre, 1350 Regent Street, Fredericton, NB E3B 5P7, Canada
6835760	Krista_Ryall	Natural Resources Canada, Canadian Forest Service&#x2014;Great Lakes Forestry Centre, 1219 Queen Street East, Sault Ste. Marie, ON P6A 2E5, Canada
6835760	Lucas_Roscoe	Natural Resources Canada, Canadian Forest Service&#x2014;Atlantic Forestry Centre, 1350 Regent Street, Fredericton, NB E3B 5P7, Canada
6780930	Giacinto S._Germinara	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia (FG), Italy
6780930	Marco_Pistillo	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia (FG), Italy
6780930	Raffaele_Griffo	Plant Protection Service of Campania Region, Centro Direzionale, Isola A6, 80124 Naples, Italy
6780930	Antonio P._Garonna	Department of Agriculture, University of Naples Federico II, Via Universit&#xE0; 100, 80055 Portici, Italy
6780930	Antonella_Di Palma	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia (FG), Italy
6684524	Liang Ming_Cao	The Key Laboratory of Forest Protection, State Forestry and Grassland Administration of China, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, ChinaResearch Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6684524	Yan Long_Zhang	The Key Laboratory of Forest Protection, State Forestry and Grassland Administration of China, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, ChinaResearch Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6684524	Cornelis_van Achterberg	Institute of Insect Sciences, Zhejiang University, Hangzhou 310058, ChinaZhejiang UniversityHangzhouChina
6684524	Zhi Yong_Wang	Leshan Normal University, Leshan, 614000, ChinaLeshan Normal UniversityLeshanChina
6684524	Xiao Yi_Wang	The Key Laboratory of Forest Protection, State Forestry and Grassland Administration of China, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, ChinaResearch Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6684524	Wen Xia_Zhao	The Key Laboratory of Forest Protection, State Forestry and Grassland Administration of China, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, ChinaResearch Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6684524	Zhong Qi_Yang	The Key Laboratory of Forest Protection, State Forestry and Grassland Administration of China, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, ChinaResearch Institute of Forest Ecology, Environment and Protection, Chinese Academy of ForestryBeijingChina
6523346	Haohao_Zhang	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523346	Chunsheng_Hou	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523346	Pingli_Dai	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523346	Yongjun_Liu	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523346	Yanyan_Wu	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523346	Yonggang_Pang	Beijing Blooming Bio-tech Co., Ltd., Beijing 100079, China; 
6523346	Qingyun_Diao	Key Laboratory of Pollinating Insect Biology, Institute of Apicultural Research, Chinese Academy of Agricultural Sciences, Beijing 100093, China;  (Y.W.)
6523298	Antonella_Di Palma	Department of the Science of Agriculture Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia, Italy;  (G.S.G.)
6523298	Marco_Pistillo	Department of the Science of Agriculture Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia, Italy;  (G.S.G.)
6523298	Raffaele_Griffo	Plant Protection Service of Campania Region, Centro Direzionale, Isola A6, 80124 Naples, Italy; 
6523298	Antonio P._Garonna	Department of Agriculture, University of Naples Federico II, Via Universit&#xE0; 100, 80055 Portici, Italy; 
6523298	Giacinto S._Germinara	Department of the Science of Agriculture Food and Environment, University of Foggia, Via Napoli 25, 71100 Foggia, Italy;  (G.S.G.)
6463110	&#xC9;milie D._Tremblay	Canadian Food Inspection Agency, 3851 Fallowfield Road, Nepean, ON K2H 8P9, Canada; 
6463110	Troy_Kimoto	Canadian Food Inspection Agency, 4321 Still Creek Dr, Burnaby, BC V5C 6S7, Canada; 
6463110	Jean A._B&#xE9;rub&#xE9;	Natural Resources Canada, Laurentian Forestry Centre, 1055 Du P.E.P.S. Street, P.O. Box 10380 Qu&#xE9;bec, QC G1V 4C7, Canada; 
6463110	Guillaume J._Bilodeau	Canadian Food Inspection Agency, 3851 Fallowfield Road, Nepean, ON K2H 8P9, Canada; 
6182259	HuiMin_Wang	Key Laboratory of Forest Protection State Forestry Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, China
6182259	YingYing_Lun	Key Laboratory of Forest Protection State Forestry Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, China
6182259	Quan_Lu	Key Laboratory of Forest Protection State Forestry Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, China
6182259	HuiXiang_Liu	College of Plant Protection of Shandong Agricultural University, Taian 271018, China
6182259	Cony_Decock	Mycoth&#xE8;que de l&#x2019;Universit&#xE9; Catholique de Louvain (MUCL), Earth and Life Institute, Microbiology, B-1348 Louvain-la-Neuve, Belgium
6182259	XingYao_Zhang	Key Laboratory of Forest Protection State Forestry Administration, Research Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing 100091, China
6062566	Christian_H&#xE9;bert	Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, 1055 du P.E.P.S., P.O. Box 10380, Stn. Sainte-Foy, G1V 4C7, Qu&#xE9;bec City, Canada
6062566	Serge_Laplante	Canadian National Collection of Insects, Arachnids and Nematodes, Agriculture and Agri-Food Canada, Central Experimental Farm, KW Neatby Bldg., 960 Carling Ave., K1A 0C6, Ottawa, Canada
6062566	Mario_Fr&#xE9;chette	Minist&#xE8;re de l'Agriculture, des P&#xEA;cheries et de l'Alimentation du Qu&#xE9;bec, Collection d'insectes du Qu&#xE9;bec, Complexe scientifique, 2700 rue Einstein, bur. D2.370A, G1P 3W8, Qu&#xE9;bec City, Canada
6062566	Luc_Jobin	Natural Resources Canada, Canadian Forest Service, Laurentian Forestry Centre, 1055 du P.E.P.S., P.O. Box 10380, Stn. Sainte-Foy, G1V 4C7, Qu&#xE9;bec City, Canada
6023466	V&#xED;ctor_Sarto i Monteys	Institut de Ci&#xE8;ncia i Tecnologia Ambientals (ICTA), Entomology, Plants and Health, Edifici Z&#x2013;ICTA-ICP Campus de Bellaterra, Universitat Aut&#xF2;noma de Barcelona, 08193 Bellaterra, Spain
6023466	Gl&#xF2;ria_Torras i Tutusaus	Ajuntament de Barber&#xE0; del Vall&#xE8;s, Serveis Territorials, Parcs i Jardins. Circumval&#xB7;laci&#xF3;, 14, 08210 Barber&#xE0; del Vall&#xE8;s, Spain; 
6044403	Amanda D_Roe	Great Lakes Forestry Centre, Canadian Forest Service, Natural Resources Canada, Sault Ste. Marie, Canada
6044403	Misha_Demidovich	Great Lakes Forestry Centre, Canadian Forest Service, Natural Resources Canada, Sault Ste. Marie, Canada
6044403	John_Dedes	Great Lakes Forestry Centre, Canadian Forest Service, Natural Resources Canada, Sault Ste. Marie, Canada
6023372	Satoshi_Kiriyama	Laboratory of Forest Zoology, Department of Forest Science and Resources, College of Bioresource Sciences, Nihon University, Fujisawa, Kanagawa 252-0880, Japan;  (Y.Y.)
6023372	Ry&#xFB;tar&#xF4;_Iwata	Laboratory of Forest Zoology, Department of Forest Science and Resources, College of Bioresource Sciences, Nihon University, Fujisawa, Kanagawa 252-0880, Japan;  (Y.Y.)
6023372	Midori_Fukaya	Laboratory of Forest Zoology, Department of Forest Science and Resources, College of Bioresource Sciences, Nihon University, Fujisawa, Kanagawa 252-0880, Japan;  (Y.Y.)
6023372	Youtaro_Hoshino	Laboratory of Forest Zoology, Department of Forest Science and Resources, College of Bioresource Sciences, Nihon University, Fujisawa, Kanagawa 252-0880, Japan;  (Y.Y.)
