pmcid	forename_lastname	affiliation
7452910	Leonid V._Egorov	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Alexander B._Ruchin	The State Nature Reserve &#xAB;Prisursky&#xBB;, Lesnoj, 9, 428034 Cheboksary, Russia
7452910	Viktor B._Semenov	UNKNOWN
7452910	Oleg I._Semionenkov	National Park &#xAB;Smolensk Lakeland&#xBB;, Gurevich str., 19, Przhevalskoye, Demidov district, 216270 Smolensk region, Russia
7452910	Gennady B._Semishin	Joint Directorate of the Mordovia State Nature Reserve and National Park &#xAB;Smolny&#xBB;, Krasnaya str., 30, 430005 Saransk, Russia
7469160	Yun-Heng_Lu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Carol-P_Wu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Cheng-Kang_Tang	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Yu-Hsien_Lin	Department of Plant Physiology, Swammerdam Institute for Life Sciences, University of Amsterdam, 1098 XH Amsterdam, The Netherlands; 
7469160	Houda Ouns_Maaroufi	Biology Centre of the Czech Academy of Science, Institute of Entomology, 37005 Ceske Budejovice, Czech Republic; 
7469160	Yi-Chi_Chuang	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7469160	Yueh-Lung_Wu	Department of Entomology, National Taiwan University, Taipei 106, Taiwan;  (Y.-C.C.)
7465044	Gianluca_Paventi	Department of Medicine and Health Sciences &#x201C;V. Tiberio&#x201D;, University of Molise, via de Sanctis, 86100 Campobasso, Italy
7465044	Laura_de Acutis	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Antonio_De Cristofaro	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7465044	Marco_Pistillo	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giacinto S._Germinara	Department of the Sciences of Agriculture, Food and Environment, University of Foggia, Via Napoli 25, 71122 Foggia, Italy; 
7465044	Giuseppe_Rotundo	Department of Agricultural, Environmental and Food Sciences, University of Molise, via de Sanctis, 86100 Campobasso, Italy;  (A.D.C.)
7381663	Catriona H._Edwards	0000 0004 1936 7291grid.7107.1School of Biological Sciences, University of Aberdeen, Aberdeen, UK 
7381663	Craig R._Christie	0000 0004 1936 7291grid.7107.1School of Biological Sciences, University of Aberdeen, Aberdeen, UK 
7381663	Andrea_Masotti	0000 0001 0727 6809grid.414125.7Research Laboratories, Bambino Ges&#xF9; Children&#x2019;s Hospital, Rome, Italy 
7381663	Antonella_Celluzzi	0000 0001 0727 6809grid.414125.7Research Laboratories, Bambino Ges&#xF9; Children&#x2019;s Hospital, Rome, Italy 
7381663	Andrea_Caporali	0000 0004 1936 7988grid.4305.2Centre for Cardiovascular Science, University of Edinburgh, Edinburgh, UK 
7381663	Ewan M._Campbell	0000 0004 1936 7291grid.7107.1Centre for Genome Enabled Biology and Medicine, University of Aberdeen, 23 St. Machar Drive, Aberdeen, AB24 3RY UK 
7376646	Claude_Rispe	grid.418682.10000 0001 2175 3974BIOEPAR, INRAE, Oniris, Nantes, France 
7376646	Fabrice_Legeai	grid.462490.d0000 0004 0556 944XBIPAA, IGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes 1, 35650 Le Rheu, France 
7376646	Paul D._Nabity	grid.266097.c0000 0001 2222 1582Department of Botany and Plant Sciences, University of California, Riverside, USA 
7376646	Rosa_Fern&#xE1;ndez	grid.473715.3Bioinformatics and Genomics Unit, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology, Dr. Aiguader, 88, 08003 Barcelona, Spain 
7376646	Arinder K._Arora	grid.5386.8000000041936877XDepartment of Entomology, Cornell University, Ithaca, NY 14853 USA 
7376646	Patrice_Baa-Puyoulet	grid.464147.4Univ Lyon, INSA-Lyon, INRAE, BF2I, UMR0203, F-69621, Villeurbanne, France 
7376646	Celeste R._Banfill	grid.26790.3a0000 0004 1936 8606Department of Biology, University of Miami, Coral Gables, FL 33146 USA 
7376646	Leticia_Bao	Facultad de Agronom&#xED;a, Montevideo, Uruguay 
7376646	Miquel_Barber&#xE0;	grid.459872.5Institut de Biologia Integrativa de Sistemes, Parc Cientific Universitat de Valencia, C/ Catedr&#xE1;tico Jos&#xE9; Beltr&#xE1;n n&#xB0; 2, 46980 Paterna, Val&#xE8;ncia Spain 
7376646	Maryem_Bouall&#xE8;gue	grid.12574.350000000122959819Universit&#xE9; de Tunis El Manar, Facult&#xE9; des Sciences de Tunis, LR01ES05 Biochimie et Biotechnologie, 2092 Tunis, Tunisia 
7376646	Anthony_Bretaudeau	grid.462490.d0000 0004 0556 944XBIPAA, IGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes 1, 35650 Le Rheu, France 
7376646	Jennifer A._Brisson	grid.16416.340000 0004 1936 9174Department Biol, Univ Rochester, Rochester, NY 14627 USA 
7376646	Federica_Calevro	grid.464147.4Univ Lyon, INSA-Lyon, INRAE, BF2I, UMR0203, F-69621, Villeurbanne, France 
7376646	Pierre_Capy	grid.460789.40000 0004 4910 6535Laboratoire Evolution, G&#xE9;nomes, Comportement, Ecologie CNRS, Univ. Paris-Sud, IRD, Universit&#xE9; Paris-Saclay, Gif-sur-Yvette, France 
7376646	Olivier_Catrice	grid.462754.60000 0004 0622 905XLIPM, Universit&#xE9; de Toulouse, INRAE, CNRS, Castanet-Tolosan, France 
7376646	Thomas_Chertemps	Sorbonne Universit&#xE9;, UPEC, Universit&#xE9; Paris 7, INRAE, CNRS, IRD, Institute of Ecology and Environmental Sciences, Paris, France 
7376646	Carole_Couture	SAVE, INRAE, Bordeaux Sciences Agro, Villenave d&#x2019;Ornon, France 
7376646	Laurent_Deli&#xE8;re	SAVE, INRAE, Bordeaux Sciences Agro, Villenave d&#x2019;Ornon, France 
7376646	Angela E._Douglas	grid.5386.8000000041936877XDepartment of Entomology, Cornell University, Ithaca, NY 14853 USA 
7376646	Keith_Dufault-Thompson	grid.20431.340000 0004 0416 2242Department of Cell and Molecular Biology, College of the Environment and Life Sciences, University of Rhode Island, Kingston, RI USA 
7376646	Paula_Escuer	grid.5841.80000 0004 1937 0247Departament de Gen&#xE8;tica, Microbiologia i Estad&#xED;stica and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, 08028 Barcelona, Spain 
7376646	Honglin_Feng	grid.26790.3a0000 0004 1936 8606Department of Biology, University of Miami, Coral Gables, USA 
7376646	Astrid_Forneck	grid.5173.00000 0001 2298 5320Universit&#xE4;t f&#xFC;r Bodenkultur (BOKU), Vienna, Austria 
7376646	Toni_Gabald&#xF3;n	grid.473715.3Bioinformatics and Genomics Unit, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology, Dr. Aiguader, 88, 08003 Barcelona, Spain 
7376646	Roderic_Guig&#xF3;	grid.473715.3Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain 
7376646	Fr&#xE9;d&#xE9;rique_Hilliou	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, Institut Sophia Agrobiotech, Sophia-Antipolis, France 
7376646	Silvia_Hinojosa-Alvarez	grid.5841.80000 0004 1937 0247Departament de Gen&#xE8;tica, Microbiologia i Estad&#xED;stica and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, 08028 Barcelona, Spain 
7376646	Yi-min_Hsiao	grid.19188.390000 0004 0546 0241Institute of Biotechnology and Department of Entomology, College of Bioresources and Agriculture, National Taiwan University, Taipei, Taiwan 
7376646	Sylvie_Hudaverdian	grid.410368.80000 0001 2191 9284IGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes 1, 35650 Le Rheu, France 
7376646	Emmanuelle_Jacquin-Joly	grid.507621.7INRAE, Institute of Ecology and Environmental Sciences, Versailles, France 
7376646	Edward B._James	grid.26790.3a0000 0004 1936 8606Department of Biology, University of Miami, Coral Gables, FL 33146 USA 
7376646	Spencer_Johnston	grid.264756.40000 0004 4687 2082Department of Entomology, Texas A&amp;M University, College Station, TX 77843 USA 
7376646	Benjamin_Joubard	SAVE, INRAE, Bordeaux Sciences Agro, Villenave d&#x2019;Ornon, France 
7376646	Ga&#xEB;lle_Le Goff	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, Institut Sophia Agrobiotech, Sophia-Antipolis, France 
7376646	Ga&#xEB;l_Le Trionnaire	grid.410368.80000 0001 2191 9284IGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes 1, 35650 Le Rheu, France 
7376646	Pablo_Librado	grid.15781.3a0000 0001 0723 035XLaboratoire d&#x2019;Anthropobiologie Mol&#xE9;culaire et d&#x2019;Imagerie de Synth&#xE8;se, CNRS UMR 5288, Universit&#xE9; de Toulouse, Universit&#xE9; Paul Sabatier, Toulouse, France 
7376646	Shanlin_Liu	grid.21155.320000 0001 2034 1839China National GeneBank-Shenzhen, BGI-Shenzhen, Shenzhen, 518083 Guangdong Province People&#x2019;s Republic of China 
7376646	Eric_Lombaert	grid.4444.00000 0001 2112 9282Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, ISA, Sophia Antipolis, France 
7376646	Hsiao-ling_Lu	grid.445026.1Department of Post-Modern Agriculture, MingDao University, Changhua, Taiwan 
7376646	Martine_Ma&#xEF;b&#xE8;che	Sorbonne Universit&#xE9;, UPEC, Universit&#xE9; Paris 7, INRAE, CNRS, IRD, Institute of Ecology and Environmental Sciences, Paris, France 
7376646	Mohamed_Makni	grid.12574.350000000122959819Universit&#xE9; de Tunis El Manar, Facult&#xE9; des Sciences de Tunis, LR01ES05 Biochimie et Biotechnologie, 2092 Tunis, Tunisia 
7376646	Marina_Marcet-Houben	grid.473715.3Bioinformatics and Genomics Unit, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology, Dr. Aiguader, 88, 08003 Barcelona, Spain 
7376646	David_Mart&#xED;nez-Torres	grid.459872.5Institut de Biologia Integrativa de Sistemes, Parc Cientific Universitat de Valencia, C/ Catedr&#xE1;tico Jos&#xE9; Beltr&#xE1;n n&#xB0; 2, 46980 Paterna, Val&#xE8;ncia Spain 
7376646	Camille_Meslin	grid.507621.7INRAE, Institute of Ecology and Environmental Sciences, Versailles, France 
7376646	Nicolas_Montagn&#xE9;	grid.462844.80000 0001 2308 1657Sorbonne Universit&#xE9;, Institute of Ecology and Environmental Sciences, Paris, France 
7376646	Nancy A._Moran	grid.89336.370000 0004 1936 9924Department of Integrative Biology, University of Texas at Austin, Austin, USA 
7376646	Daciana_Papura	SAVE, INRAE, Bordeaux Sciences Agro, Villenave d&#x2019;Ornon, France 
7376646	Nicolas_Parisot	grid.464147.4Univ Lyon, INSA-Lyon, INRAE, BF2I, UMR0203, F-69621, Villeurbanne, France 
7376646	Yvan_Rahb&#xE9;	grid.7849.20000 0001 2150 7757Univ Lyon, INRAE, INSA-Lyon, CNRS, UCBL, UMR5240 MAP, F-69622 Villeurbanne, France 
7376646	M&#xE9;lanie Ribeiro_Lopes	grid.464147.4Univ Lyon, INSA-Lyon, INRAE, BF2I, UMR0203, F-69621, Villeurbanne, France 
7376646	Aida_Ripoll-Cladellas	grid.473715.3Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain 
7376646	St&#xE9;phanie_Robin	grid.410368.80000 0001 2191 9284BIPAA IGEPP, Agrocampus Ouest, INRAE, Universit&#xE9; de Rennes 1, 35650 Le Rheu, France 
7376646	C&#xE9;line_Roques	Plateforme G&#xE9;nomique GeT-PlaGe, Centre INRAE de Toulouse Midi-Pyr&#xE9;n&#xE9;es, 24 Chemin de Borde Rouge, Auzeville, CS 52627, 31326 Castanet-Tolosan Cedex, France 
7376646	Pascale_Roux	SAVE, INRAE, Bordeaux Sciences Agro, Villenave d&#x2019;Ornon, France 
7376646	Julio_Rozas	grid.5841.80000 0004 1937 0247Departament de Gen&#xE8;tica, Microbiologia i Estad&#xED;stica and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, 08028 Barcelona, Spain 
7376646	Alejandro_S&#xE1;nchez-Gracia	grid.5841.80000 0004 1937 0247Departament de Gen&#xE8;tica, Microbiologia i Estad&#xED;stica and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, 08028 Barcelona, Spain 
7376646	Jose F._S&#xE1;nchez-Herrero	grid.5841.80000 0004 1937 0247Departament de Gen&#xE8;tica, Microbiologia i Estad&#xED;stica and Institut de Recerca de la Biodiversitat (IRBio), Universitat de Barcelona, 08028 Barcelona, Spain 
7376646	Didac_Santesmasses	grid.473715.3Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology, Barcelona, Spain 
7376646	Iris_Scatoni	Facultad de Agrono&#xED;a, Montevideo, Uruguay 
7376646	R&#xE9;my-F&#xE9;lix_Serre	Plateforme G&#xE9;nomique GeT-PlaGe, Centre INRAE de Toulouse Midi-Pyr&#xE9;n&#xE9;es, 24 Chemin de Borde Rouge, Auzeville, CS 52627, 31326 Castanet-Tolosan Cedex, France 
7376646	Ming_Tang	grid.22935.3f0000 0004 0530 8290Department of Entomology, College of Plant Protection, China Agricultural University, Beijing, 100193 People&#x2019;s Republic of China 
7376646	Wenhua_Tian	grid.266097.c0000 0001 2222 1582Department of Botany and Plant Sciences, University of California, Riverside, USA 
7376646	Paul A._Umina	grid.1008.90000 0001 2179 088XSchool of BioSciences, The University of Melbourne, Parkville, VIC Australia 
7376646	Manuella_van Munster	grid.121334.60000 0001 2097 0141BGPI, Universit&#xE9; Montpellier, CIRAD, INRAE, Montpellier SupAgro, Montpellier, France 
7376646	Carole_Vincent-Mon&#xE9;gat	grid.464147.4Univ Lyon, INSA-Lyon, INRAE, BF2I, UMR0203, F-69621, Villeurbanne, France 
7376646	Joshua_Wemmer	grid.266097.c0000 0001 2222 1582Department of Botany and Plant Sciences, University of California, Riverside, USA 
