pmcid	forename_lastname	affiliation
7482974	Hongmei_Huang	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Lu_Ren	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Huijing_Li	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Axel_Schmidt	Department of Biochemistry, Max Planck Institute for Chemical Ecology, Jena, Germany
7482974	Jonathan_Gershenzon	Department of Biochemistry, Max Planck Institute for Chemical Ecology, Jena, Germany
7482974	Yongyue_Lu	Department of Entomology, South China Agricultural University, Guangzhou, China
7482974	Daifeng_Cheng	Department of Entomology, South China Agricultural University, Guangzhou, China
7472703	Guanfeng_Xu	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Yangqin_Yi	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Hao_Lyu	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Chengcheng_Gong	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Qili_Feng	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Qisheng_Song	grid.134936.a0000 0001 2162 3504Division of Plant Sciences, College of Agriculture, Food and Natural Resources, University of Missouri, Columbia, MO 65211 USA 
7472703	Xuezhen_Peng	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Lin_Liu	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7472703	Sichun_Zheng	grid.263785.d0000 0004 0368 7397Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, 510631 China 
7504193	Yen-Yue_Lin	Department of Emergency Medicine, Taoyuan Armed Forces General Hospital, Taoyuan City 325, Taiwan; 
7504193	Chih-Chien_Chiu	Division of Infectious Disease and Tropical Medicine, Department of Internal Medicine, Taoyuan Armed Forces General Hospital, Taoyuan City 325, Taiwan; 
