pmcid	forename_lastname	affiliation
7374393	Maria_Anastassiadou	UNKNOWN
7374393	Giovanni_Bernasconi	UNKNOWN
7374393	Alba_Brancato	UNKNOWN
7374393	Luis_Carrasco Cabrera	UNKNOWN
7374393	Lucien_Ferreira	UNKNOWN
7374393	Luna_Greco	UNKNOWN
7374393	Samira_Jarrah	UNKNOWN
7374393	Aija_Kazocina	UNKNOWN
7374393	Renata_Leuschner	UNKNOWN
7374393	Jose Oriol_Magrans	UNKNOWN
7374393	Ileana_Miron	UNKNOWN
7374393	Stefanie_Nave	UNKNOWN
7374393	Ragnor_Pedersen	UNKNOWN
7374393	Hermine_Reich	UNKNOWN
7374393	Alejandro_Rojas	UNKNOWN
7374393	Angela_Sacchi	UNKNOWN
7374393	Miguel_Santos	UNKNOWN
7374393	Alois_Stanek	UNKNOWN
7374393	Anne_Theobald	UNKNOWN
7374393	Benedicte_Vagenende	UNKNOWN
7374393	Alessia_Verani	UNKNOWN
7109147	Peter_Huemer	Naturwissenschaftliche Sammlungen, Tiroler Landesmuseen Betriebsges.m.b.H., Innsbruck, AustriaNaturwissenschaftliche SammlungenInnsbruckAustria
7109147	Ole_Karsholt	Zoological Museum, Natural History Museum of Denmark, Universitetsparken 15, DK-2100 Copenhagen, DenmarkZoological Museum, Natural History Museum of DenmarkCo&#xAD;penhagenDenmark
7197265	Cornelis_van Achterberg	State Key Laboratory of Rice Biology, Ministry of Agriculture Key Lab of Agricultural Biology of Crop Pathogens and Insects, and Institute of Insect Sciences, Zhejiang University, Hangzhou 310058, ChinaZhejiang UniversityHangzhouChina
7197265	Mark R._Shaw	Honorary Research Associate, National Museums of Scotland, Chambers Street, Edinburgh EH1 1JF, Scotland, UKNational Museums of ScotlandEdinburghUnited Kingdom
7197265	Donald L.J._Quicke	Department of Biology, Faculty of Life Sciences, Chulalongkorn University, Bangkok, ThailandChulalongkorn UniversityBangkokThailand
6835568	Giovanni_Benelli	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy; 
6835568	Andrea_Lucchi	Department of Agriculture, Food and Environment, University of Pisa, via del Borghetto 80, 56124 Pisa, Italy; 
6835568	Donald_Thomson	Pacific Biocontrol Corporation, 14615 NE 13th Court Suite A Vancouver, WA 98685, USA; 
6835568	Claudio_Ioriatti	Technological Transfer Centre and Research and Innovation Centre, Fondazione Edmund Mach (FEM), via E. Mach 1, 38010 San Michele all&#x2019;Adige (TN), Italy; 
7009229	Maria_Anastassiadou	UNKNOWN
7009229	Alba_Brancato	UNKNOWN
7009229	Luis_Carrasco Cabrera	UNKNOWN
7009229	Lucien_Ferreira	UNKNOWN
7009229	Luna_Greco	UNKNOWN
7009229	Samira_Jarrah	UNKNOWN
7009229	Aija_Kazocina	UNKNOWN
7009229	Renata_Leuschner	UNKNOWN
7009229	Jose Oriol_Magrans	UNKNOWN
7009229	Ileana_Miron	UNKNOWN
7009229	Stefanie_Nave	UNKNOWN
7009229	Ragnor_Pedersen	UNKNOWN
7009229	Marianna_Raczyk	UNKNOWN
7009229	Hermine_Reich	UNKNOWN
7009229	Alejandro_Rojas	UNKNOWN
7009229	Silvia_Ruocco	UNKNOWN
7009229	Angela_Sacchi	UNKNOWN
7009229	Miguel_Santos	UNKNOWN
7009229	Alois_Stanek	UNKNOWN
7009229	Anne_Theobald	UNKNOWN
7009229	Benedicte_Vagenende	UNKNOWN
7009229	Alessia_Verani	UNKNOWN
6628405	Tessa R._Grasswitz	Sierra Biological, 2825 Swett Road, Lyndonville, NY 14098, USA; 
7009264	Maria_Anastassiadou	UNKNOWN
7009264	Alba_Brancato	UNKNOWN
7009264	Luis_Carrasco Cabrera	UNKNOWN
7009264	Lucien_Ferreira	UNKNOWN
7009264	Luna_Greco	UNKNOWN
7009264	Samira_Jarrah	UNKNOWN
7009264	Aija_Kazocina	UNKNOWN
7009264	Renata_Leuschner	UNKNOWN
7009264	Jose Oriol_Magrans	UNKNOWN
7009264	Ileana_Miron	UNKNOWN
7009264	Ragnor_Pedersen	UNKNOWN
7009264	Marianna_Raczyk	UNKNOWN
7009264	Hermine_Reich	UNKNOWN
7009264	Silvia_Ruocco	UNKNOWN
7009264	Angela_Sacchi	UNKNOWN
7009264	Miguel_Santos	UNKNOWN
7009264	Alois_Stanek	UNKNOWN
7009264	Jose_Tarazona	UNKNOWN
7009264	Anne_Theobald	UNKNOWN
7009264	Alessia_Verani	UNKNOWN
6359038	Andrea_Wade	Department of Biochemistry and Molecular Biology, College of Wooster, Wooster, OH 44691, USA;  (E.R.R.)
6359038	Chia-Hua_Lin	Department of Entomology, The Ohio State University, Columbus, OH 43210, USA; 
6359038	Colin_Kurkul	Department of Microbiology, The Ohio State University, Columbus, OH 43210, USA; 
6359038	Erzs&#xE9;bet Ravasz_Regan	Department of Biochemistry and Molecular Biology, College of Wooster, Wooster, OH 44691, USA;  (E.R.R.)
6359038	Reed M._Johnson	Department of Entomology, The Ohio State University, Wooster, OH 44691, USA
6107112	Souvic_Sarker	Department of Plant Medicals, Andong National University, Andong, Republic of Korea
6107112	Un Taek_Lim	Department of Plant Medicals, Andong National University, Andong, Republic of Korea
6060087	Petros T._Damos	Laboratory of Applied Zoology and Parasitology, Department of Crop Production (Field Crops and Ecology, Horticulture and Viticulture and Plant Protection), Faculty of Agriculture, Forestry and Natural Environment, Aristotle University of Thessaloniki, University Campus, 541 24, Thessaloniki, Greece
7010035	Alba_Brancato	UNKNOWN
7010035	Daniela_Brocca	UNKNOWN
7010035	Chloe_De Lentdecker	UNKNOWN
7010035	Zoltan_Erdos	UNKNOWN
7010035	Lucien_Ferreira	UNKNOWN
7010035	Luna_Greco	UNKNOWN
7010035	Samira_Jarrah	UNKNOWN
7010035	Dimitra_Kardassi	UNKNOWN
7010035	Renata_Leuschner	UNKNOWN
7010035	Christopher_Lythgo	UNKNOWN
7010035	Paula_Medina	UNKNOWN
7010035	Ileana_Miron	UNKNOWN
7010035	Tunde_Molnar	UNKNOWN
7010035	Alexandre_Nougadere	UNKNOWN
7010035	Ragnor_Pedersen	UNKNOWN
7010035	Hermine_Reich	UNKNOWN
7010035	Angela_Sacchi	UNKNOWN
7010035	Miguel_Santos	UNKNOWN
7010035	Alois_Stanek	UNKNOWN
7010035	Juergen_Sturma	UNKNOWN
7010035	Jose_Tarazona	UNKNOWN
7010035	Anne_Theobald	UNKNOWN
7010035	Benedicte_Vagenende	UNKNOWN
7010035	Alessia_Verani	UNKNOWN
7010035	Laura_Villamar&#x2010;Bouza	UNKNOWN
5378441	Kyung San_Choi	Research Institute of Climate Change and Agriculture, National Institute of Horticultural and Herbal Science, Rural Development Administration, Jeju 63240, Korea
5378441	Francisco_del Toro	Biological Research Center, Spanish Council for Scientific Research (CIB-CSIC), Madrid 28040, Spain
5378441	Francisco_Tenllado	Biological Research Center, Spanish Council for Scientific Research (CIB-CSIC), Madrid 28040, Spain
5378441	Tomas_Canto	Biological Research Center, Spanish Council for Scientific Research (CIB-CSIC), Madrid 28040, Spain
5378441	Bong Nam_Chung	Research Institute of Climate Change and Agriculture, National Institute of Horticultural and Herbal Science, Rural Development Administration, Jeju 63240, Korea
5240572	Min_Ma	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, Hubei Province, People&#x2019;s Republic of China
5240572	Meng-Meng_Chang	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, Hubei Province, People&#x2019;s Republic of China
5240572	Yan_Lu	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, Hubei Province, People&#x2019;s Republic of China
5240572	Chao-Liang_Lei	Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, Huazhong Agricultural University, Wuhan 430070, Hubei Province, People&#x2019;s Republic of China
