pmcid	forename_lastname	affiliation
6737090	Alexander M._Gaffke	0000 0001 2156 6108grid.41891.35Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT 59717 USA 
6737090	Sharlene E._Sing	0000 0001 2286 5230grid.497401.fUSDA Forest Service, Rocky Mountain Research Station, Bozeman, MT 59717 USA 
6737090	Tom L._Dudley	0000 0004 1936 9676grid.133342.4Marine Science Institute, University of California, Santa Barbara, CA 93106 USA 
6737090	Daniel W._Bean	Colorado Department of Agriculture, Palisade Insectary, Palisade, CO 81526 USA 
6737090	Justin A._Russak	0000 0004 1936 9676grid.133342.4Department of Chemistry and Biochemistry, University of California Santa Barbara, Santa Barbara, CA 93106 USA 
6737090	Agenor_Mafra-Neto	0000 0004 4655 6020grid.420431.0ISCA Technologies, Inc., Riverside, CA 92507 USA 
6737090	Robert K. D._Peterson	0000 0001 2156 6108grid.41891.35Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT 59717 USA 
6737090	David K._Weaver	0000 0001 2156 6108grid.41891.35Department of Land Resources and Environmental Sciences, Montana State University, Bozeman, MT 59717 USA 
6715869	A. R._Stahlke	Institute for Bioinformatics and Evolutionary Studies, University of Idaho, Moscow, Idaho, USA        
6715869	A. Z._Ozsoy	Department of Biological Sciences, Colorado Mesa University, Grand Junction, Colorado, USA        
6715869	D. W._Bean	Colorado Department of Agriculture, Palisade, Colorado, USA        
6715869	P. A._Hohenlohe	Institute for Bioinformatics and Evolutionary Studies, University of Idaho, Moscow, Idaho, USA        
6415723	Hongfei_Zhang	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Xiaohui_Teng	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Qianwen_Luo	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Ziyao_Sheng	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Xianru_Guo	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Gaoping_Wang	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Weizheng_Li	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
6415723	Guohui_Yuan	Department of Entomology, College of Plant Protection, Henan Agricultural University, Zhengzhou, Henan Province, China
5969109	Alexander M_Gaffke	1Department of Land Resources and Environmental SciencesMontana State UniversityBozemanMTUSA
5969109	Sharlene E_Sing	2USDA Forest ServiceRocky Mountain Research StationBozemanMTUSA
5969109	Tom L_Dudley	3Marine Science InstituteUniversity of CaliforniaSanta BarbaraCAUSA
5969109	Daniel W_Bean	4Colorado Department of AgriculturePalisade InsectaryPalisadeCOUSA
5969109	Justin A_Russak	5Department of Chemistry and BiochemistryUniversity of California Santa BarbaraSanta BarbaraCAUSA
5969109	Agenor_Mafra&#x2010;Neto	6ISCA Technologies Inc.RiversideCAUSA
5969109	Paul A_Grieco	7Department of Chemistry and BiochemistryMontana State UniversityBozemanMTUSA
5969109	Robert KD_Peterson	1Department of Land Resources and Environmental SciencesMontana State UniversityBozemanMTUSA
5969109	David K_Weaver	1Department of Land Resources and Environmental SciencesMontana State UniversityBozemanMTUSA
5579018	Zhicheng_Chen	0000 0001 2104 9346grid.216566.0Institute of New Forestry Technology, Chinese Academy of Forestry, Beijing, 100091 China 
5579018	Lin_Wang	0000 0004 1798 1300grid.412545.3College of Forestry, Shanxi Agricultural University, Taigu, 030800 China 
5579018	Yongxin_Dai	0000 0001 2104 9346grid.216566.0Institute of New Forestry Technology, Chinese Academy of Forestry, Beijing, 100091 China 
5579018	Xianchong_Wan	0000 0001 2104 9346grid.216566.0Institute of New Forestry Technology, Chinese Academy of Forestry, Beijing, 100091 China 
5579018	Shirong_Liu	0000 0001 2104 9346grid.216566.0Laboratory of Forest Ecology and Environment of State Forestry Administration, Institute of Forest Ecology, Environment and Protection, Chinese Academy of Forestry, Beijing, 100091 China 
5570027	Randall W._Long	Department of Ecology, Evolution and Marine Biology, University of California-Santa Barbara, Bldg 520, RM 4001, Fl 4L, Santa Barbara, CA 93106, USA
5570027	Susan E._Bush	School of Forestry, Northern Arizona University, S San Francisco St, Flagstaff, AZ 86011, USA
5570027	Kevin C._Grady	School of Forestry, Northern Arizona University, S San Francisco St, Flagstaff, AZ 86011, USA
5570027	David S._Smith	Keck Science Department, Claremont McKenna, Pitzer and Scripps Colleges, 925 N. Mills Ave, Claremont, CA 91711, USA
5570027	Daniel L._Potts	Biology Department, SUNY Buffalo State, 1300 Elmwood Ave, Buffalo, NY 14222, USA
