pmcid	forename_lastname	affiliation
7518888	J Dylan_Shropshire	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7518888	Brittany_Leigh	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7518888	Seth R_Bordenstein	Department of Biological Sciences, Vanderbilt University          Nashville          United States        
7511323	Cong-ning_Nie	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Yuan_Gao	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Xiao_Du	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Jin-lin_Bian	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Hui_Li	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Xiang_Zhang	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Cong-ming_Wang	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7511323	Shun-yu_Li	grid.80510.3c0000 0001 0185 3134Sichuan Agricultural University, No. 211 Huimin Road, Wenjiang District, Chengdu, 610000 Sichuan China 
7492740	Charlotte B._Francoeur	Department of Bacteriology, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7492740	Lily_Khadempour	Department of Bacteriology, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7492740	Rolando D._Moreira-Soto	Secci&#xF3;n de Entomolog&#xED;a Medica, Departamento de Parasitolog&#xED;a, Facultad de Microbiolog&#xED;a, Universidad de Costa Rica, San Jos&#xE9;, Costa Rica        
7492740	Kirsten_Gotting	Department of Bacteriology, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7492740	Adam J._Book	Department of Bacteriology, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7492740	Adri&#xE1;n A._Pinto-Tom&#xE1;s	Centro de Investigaci&#xF3;n en Estructuras Microsc&#xF3;picas, Universidad de Costa Rica, San Jos&#xE9;, Costa Rica        
7492740	Ken_Keefover-Ring	Departments of Botany and Geography, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7492740	Cameron R._Currie	Department of Bacteriology, University of Wisconsin&#x2014;Madison, Madison, Wisconsin, USA        
7489515	Farman_Ullah	Department of Entomology, China Agricultural University, Beijing, China
7489515	Hina_Gul	Department of Entomology, China Agricultural University, Beijing, China
7489515	Kaleem_Tariq	Department of Agriculture Entomology, Abdul Wali Khan University Mardan, Khyber Pakhtunkhwa, Pakistan
7489515	Nicolas_Desneux	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, UMR ISA, Nice, France
7489515	Xiwu_Gao	Department of Entomology, China Agricultural University, Beijing, China
7489515	Dunlun_Song	Department of Entomology, China Agricultural University, Beijing, China
7490381	Suk-Ling_Wee	grid.412113.40000 0004 1937 1557Department of Biological Sciences and Biotechnology, Faculty of Science and Technology, Universiti Kebangsaan Malaysia, 43600 Bangi, Selangor Malaysia 
7490381	Anthony R._Clarke	grid.1024.70000000089150953School of Biology and Environmental Science, Queensland University of Technology (QUT), GPO Box 2434, Brisbane, Qld 4001 Australia 
7485775	Federico_Ronchetti	Department of Animal Ecology and Tropical Biology, University of Wuerzburg, W&#xFC;rzburg, Germany
7485775	Carlo_Polidori	Instituto de Ciencias Ambientales (ICAM), Universidad de Castilla-La Mancha, Toledo, Spain
7488135	Zhaoyang_Tang	grid.420221.70000 0004 0403 8399Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, Vienna International Centre, P.O. Box 100, 1400 Vienna, Austria 
7488135	Hanano_Yamada	grid.420221.70000 0004 0403 8399Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, Vienna International Centre, P.O. Box 100, 1400 Vienna, Austria 
7488135	Carina_Kraupa	grid.420221.70000 0004 0403 8399Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, Vienna International Centre, P.O. Box 100, 1400 Vienna, Austria 
7488135	Sumejja_Canic	grid.420221.70000 0004 0403 8399Insect Pest Control Laboratory, Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture, Vienna International Centre, P.O. Box 100, 1400 Vienna, Austria 
7488135	N&#xFA;ria_Busquets	grid.7080.fIRTA, Centre de Recerca en Sanitat Animal (CReSA, IRTA-UAB), Campus de la Universitat Aut&#xF2;noma de Barcelona, 08193 Bellaterra, Spain 
7488135	Sandra_Talavera	grid.7080.fIRTA, Centre de Recerca en Sanitat Animal (CReSA, IRTA-UAB), Campus de la Universitat Aut&#xF2;noma de Barcelona, 08193 Bellaterra, Spain 
7488135	Davy_Jiolle	grid.4399.70000000122879528UMR MIVEGEC (IRD 224-CNRS 5290-UM), Maladies Infectieuses et Vecteurs: Ecologie G&#xE9;n&#xE9;tique, Evolution et Contr&#xF4;le, Institut de Recherche pour le D&#xE9;veloppement (IRD), Montpellier, France 
