pmcid	forename_lastname	affiliation
7504193	Yen-Yue_Lin	Department of Emergency Medicine, Taoyuan Armed Forces General Hospital, Taoyuan City 325, Taiwan; 
7504193	Chih-Chien_Chiu	Division of Infectious Disease and Tropical Medicine, Department of Internal Medicine, Taoyuan Armed Forces General Hospital, Taoyuan City 325, Taiwan; 
7504193	Hsin-An_Chang	Department of Psychiatry, Tri-Service General Hospital, National Defense Medical Center, Taipei 114, Taiwan; 
7504193	Yung-Hsi_Kao	Department of Life Sciences, National Central University, Taoyuan City 320, Taiwan; 
7504193	Po-Jen_Hsiao	Department of Life Sciences, National Central University, Taoyuan City 320, Taiwan; 
7504193	Chih-Pin_Chuu	Institute of Cellular and System Medicine, National Health Research Institutes, Miaoli County 350, Taiwan
7433766	R A_Kucuk	Clemson University, Poole Agricultural Center, Clemson, SC
7386586	Ohseok_Kwon	School of Applied Biosciences, College of Agriculture and Life Sciences, Kyungpook National University, Daegu, Republic of Korea
7386586	Moon Bo_Choi	School of Applied Biosciences, College of Agriculture and Life Sciences, Kyungpook National University, Daegu, Republic of Korea
7347709	Simon_Blank	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Murilo Luiz_Bazon	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Johannes_Grosch	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	Carsten B._Schmidt-Weber	grid.6936.a0000000123222966Center of Allergy and Environment (ZAUM), School of Medicine and Helmholtz Center Munich, German Research Center for Environmental Health, Member of the German Center of Lung Research (DZL), Technical University of Munich, Ingolst&#xE4;dter Landstra&#xDF;e 1, 85764 Munich, Germany 
7347709	M&#xE1;rcia Regina_Brochetto-Braga	grid.410543.70000 0001 2188 478XDepartment of General and Applied Biology, Biosciences Institute, Sao Paulo State University, Rio Claro, S&#xE3;o Paulo Brazil 
7347709	Maria Beatrice_Bil&#xF2;	grid.7010.60000 0001 1017 3210Department of Clinical and Molecular Sciences, Ancona and Allergy Unit, Department of Internal Medicine, University Hospital of Ancona, Polytechnic University of Marche, Ancona, Italy 
7347709	Thilo_Jakob	grid.8664.c0000 0001 2165 8627Experimental Dermatology and Allergy Research Group, Department of Dermatology and Allergology, Justus-Liebig-University Gie&#xDF;en, Giessen, Germany 
7404655	Hyeyoon_Jeong	School of Food Science and Biotechnology, College of Agriculture and Life Sciences, Kyungpook National University, Daegu 41566, Korea;  (J.-O.N.)
7404655	Ja Min_Kim	School of Food Science and Biotechnology, College of Agriculture and Life Sciences, Kyungpook National University, Daegu 41566, Korea;  (J.-O.N.)
7404655	Beomsu_Kim	School of Food Science and Biotechnology, College of Agriculture and Life Sciences, Kyungpook National University, Daegu 41566, Korea;  (J.-O.N.)
7404655	Ju-Ock_Nam	School of Food Science and Biotechnology, College of Agriculture and Life Sciences, Kyungpook National University, Daegu 41566, Korea;  (J.-O.N.)
7404655	Dongyup_Hahn	School of Food Science and Biotechnology, College of Agriculture and Life Sciences, Kyungpook National University, Daegu 41566, Korea;  (J.-O.N.)
7404655	Moon Bo_Choi	Institute of Agricultural Science and Technology, Kyungpook National University, Daegu 41566, Korea
7404660	Lobeno_Mozhui	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	L.N._Kakati	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	Patricia_Kiewhuo	Department of Zoology, Nagaland University, Lumami, Nagaland 798627, India;  (P.K.)
7404660	Sapu_Changkija	Department of Genetics and Plant Breeding, Nagaland University, Medziphema, Nagaland 797106, India; 
7315503	Junjie_Tan	General Hospital of Western Theater Command, Chengdu, 610021 China 
