pmcid	forename_lastname	affiliation
7506528	Michelle T._Fountain	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Amir_Badiee	grid.36511.300000 0004 0420 4262School of Engineering, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Sebastian_Hemer	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Alvaro_Delgado	NIAB EMR, New Road, East Malling, Kent, ME19 6BJ UK 
7506528	Michael_Mangan	grid.36511.300000 0004 0420 4262School of Computer Science, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Colin_Dowding	grid.36511.300000 0004 0420 4262School of Engineering, University of Lincoln, Brayford Pool, Lincoln, LN6 7TS UK 
7506528	Frederick_Davis	grid.9435.b0000 0004 0457 9566Department of Chemistry, University of Reading, Whiteknights, RG6 6AD UK 
7506528	Simon_Pearson	grid.36511.300000 0004 0420 4262Lincoln Institute for Agri-Food Technology, University of Lincoln, Riseholme Campus, Lincoln, LN2 2LG UK 
7471161	Wojciech_Warabieda	grid.425305.50000 0004 4647 7779Research Institute of Horticulture, 1/3 Konstytucji 3 Maja, 96-100 Skierniewice, Poland 
7471161	M._Markiewicz	grid.425305.50000 0004 4647 7779Research Institute of Horticulture, 1/3 Konstytucji 3 Maja, 96-100 Skierniewice, Poland 
7471161	D._W&#xF3;jcik	grid.425305.50000 0004 4647 7779Research Institute of Horticulture, 1/3 Konstytucji 3 Maja, 96-100 Skierniewice, Poland 
7481525	Jin_Huang	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Ning_Zhang	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Junhan_Shan	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Yaxin_Peng	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Jianping_Guo	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Cong_Zhou	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Shaojie_Shi	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Xiaohong_Zheng	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Di_Wu	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Wei_Guan	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Ke_Yang	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Bo_Du	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Lili_Zhu	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Longping_Yuan	State Key Laboratory of Hybrid Rice, Hunan Hybrid Rice Research Center, Hunan Academy of Agricultural Sciences, Changsha, China
7481525	Guangcun_He	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
7481525	Rongzhi_Chen	State Key Laboratory of Hybrid Rice, College of Life Sciences, Wuhan University, Wuhan, China
