pmcid	forename_lastname	affiliation
7403033	Henrique_Bridi	Universidade Federal Do Rio Grande Do Sul, Programa de P&#xF3;s-Gradua&#xE7;&#xE3;o Em Ci&#xEA;ncias Farmac&#xEA;uticas, Avenida Ipiranga 2752, Porto Alegre, Brazil
7403033	Gabriela_de Carvalho Meirelles	Universidade Federal Do Rio Grande Do Sul, Programa de P&#xF3;s-Gradua&#xE7;&#xE3;o Em Ci&#xEA;ncias Farmac&#xEA;uticas, Avenida Ipiranga 2752, Porto Alegre, Brazil
7403033	Gilsane_Lino von Poser	Universidade Federal Do Rio Grande Do Sul, Programa de P&#xF3;s-Gradua&#xE7;&#xE3;o Em Ci&#xEA;ncias Farmac&#xEA;uticas, Avenida Ipiranga 2752, Porto Alegre, Brazil
7394822	Dongdong_Sun	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Yuan_Huang	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Zhenjie_Qin	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Haixia_Zhan	College of Life Sciences, Anhui Normal University, Wuhu, China
7394822	Jinping_Zhang	MoA-CABI Joint Laboratory for Bio-safety, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
7394822	Yang_Liu	State Key Laboratory for Biology of Plant Diseases and Insect Pests, Institute of Plant Protection, Chinese Academy of Agricultural Sciences, Beijing, China
7394822	Shiyong_Yang	College of Life Sciences, Anhui Normal University, Wuhu, China
7387505	Patricia_Hern&#xE1;ndez-Mart&#xED;nez	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Ayda_Khorramnejad	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Katterine_Prentice	Laboratory of Agrozoology, Department of Plants and Crops, Faculty of Bioscience Engineering, Ghent University, Ghent, Belgium
7387505	Ascensi&#xF3;n_Andr&#xE9;s-Garrido	Laboratory of Biotechnological Control of Pest, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Genetics, Universitat de Val&#xE8;ncia, Burjassot, Spain
7387505	Natalia Mara_Vera-Velasco	Laboratory Membrane Proteins, ERI de Biotecnolog&#xED;a y Biomedicina, Department of Biochemistry and Molecular Biology, Universitat de Val&#xE8;ncia, Burjassot, Spain
