pmcid	forename_lastname	affiliation
7508886	Romina_Giacometti	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Vanesa_Jacobi	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Florencia_Kronberg	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7508886	Charalampos_Panagos	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Arthur S._Edison	grid.213876.90000 0004 1936 738XComplex Carbohydrate Research Center (CCRC), University of Georgia, Athens, GA USA 
7508886	Jorge A._Zavala	grid.7345.50000 0001 0056 1981Consejo Nacional de Investigaciones Cient&#xED;ficas y T&#xE9;cnicas / Instituto de Investigaciones en Biociencias Agr&#xED;colas y Ambientales, Facultad de Agronom&#xED;a, Universidad de Buenos Aires, Avda. San Mart&#xED;n 4453, C1417DSE Buenos Aires, Argentina 
7501782	Ana M._Meza-Salazar	Facultad de Ciencias Exactas y Naturales, Grupo de Investigaci&#xF3;n BIONAT, Universidad de Caldas,  Manizales, Caldas, Colombia
7501782	Giovany_Guevara	Facultad de Ciencias, Departamento de Biolog&#xED;a, Grupo de Investigaci&#xF3;n en Zoolog&#xED;a (GIZ), Universidad del Tolima, Ibagu&#xE9;, Tolima, Colombia
7501782	Lucimar_Gomes-Dias	Facultad de Ciencias Exactas y Naturales, Grupo de Investigaci&#xF3;n BIONAT, Universidad de Caldas,  Manizales, Caldas, Colombia
7501782	Carlos A._Cultid-Medina	Red de Diversidad Biol&#xF3;gica del Occidente Mexicano, Instituto de Ecolog&#xED;a, INECOL A.C., Centro Regional del Baj&#xED;o,, P&#xE1;tzcuaro, Michoac&#xE1;n, M&#xE9;xico
7489515	Farman_Ullah	Department of Entomology, China Agricultural University, Beijing, China
7489515	Hina_Gul	Department of Entomology, China Agricultural University, Beijing, China
7489515	Kaleem_Tariq	Department of Agriculture Entomology, Abdul Wali Khan University Mardan, Khyber Pakhtunkhwa, Pakistan
7489515	Nicolas_Desneux	Universit&#xE9; C&#xF4;te d&#x2019;Azur, INRAE, CNRS, UMR ISA, Nice, France
7489515	Xiwu_Gao	Department of Entomology, China Agricultural University, Beijing, China
7489515	Dunlun_Song	Department of Entomology, China Agricultural University, Beijing, China
7488268	Dorian D._D&#xF6;rge	grid.7839.50000 0004 1936 9721Institute for Ecology, Evolution and Diversity, Goethe-University, Max-von-Laue-Str. 13, 60439 Frankfurt/Main, Germany 
7488268	Sarah_Cunze	grid.7839.50000 0004 1936 9721Institute for Ecology, Evolution and Diversity, Goethe-University, Max-von-Laue-Str. 13, 60439 Frankfurt/Main, Germany 
7488268	Sven_Klimpel	grid.7839.50000 0004 1936 9721Institute for Ecology, Evolution and Diversity, Goethe-University, Max-von-Laue-Str. 13, 60439 Frankfurt/Main, Germany 
7467256	Magdalena L._Warren	Department of Biology, California State University Dominguez Hills, Carson, California, United States of America
7467256	Karin E._Kram	Department of Biology, California State University Dominguez Hills, Carson, California, United States of America
7467256	Kathryn E._Theiss	Department of Biology, California State University Dominguez Hills, Carson, California, United States of America
7458312	Saleem_Alameh	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Gloria_Bartolo	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Summer_O&#x2019;Brien	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Elizabeth A._Henderson	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Leandra O._Gonzalez	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Stella_Hartmann	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Christopher P._Klimko	Bacteriology Division, US Army Medical Research Institute of Infectious Diseases, Fort Detrick, Frederick, Maryland, United States of America
7458312	Jennifer L._Shoe	Bacteriology Division, US Army Medical Research Institute of Infectious Diseases, Fort Detrick, Frederick, Maryland, United States of America
7458312	Christopher K._Cote	Bacteriology Division, US Army Medical Research Institute of Infectious Diseases, Fort Detrick, Frederick, Maryland, United States of America
7458312	Laurence K._Grill	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Anastasia_Levitin	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7458312	Mikhail_Martchenko Shilman	Henry E. Riggs School of Applied Life Sciences, Keck Graduate Institute, Claremont, California, United States of America
7448653	Nina_Kre&#x161;i&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	Ivana_&#x160;imi&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	Tomislav_Bedekovi&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7448653	&#x17D;aklin_Acinger-Rogi&#x107;	Ministry of Agriculture, Veterinary and Food Safety Directorate, Zagreb, Croatia        
7448653	Ivana_Lojki&#x107;	Virology Department, Croatian Veterinary Institute, Zagreb, Croatia        
7502704	Rebeca_Carballar-Lejaraz&#xFA;	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Christian_Ogaugwu	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Taylor_Tushar	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Adam_Kelsey	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Thai Binh_Pham	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Jazmin_Murphy	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7502704	Hanno_Schmidt	Vector Genetics Laboratory, Department of Pathology, Microbiology, and Immunology, School of Veterinary Medicine, University of California, Davis, CA 95616;
7502704	Yoosook_Lee	Vector Genetics Laboratory, Department of Pathology, Microbiology, and Immunology, School of Veterinary Medicine, University of California, Davis, CA 95616;
7502704	Gregory C._Lanzaro	Vector Genetics Laboratory, Department of Pathology, Microbiology, and Immunology, School of Veterinary Medicine, University of California, Davis, CA 95616;
7502704	Anthony A._James	Department of Microbiology &amp; Molecular Genetics, University of California, Irvine, CA 92697-4025;
7482270	Martin J._How	School of Biological Sciences, University of Bristol, 24 Tyndall Avenue, Bristol BS8 1TQ, UK
7482270	Dunia_Gonzales	School of Biological Sciences, University of Bristol, 24 Tyndall Avenue, Bristol BS8 1TQ, UK
7482270	Alison_Irwin	School of Biological Sciences, University of Bristol, 24 Tyndall Avenue, Bristol BS8 1TQ, UK
7482270	Tim_Caro	School of Biological Sciences, University of Bristol, 24 Tyndall Avenue, Bristol BS8 1TQ, UK
7469148	Rebekka_Sontowski	German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, 04103 Leipzig, Germany; 
7469148	Nicole M._van Dam	German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, 04103 Leipzig, Germany; 
7430747	Jos&#xE9; O._Valdebenito	Milner Centre for Evolution, University of Bath, Bath, United Kingdom
7430747	Josu&#xE9;_Mart&#xED;nez-de la Puente	Department of Wetland Ecology, Estaci&#xF3;n Biol&#xF3;gica de Do&#xF1;ana (EBD-CSIC), Seville, Spain
7430747	Macarena_Castro	Instituto Universitario de Investigaci&#xF3;n Marina, Facultad de Ciencias del Mar y Ambientales, Universidad de C&#xE1;diz, Puerto Real, Spain
7430747	Alejandro_P&#xE9;rez-Hurtado	Instituto Universitario de Investigaci&#xF3;n Marina, Facultad de Ciencias del Mar y Ambientales, Universidad de C&#xE1;diz, Puerto Real, Spain
7430747	Gustavo_Tejera	Canary Islands&#x2019; Ornithology and Natural History Group (GOHNIC), Buenavista del Norte, Tenerife, Canary Islands, Spain
7430747	Tam&#xE1;s_Sz&#xE9;kely	Milner Centre for Evolution, University of Bath, Bath, United Kingdom
7430747	Naerhulan_Halimubieke	Milner Centre for Evolution, University of Bath, Bath, United Kingdom
7430747	Julia_Schroeder	Department of Life Sciences, Imperial College London, Ascot, United Kingdom
7430747	Jordi_Figuerola	Department of Wetland Ecology, Estaci&#xF3;n Biol&#xF3;gica de Do&#xF1;ana (EBD-CSIC), Seville, Spain
7469150	Luana Walravens_Bergamo	Departamento de Gen&#xE9;tica, Evolu&#xE7;&#xE3;o, Microbiologia e Imunologia, Instituto de Biologia, Universidade Estadual de Campinas (UNICAMP), Campinas SP 13083-970, Brazil; 
7469150	Karina Lucas_Silva-Brand&#xE3;o	Centro de Biologia Molecular e Engenharia Gen&#xE9;tica, Universidade Estadual de Campinas (CBMEG-UNICAMP), Campinas SP 13083-875, Brazil; 
7469150	Renato_Vicentini	Departamento de Gen&#xE9;tica, Evolu&#xE7;&#xE3;o, Microbiologia e Imunologia, Instituto de Biologia, Universidade Estadual de Campinas (UNICAMP), Campinas SP 13083-970, Brazil; 
7469150	Pablo_Fresia	Unidad Mixta Pasteur + INIA (UMPI), Institut Pasteur de Montevideo, Montevideo 11400, Uruguay
