pmcid	forename_lastname	affiliation
7378549	Jos&#xE9; Ricardo_Cure	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Daniel_Rodr&#xED;guez	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Andrew Paul_Gutierrez	0000 0001 2181 7878grid.47840.3fDivision of Ecosystem Science, College of Natural Resources, University of California, Berkeley, CA 94720-3114 USA 
7378549	Luigi_Ponti	0000 0000 9864 2490grid.5196.bAgenzia nazionale per le nuove tecnologie, l&#x2019;energia e lo sviluppo economico sostenibile (ENEA), Centro Ricerche Casaccia, Via Anguillarese 301, 00123 Rome, Italy 
7216764	Alfredo_Castillo	El Colegio de la Frontera Sur, Carretera Antiguo, Tapachula, Chiapas, M&#xE9;xico
7216764	Julio C_Rojas	El Colegio de la Frontera Sur, Carretera Antiguo, Tapachula, Chiapas, M&#xE9;xico
6636796	Lindsey J._Hamilton	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6636796	Robert G._Hollingsworth	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6636796	Mehana_Sabado-Halpern	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6636796	Nicholas C._Manoukis	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6636796	Peter A._Follett	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6636796	Melissa A._Johnson	United States Department of Agriculture&#x2014;Agricultural Research Service, Daniel K. Inouye US Pacific Basin Agricultural Research Center, Hilo, Hawaii, United States of America
6572530	Yan-Mei_Liu	Key Laboratory of Bio-Pesticide Innovation and Application, Department of Entomology, South China Agricultural University, Guangzhou 510640, China;  (B.-L.Q.)
6572530	Shu-Hao_Guo	Key Laboratory of Bio-Pesticide Innovation and Application, Department of Entomology, South China Agricultural University, Guangzhou 510640, China;  (B.-L.Q.)
6572530	Fei-Feng_Wang	Key Laboratory of Bio-Pesticide Innovation and Application, Department of Entomology, South China Agricultural University, Guangzhou 510640, China;  (B.-L.Q.)
6572530	Li-He_Zhang	Engineering Research Center of Biological control, Ministry of Education, Guangzhou 510640, China;  (C.-F.G.)
6572530	Chang-Fei_Guo	Engineering Research Center of Biological control, Ministry of Education, Guangzhou 510640, China;  (C.-F.G.)
6572530	Andrew G. S._Cuthbertson	Independent Science Advisor, York YO41 1LZ, UK; 
6572530	Bao-Li_Qiu	Key Laboratory of Bio-Pesticide Innovation and Application, Department of Entomology, South China Agricultural University, Guangzhou 510640, China;  (B.-L.Q.)
6572530	Wen_Sang	Key Laboratory of Bio-Pesticide Innovation and Application, Department of Entomology, South China Agricultural University, Guangzhou 510640, China;  (B.-L.Q.)
5746806	Luis F._Aristiz&#xE1;bal	Coffee Grower &amp; Independent Consultant on Integrated Pest Management, Kailua-Kona, HI 96745, USA
5746806	Melissa_Johnson	USDA-ARS, PBARC, Hilo, HI 96720, USA;  (R.M.)
5746806	Suzanne_Shriner	Coffee Grower &amp; Director of Synergistic Hawaii Agriculture Council, Hilo, HI 96720, USA; 
5746806	Robert_Hollingsworth	USDA-ARS, PBARC, Hilo, HI 96720, USA;  (R.M.)
5746806	Nicholas C._Manoukis	USDA-ARS, PBARC, Hilo, HI 96720, USA;  (R.M.)
5746806	Roxana_Myers	USDA-ARS, PBARC, Hilo, HI 96720, USA;  (R.M.)
5746806	Paul_Bayman	Department of Biology, University of Puerto Rico-Rio Piedras, San Juan, Puerto Rico 00931, USA; 
5746806	Steven P._Arthurs	Department of Entomology, Texas A&amp;M University, College Station, TX 77843-2475, USA; 
4910507	Natalie_Dale-Skey	The Natural History Museum, London, United Kingdom      
4910507	Richard R._Askew	private address, France, France      
4910507	John S._Noyes	The Natural History Museum, London, United Kingdom      
4910507	Laurence_Livermore	The Natural History Museum, London, United Kingdom      
4910507	Gavin R._Broad	The Natural History Museum, London, London, United Kingdom      
