pmcid	forename_lastname	affiliation
7098582	J. C._Sumner-Kalkun	SASA, Edinburgh, United Kingdom
7098582	M. J._Sj&#xF6;lund	SASA, Edinburgh, United Kingdom
7098582	Y. M._Arnsdorf	SASA, Edinburgh, United Kingdom
7098582	M._Carnegie	SASA, Edinburgh, United Kingdom
7098582	F._Highet	SASA, Edinburgh, United Kingdom
7098582	D._Ouvrard	Department of Life Sciences, Natural History Museum, London, United Kingdom
7098582	A. F. C._Greenslade	Rothamsted Insect Survey, Rothamsted Research, Harpenden, Hertfordshire, United Kingdom
7098582	J. R._Bell	Rothamsted Insect Survey, Rothamsted Research, Harpenden, Hertfordshire, United Kingdom
7098582	R._Sigvald	Department of Ecology, Swedish University of Agricultural Sciences, Uppsala, Sweden
7098582	D. M._Kenyon	SASA, Edinburgh, United Kingdom
6606623	Kerry Elizabeth_Mauck	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, Riverside, 900 University Ave, Riverside, CA USA 
6606623	Penglin_Sun	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, Riverside, 900 University Ave, Riverside, CA USA 
6606623	Venkata RamaSravani_Meduri	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, Riverside, 900 University Ave, Riverside, CA USA 
6606623	Allison K._Hansen	0000 0001 2222 1582grid.266097.cDepartment of Entomology, University of California, Riverside, 900 University Ave, Riverside, CA USA 
6133269	Navneet_Kaur	Department of Entomology, Plant Pathology and Nematology, University of Idaho, Moscow, Idaho, United States of America
6133269	William Rodney_Cooper	USDA-ARS, Temperate Tree Fruit and Vegetable Research Unit, Wapato, Washington, United States of America
6133269	Jennifer M._Duringer	Department of Environmental and Molecular Toxicology, Oregon State University, Corvallis, Oregon, United States of America
6133269	Ismael E._Badillo-Vargas	Department of Entomology, Texas A&amp;M AgriLife Research and Extension Center, Weslaco, Texas, United States of America
6133269	Gabriela_Esparza-D&#xED;az	Department of Entomology, Texas A&amp;M AgriLife Research and Extension Center, Weslaco, Texas, United States of America
6133269	Arash_Rashed	Department of Entomology, Plant Pathology and Nematology, University of Idaho, Moscow, Idaho, United States of America
6133269	David R._Horton	USDA-ARS, Temperate Tree Fruit and Vegetable Research Unit, Wapato, Washington, United States of America
4640670	Glenda L._Torres	Heritage University, Department of Natural Sciences, Toppenish, WA, 98948, United States of America
4640670	W. Rodney_Cooper	USDA/Agricultural Research Service, Yakima Agricultural Research Laboratory, Wapato, WA, 98951, United States of America
4640670	David R._Horton	USDA/Agricultural Research Service, Yakima Agricultural Research Laboratory, Wapato, WA, 98951, United States of America
4640670	Kylie D._Swisher	USDA/Agricultural Research Service, Yakima Agricultural Research Laboratory, Wapato, WA, 98951, United States of America
4640670	Stephen F._Garczynski	USDA/Agricultural Research Service, Yakima Agricultural Research Laboratory, Wapato, WA, 98951, United States of America
4640670	Joseph E._Munyaneza	USDA/Agricultural Research Service, Yakima Agricultural Research Laboratory, Wapato, WA, 98951, United States of America
4640670	Nina M._Barcenas	Heritage University, Department of Natural Sciences, Toppenish, WA, 98948, United States of America
3524130	Bersissa_Kumsa	Department of Parasitology, College of Veterinary Medicine and Agriculture, Addis Ababa University, Bishoftu, Ethiopia
3524130	Cristina_Socolovschi	Aix Marseille Universit&#xE9;, URMITE, UM63, CNRS 7278, IRD 198, Inserm 1095, Marseille, France
3524130	Philippe_Parola	Aix Marseille Universit&#xE9;, URMITE, UM63, CNRS 7278, IRD 198, Inserm 1095, Marseille, France
3524130	Jean-Marc_Rolain	Aix Marseille Universit&#xE9;, URMITE, UM63, CNRS 7278, IRD 198, Inserm 1095, Marseille, France
3524130	Didier_Raoult	Aix Marseille Universit&#xE9;, URMITE, UM63, CNRS 7278, IRD 198, Inserm 1095, Marseille, France
