pmcid	forename_lastname	affiliation
7073712	Lauren M._Perez	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Patricia J._Moore	Department of Entomology, University of Georgia, Athens, GA 30601, USA; 
7073712	Mark R._Abney	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
7073712	Michael D._Toews	Department of Entomology, University of Georgia, Tifton, GA 31793, USA;  (M.R.A.)
6920439	Simon J._McKirdy	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Simon_O&#x2019;Connor	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Melissa L._Thomas	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Kristin L._Horton	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Angus_Williams	0000 0004 0645 1689grid.473921.aChevron Australia, 256 St Georges Tce, Perth, WA 6000 Australia 
6920439	Darryl_Hardie	Department of Primary Industries and Regional Development Western Australia, Division of Agriculture and Food, 4 Baron-Hay Court, South Perth, 6151 Australia 
6920439	Grey T._Coupland	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6920439	Johann_van der Merwe	0000 0004 0436 6763grid.1025.6Harry Butler Institute, Murdoch University, Murdoch, WA 6150 Australia 
6835372	Darija_Lemic	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Davor_Jembrek	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Renata_Ba&#x17E;ok	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6835372	Ivana_Paja&#x10D; &#x17D;ivkovi&#x107;	University of Zagreb, Faculty of Agriculture, Department for Agricultural Zoology, Sveto&#x161;imunska 25, 10000 Zagreb, Croatia;  (I.P.Z.)
6571962	Vaclav_Stejskal	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Tomas_Vendl	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6571962	Zhihong_Li	Key Laboratory of Ministry of Agriculture for Monitoring and Green Management of Crop Pests, Department of Entomology, College of Plant Protection, China Agricultural University, Beijing 100193, China; 
6571962	Radek_Aulicky	Crop Research Institute, Drnovska 507/73, CZ-16106 Prague 6-Ruzyne, Czech Republic;  (R.A.)
6287052	Gang_Wu	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Yu_Wang	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Jing Nan_Wang	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Xue Zhun_Chen	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Qi Xing_Hu	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Yan Fan_Yang	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
6287052	Qi Qing_Liu	Key Laboratory of Biopesticide and Chemical Biology (Ministry of Education), Fujian Agriculture and Forestry University, Fuzhou, China
5917025	Halil_Bisgin	0000 0000 9134 5741grid.48950.30Department of Computer Science, Engineering and Physics, University of Michigan-Flint, Flint, MI USA 
5917025	Tanmay_Bera	0000 0001 2243 3366grid.417587.8Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR USA 
5917025	Hongjian_Ding	0000 0001 2243 3366grid.417587.8Food Chemistry Laboratory-1, Arkansas Laboratory, Office of Regulatory Affairs, US Food and Drug Administration, Jefferson, AR USA 
5917025	Howard G._Semey	0000 0001 2243 3366grid.417587.8Food Chemistry Laboratory-1, Arkansas Laboratory, Office of Regulatory Affairs, US Food and Drug Administration, Jefferson, AR USA 
5917025	Leihong_Wu	0000 0001 2243 3366grid.417587.8Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR USA 
5917025	Zhichao_Liu	0000 0001 2243 3366grid.417587.8Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR USA 
5917025	Amy E._Barnes	0000 0001 2243 3366grid.417587.8Food Chemistry Laboratory-1, Arkansas Laboratory, Office of Regulatory Affairs, US Food and Drug Administration, Jefferson, AR USA 
5917025	Darryl A._Langley	0000 0001 2243 3366grid.417587.8Food Chemistry Laboratory-1, Arkansas Laboratory, Office of Regulatory Affairs, US Food and Drug Administration, Jefferson, AR USA 
5917025	Monica_Pava-Ripoll	0000 0001 2243 3366grid.417587.8Office for Food Safety, Center for Food Safety and Applied Nutrition, US Food and Drug Administration, College Park, MD USA 
5917025	Himansu J._Vyas	0000 0001 2243 3366grid.417587.8Food Chemistry Laboratory-1, Arkansas Laboratory, Office of Regulatory Affairs, US Food and Drug Administration, Jefferson, AR USA 
5917025	Weida_Tong	0000 0001 2243 3366grid.417587.8Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR USA 
5917025	Joshua_Xu	0000 0001 2243 3366grid.417587.8Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, US Food and Drug Administration, Jefferson, AR USA 
5465827	Abbas_Delazar	Drug Applied Research Center, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5465827	Hossein_Nazemiyeh	Faculty of Pharmacy, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5465827	Fariba Heshmati_Afshar	Drug Applied Research Center, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5465827	Niloofar_Barghi	Drug Applied Research Center, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5465827	Solmaz_Esnaashari	Biotechnology Research Center, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5465827	Parina_Asgharian	Drug Applied Research Center, Tabriz University of Medical Sciences, Tabriz, I.R. Iran      
5110965	Amir_Dekel	Department of Entomology, The Hebrew University of Jerusalem, Rehovot 76100, Israel
5110965	Ronald J._Pitts	Department of Biological Sciences, Vanderbilt University, Nashville, Tennessee, USA
5110965	Esther_Yakir	Department of Entomology, The Hebrew University of Jerusalem, Rehovot 76100, Israel
5110965	Jonathan D._Bohbot	Department of Entomology, The Hebrew University of Jerusalem, Rehovot 76100, Israel
4920424	Su Inn_Park	Department of Computer Science, Texas A&amp;M University, College Station, Texas, United States of America
4920424	Halil_Bisgin	Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4920424	Hongjian_Ding	Arkansas Regional Laboratories, Office for Regulatory Affairs, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4920424	Howard G._Semey	Arkansas Regional Laboratories, Office for Regulatory Affairs, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4920424	Darryl A._Langley	Arkansas Regional Laboratories, Office for Regulatory Affairs, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4920424	Weida_Tong	Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4920424	Joshua_Xu	Division of Bioinformatics and Biostatistics, National Center for Toxicological Research, U.S. Food and Drug Administration, Jefferson, Arkansas, United States of America
4829933	Reginald P._Webster	24 Mill Stream Drive, Charters Settlement, NB, Canada E3C 1X1      
3337059	Reginald P._Webster	Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3337059	Jon D._Sweeney	Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3337059	Ian_deMerchant	Natural Resources Canada, Canadian Forest Service, Atlantic Forestry Centre, 1350 Regent St., P.O. Box 4000, Fredericton, NB, Canada E3B 5P7
3385219	Ikoni J_Ogaji	        Department of Pharmaceutical Technology, University of Jos, Jos, Plateau State, Nigeria      
3385219	Anjan_Nan	        Department of Pharmaceutical Sciences, School of Pharmacy, University of Maryland, Baltimore, MD, USA      
3385219	Stephen W_Hoag	        Department of Pharmaceutical Sciences, School of Pharmacy, University of Maryland, Baltimore, MD, USA      
3312420	Vytautas_Tamutis	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
3312420	Brigita_Tamut&#x117;	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
3312420	Romas_Ferenca	Kaunas T. Ivanauskas Zoological Museum, Laisv&#x117;s al. 106, LT-44253 Kaunas, Lithuania
2737144	Jonathan D._Bohbot	United States Department of Agriculture, Agricultural Research Service, Henry A. Wallace Beltsville Agricultural Research Center, Plant Sciences Institute, Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, Maryland, United States of America
2737144	Joseph C._Dickens	United States Department of Agriculture, Agricultural Research Service, Henry A. Wallace Beltsville Agricultural Research Center, Plant Sciences Institute, Invasive Insect Biocontrol and Behavior Laboratory, Beltsville, Maryland, United States of America
