pmcid	forename_lastname	affiliation
6339471	Mar&#xED;a G._del R&#xED;o	<institution>Divisi&#xF3;n Entomolog&#xED;a, Museo de La Plata, FCNyM, CONICET, Universidad Nacional de La Plata</institution>, <addr-line>La Plata, Buenos Aires</addr-line>, <country>Argentina</country>
6339471	Anal&#xED;a A._Lanteri	<institution>Divisi&#xF3;n Entomolog&#xED;a, Museo de La Plata, FCNyM, CONICET, Universidad Nacional de La Plata</institution>, <addr-line>La Plata, Buenos Aires</addr-line>, <country>Argentina</country>
5931498	Marcela S._Rodriguero	Departamento de Ecolog&#xED;a, Gen&#xE9;tica y Evoluci&#xF3;n, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires&#x2014;IEGEBA (CONICET-UBA), Buenos Aires, Argentina
5931498	Sonia A._Wirth	Laboratorio de Agrobiotecnolog&#xED;a, Departamento de Fisiolog&#xED;a, Biolog&#xED;a Molecular y Celular, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires e Instituto de Biodiversidad y Biolog&#xED;a Experimental y Aplicada (IBBEA&#x2014;CONICET/UBA), Ciudad Aut&#xF3;noma de Buenos Aires, Buenos Aires, Argentina
5931498	Josefina S._Alberghina	Departamento de Ecolog&#xED;a, Gen&#xE9;tica y Evoluci&#xF3;n, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires&#x2014;IEGEBA (CONICET-UBA), Buenos Aires, Argentina
5931498	Anal&#xED;a A._Lanteri	Divisi&#xF3;n Entomolog&#xED;a, Museo de La Plata, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata&#x2014;CONICET, La Plata, Buenos Aires, Argentina
5931498	Viviana A._Confalonieri	Departamento de Ecolog&#xED;a, Gen&#xE9;tica y Evoluci&#xF3;n, Facultad de Ciencias Exactas y Naturales, Universidad de Buenos Aires&#x2014;IEGEBA (CONICET-UBA), Buenos Aires, Argentina
4336355	C. B._Phillips	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	I. I._Iline	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	M._Novoselov	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	M. R._McNeill	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	N. K._Richards	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	C._van Koten	AgResearch, Lincoln, Private Bag 4749, Canterbury, 8140 New Zealand 
4336355	B. P._Stephenson	Ministry for Primary Industries, PO Box 2526, Wellington, 6140 New Zealand 
3127418	David P._Logan	1The Horticulture and Food Research Institute of New Zealand Ltd. (HortResearch), 412 No. 1 Road, RD2, Te Puke, New Zealand
3127418	Bridget J._Maher	1The Horticulture and Food Research Institute of New Zealand Ltd. (HortResearch), 412 No. 1 Road, RD2, Te Puke, New Zealand
3127418	Shirley S._Dobson	1The Horticulture and Food Research Institute of New Zealand Ltd. (HortResearch), 412 No. 1 Road, RD2, Te Puke, New Zealand
3127418	Patrick G._Connolly	2HortResearch, Private Bag 92 169, Auckland, New Zealand
