pmcid	forename_lastname	affiliation
7433766	R A_Kucuk	Clemson University, Poole Agricultural Center, Clemson, SC
7469224	Roman_Bykov	Laboratory of Molecular Genetics of Insects, Institute of Cytology and Genetics SB RAS, 630090 Novosibirsk, Russia;  (R.A.)
7469224	Ivan_Kerchev	Laboratory of Insect Pathology, Institute of Systematics and Ecology of Animals SB RAS, 630091 Novosibirsk, Russia; 
7469224	Marya_Demenkova	Laboratory of Molecular Genetics of Insects, Institute of Cytology and Genetics SB RAS, 630090 Novosibirsk, Russia;  (R.A.)
7469224	Artem_Ryabinin	Laboratory of Molecular Genetics of Insects, Institute of Cytology and Genetics SB RAS, 630090 Novosibirsk, Russia;  (R.A.)
7469224	Yury_Ilinsky	Laboratory of Molecular Genetics of Insects, Institute of Cytology and Genetics SB RAS, 630090 Novosibirsk, Russia;  (R.A.)
7487225	Logan H._Griffin	1Department of Biological SciencesUniversity of AlabamaTuscaloosaALUSA
7487225	Laura K._Reed	1Department of Biological SciencesUniversity of AlabamaTuscaloosaALUSA
7378549	Jos&#xE9; Ricardo_Cure	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Daniel_Rodr&#xED;guez	0000 0001 2223 8106grid.412208.dFacultad de Ciencias B&#xE1;sicas y Aplicadas, Universidad Militar Nueva Granada, Cr.11 No.101-80, Bogot&#xE1;, Colombia 
7378549	Andrew Paul_Gutierrez	0000 0001 2181 7878grid.47840.3fDivision of Ecosystem Science, College of Natural Resources, University of California, Berkeley, CA 94720-3114 USA 
7378549	Luigi_Ponti	0000 0000 9864 2490grid.5196.bAgenzia nazionale per le nuove tecnologie, l&#x2019;energia e lo sviluppo economico sostenibile (ENEA), Centro Ricerche Casaccia, Via Anguillarese 301, 00123 Rome, Italy 
7390957	Sydne_Guevara-Rozo	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7390957	Altaf_Hussain	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7390957	Jonathan A._Cale	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7390957	Jennifer G._Klutsch	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7390957	Rahmatollah_Rajabzadeh	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7390957	Nadir_Erbilgin	<institution>Department of Renewable Resources, University of Alberta</institution>, <addr-line>Edmonton, AB</addr-line>, <country>Canada</country>
7411575	Thomas W. R._Harrop	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7411575	Marissa F._Le Lec	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7411575	Ruy_Jauregui	AgResearch, Grasslands Research Centre, Palmerston North 4410, New Zealand;  (S.G.)
7411575	Shannon E._Taylor	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7411575	Sarah N._Inwood	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7411575	Tracey_van Stijn	AgResearch, Invermay Agricultural Centre, Private Bag 50034, Mosgiel, New Zealand;  (R.L.A.)
7411575	Hannah_Henry	AgResearch, Invermay Agricultural Centre, Private Bag 50034, Mosgiel, New Zealand;  (R.L.A.)
7411575	John_Skelly	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7411575	Siva_Ganesh	AgResearch, Grasslands Research Centre, Palmerston North 4410, New Zealand;  (S.G.)
7411575	Rachael L._Ashby	AgResearch, Invermay Agricultural Centre, Private Bag 50034, Mosgiel, New Zealand;  (R.L.A.)
7411575	Jeanne M. E._Jacobs	AgResearch, Lincoln Science Centre, Private Bag 4749, Christchurch 8140, New Zealand;  (S.L.G.)
7411575	Stephen L._Goldson	AgResearch, Lincoln Science Centre, Private Bag 4749, Christchurch 8140, New Zealand;  (S.L.G.)
7411575	Peter K._Dearden	Genomics Aotearoa and Department of Biochemistry, University of Otago, Dunedin 9054, Aotearoa, New Zealand;  (P.K.D.)
7337030	Jes&#xFA;s E._Castrej&#xF3;n-Antonio	Universidad Aut&#xF3;noma de Nuevo Le&#xF3;n, Facultad de Ciencias Biol&#xF3;gicas, San Nicol&#xE1;s de los Garza, Nuevo Le&#xF3;n, M&#xE9;xico
7337030	Patricia_Tamez-Guerra	Universidad Aut&#xF3;noma de Nuevo Le&#xF3;n, Facultad de Ciencias Biol&#xF3;gicas, San Nicol&#xE1;s de los Garza, Nuevo Le&#xF3;n, M&#xE9;xico
7337030	Roberto_Montesinos-Mat&#xED;as	SENASICA, Centro Nacional de Referencia de Control Biol&#xF3;gico, Tecom&#xE1;n, Colima, M&#xE9;xico
7337030	Maria J._Ek-Ramos	Universidad Aut&#xF3;noma de Nuevo Le&#xF3;n, Facultad de Ciencias Biol&#xF3;gicas, San Nicol&#xE1;s de los Garza, Nuevo Le&#xF3;n, M&#xE9;xico
7337030	Paul M._Garza-L&#xF3;pez	Instituto de Ciencias Agropecuarias, Universidad Aut&#xF3;noma del Estado de Hidalgo, Tulancingo, Hidalgo, M&#xE9;xico
7337030	Hugo C._Arredondo-Bernal	SENASICA, Centro Nacional de Referencia de Control Biol&#xF3;gico, Tecom&#xE1;n, Colima, M&#xE9;xico
7329388	Zhengkun_Zhang	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Yang_Lu	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Wenjing_Xu	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Li_Sui	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Qian_Du	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Yangzhou_Wang	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
7329388	Yu_Zhao	grid.418524.e0000 0004 0369 6250Jilin Key Laboratory of Agricultural Microbiology, Key Laboratory of Integrated Pest Management on Crops in Northeast China, Ministry of Agriculture, Changchun, 130033 Jilin Province P. R. China 
